iso3,hazard,protection
MDA,Earthquake,0.0
MDA,Flood,8.494705351151318
MEX,Earthquake,0.0
MEX,Flood,36.66869301588022
MEX,Storm surge,7.324762930205483
MEX,Tsunami,0.0
MEX,Wind,0.0
MKD,Earthquake,0.0
MKD,Flood,14.52013855351614
MLI,Earthquake,0.0
MLI,Flood,7.051447067797279
MMR,Earthquake,0.0
MMR,Flood,2.393960775485076
MMR,Storm surge,0.905268889077952
MMR,Tsunami,0.0
MMR,Wind,0.0
MNE,Earthquake,0.0
MNE,Flood,11.36252485550098
MNE,Tsunami,0.0
MNG,Earthquake,0.0
MNG,Flood,6.337401801574531
MOZ,Earthquake,0.0
MOZ,Flood,19.56091498821031
MOZ,Storm surge,3.500947655831794
MOZ,Tsunami,0.0
MOZ,Wind,0.0
MRT,Earthquake,0.0
MRT,Flood,2.146631575272727
MRT,Tsunami,0.0
MUS,Storm surge,0.0
MUS,Tsunami,0.0
MUS,Wind,0.0
MWI,Earthquake,0.0
MWI,Flood,2.98283411672248
MYS,Earthquake,0.0
MYS,Flood,33.38911778432136
MYS,Tsunami,0.0
MYS,Wind,0.0
NAM,Earthquake,0.0
NAM,Flood,16.52581708483515
NER,Earthquake,0.0
NER,Flood,2.293148576337591
NGA,Earthquake,0.0
NGA,Flood,7.065881068414074
NIC,Earthquake,0.0
NIC,Flood,6.41578105235634
NIC,Storm surge,0.692400845096945
NIC,Tsunami,0.0
NIC,Wind,0.0
NLD,Earthquake,0.0
NLD,Flood,4881.606629655777
NLD,Storm surge,1253.476214653469
NLD,Wind,0.0
NOR,Earthquake,0.0
NPL,Earthquake,0.0
NPL,Flood,2.320011459943355
PAK,Earthquake,0.0
PAK,Flood,7.2139183581255
PAK,Storm surge,1.554861574652473
PAK,Tsunami,0.0
PAK,Wind,0.0
PAN,Earthquake,0.0
PAN,Flood,14.82792086905369
PAN,Storm surge,30.56778404030802
PAN,Tsunami,0.0
PAN,Wind,0.0
PER,Earthquake,0.0
PER,Flood,91.7691313525062
PER,Tsunami,0.0
PHL,Earthquake,0.0
PHL,Flood,8.126458979264724
PHL,Storm surge,6.240046709651354
PHL,Tsunami,0.0
PHL,Wind,0.0
POL,Earthquake,0.0
POL,Flood,199.999915579447
PRT,Earthquake,0.0
PRT,Flood,72.97444944835968
PRT,Tsunami,0.0
PRY,Earthquake,0.0
PRY,Flood,16.42513425115515
ROU,Earthquake,0.0
ROU,Flood,50.00000080795761
RUS,Earthquake,0.0
RUS,Flood,83.98652916038479
RUS,Tsunami,0.0
RUS,Wind,0.0
RWA,Earthquake,0.0
RWA,Flood,2.218401156716561
SDN,Earthquake,0.0
SDN,Flood,7.716921279010713
SEN,Earthquake,0.0
SEN,Flood,5.401764990213573
SEN,Tsunami,0.0
SLE,Earthquake,0.0
SLE,Flood,1.760804923570273
SLE,Tsunami,0.0
SLV,Earthquake,0.0
SLV,Flood,6.841659879015594
SLV,Storm surge,3.071846071320598
SLV,Tsunami,0.0
SLV,Wind,0.0
SRB,Earthquake,0.0
SRB,Flood,20.77438684708684
SVK,Earthquake,0.0
SVK,Flood,99.9999835636962
SVN,Earthquake,0.0
SVN,Flood,56.37243034161575
SWE,Earthquake,0.0
SWE,Flood,60.86013243779401
SWZ,Earthquake,0.0
SWZ,Flood,6.610998377440167
TCD,Earthquake,0.0
TCD,Flood,3.168414017451558
TGO,Earthquake,0.0
TGO,Flood,2.298778551394527
THA,Earthquake,0.0
THA,Flood,22.88930222402872
THA,Tsunami,0.0
THA,Wind,0.0
TJK,Earthquake,0.0
TJK,Flood,2.609937059854746
