iso3,hazard,rp,income_cat,fa,income_cat,v_ew
AGO,Flood,500.0,q5,0.0028848119201547,q5,0.3918564170144742
AGO,Flood,1000.0,q1,0.0030576814328455,q1,0.6225060140655241
AGO,Flood,1000.0,q2,0.0030557993481534,q2,0.6225060140655241
AGO,Flood,1000.0,q3,0.0030199049307058,q3,0.5096400427099916
AGO,Flood,1000.0,q4,0.0030180876478201,q4,0.3918564170144742
AGO,Flood,1000.0,q5,0.0030337430040415,q5,0.3918564170144742
AGO,Flood,2500.0,q1,0.0032942754292534,q1,0.6225060140655241
AGO,Flood,2500.0,q2,0.0032922477146294,q2,0.6225060140655241
AGO,Flood,2500.0,q3,0.0032535758974234,q3,0.5096400427099916
AGO,Flood,2500.0,q4,0.0032516179987706,q4,0.3918564170144742
AGO,Flood,2500.0,q5,0.0032684847183648,q5,0.3918564170144742
AGO,Flood,5000.0,q1,0.0035109358472075,q1,0.6225060140655241
AGO,Flood,5000.0,q2,0.0035087747723022,q2,0.6225060140655241
AGO,Flood,5000.0,q3,0.0034675595575392,q3,0.5096400427099916
AGO,Flood,5000.0,q4,0.0034654728903151,q4,0.3918564170144742
AGO,Flood,5000.0,q5,0.0034834489131826,q5,0.3918564170144742
ALB,Earthquake,10.0,q1,0.0039554094637977,q1,0.7
ALB,Earthquake,10.0,q2,0.0039554094637977,q2,0.4167593413684288
ALB,Earthquake,10.0,q3,0.0039554094637977,q3,0.3
ALB,Earthquake,10.0,q4,0.0039554094637977,q4,0.2999999999999999
ALB,Earthquake,10.0,q5,0.0039554094637977,q5,0.1134982305130881
ALB,Earthquake,25.0,q1,0.0098621726241521,q1,0.7
ALB,Earthquake,25.0,q2,0.0098621726241521,q2,0.4167593413684288
ALB,Earthquake,25.0,q3,0.0098621726241521,q3,0.3
ALB,Earthquake,25.0,q4,0.0098621726241521,q4,0.2999999999999999
ALB,Earthquake,25.0,q5,0.0098621726241521,q5,0.1134982305130881
ALB,Earthquake,50.0,q1,0.0196795662838101,q1,0.7
ALB,Earthquake,50.0,q2,0.0196795662838101,q2,0.4167593413684288
ALB,Earthquake,50.0,q3,0.0196795662838101,q3,0.3
ALB,Earthquake,50.0,q4,0.0196795662838101,q4,0.2999999999999999
ALB,Earthquake,50.0,q5,0.0196795662838101,q5,0.1134982305130881
ALB,Earthquake,100.0,q1,0.0391812423998188,q1,0.7
ALB,Earthquake,100.0,q2,0.0391812423998188,q2,0.4167593413684288
ALB,Earthquake,100.0,q3,0.0391812423998188,q3,0.3
ALB,Earthquake,100.0,q4,0.0391812423998188,q4,0.2999999999999999
ALB,Earthquake,100.0,q5,0.0391812423998188,q5,0.1134982305130881
ALB,Earthquake,250.0,q1,0.0966182460741765,q1,0.7
ALB,Earthquake,250.0,q2,0.0966182460741765,q2,0.4167593413684288
ALB,Earthquake,250.0,q3,0.0966182460741765,q3,0.3
ALB,Earthquake,250.0,q4,0.0966182460741765,q4,0.2999999999999999
ALB,Earthquake,250.0,q5,0.0966182460741765,q5,0.1134982305130881
ALB,Earthquake,500.0,q1,0.1633523539066173,q1,0.7
ALB,Earthquake,500.0,q2,0.1633523539066173,q2,0.4167593413684288
ALB,Earthquake,500.0,q3,0.1633523539066173,q3,0.3
ALB,Earthquake,500.0,q4,0.1633523539066173,q4,0.2999999999999999
ALB,Earthquake,500.0,q5,0.1633523539066173,q5,0.1134982305130881
ALB,Earthquake,1000.0,q1,0.2118260020762758,q1,0.7
ALB,Earthquake,1000.0,q2,0.2118260020762758,q2,0.4167593413684288
ALB,Earthquake,1000.0,q3,0.2118260020762758,q3,0.3
ALB,Earthquake,1000.0,q4,0.2118260020762758,q4,0.2999999999999999
ALB,Earthquake,1000.0,q5,0.2118260020762758,q5,0.1134982305130881
ALB,Earthquake,2500.0,q1,0.2945041080105205,q1,0.7
ALB,Earthquake,2500.0,q2,0.2945041080105205,q2,0.4167593413684288
ALB,Earthquake,2500.0,q3,0.2945041080105205,q3,0.3
ALB,Earthquake,2500.0,q4,0.2945041080105205,q4,0.2999999999999999
ALB,Earthquake,2500.0,q5,0.2945041080105205,q5,0.1134982305130881
ALB,Earthquake,5000.0,q1,0.3742619971691063,q1,0.7
ALB,Earthquake,5000.0,q2,0.3742619971691063,q2,0.4167593413684288
ALB,Earthquake,5000.0,q3,0.3742619971691063,q3,0.3
ALB,Earthquake,5000.0,q4,0.3742619971691063,q4,0.2999999999999999
ALB,Earthquake,5000.0,q5,0.3742619971691063,q5,0.1134982305130881
ALB,Flood,10.0,q1,0.0105747080020874,q1,0.6693468853417732
ALB,Flood,10.0,q2,0.0107482394704262,q2,0.6693468853417732
