iso3,hazard,rp,income_cat,fa,n,v_ew
AGO,Earthquake,10.0,q1,0.0001779007713898703,0.2,0.7000000000000001
AGO,Earthquake,25.0,q1,0.0004382448939886333,0.2,0.7000000000000001
AGO,Earthquake,50.0,q1,0.0008827493619689876,0.2,0.7000000000000001
AGO,Earthquake,100.0,q1,0.0017647390326807442,0.2,0.7000000000000001
AGO,Earthquake,250.0,q1,0.004406163026662627,0.2,0.7000000000000001
AGO,Earthquake,500.0,q1,0.008216432011645574,0.2,0.7000000000000001
AGO,Earthquake,1000.0,q1,0.012279810212573142,0.2,0.7000000000000001
AGO,Earthquake,2500.0,q1,0.020789676472999025,0.2,0.7000000000000001
AGO,Earthquake,5000.0,q1,0.030853768074053912,0.2,0.7000000000000001
AGO,Flood,10.0,q1,0.000835507767205286,0.2,0.6225060140655241
AGO,Flood,25.0,q1,0.0017142499922266818,0.2,0.6225060140655241
AGO,Flood,50.0,q1,0.0023799048550613797,0.2,0.6225060140655241
AGO,Flood,100.0,q1,0.002640708156566391,0.2,0.6225060140655241
AGO,Flood,250.0,q1,0.0027873216143003672,0.2,0.6225060140655241
AGO,Flood,500.0,q1,0.002907575174877272,0.2,0.6225060140655241
AGO,Flood,1000.0,q1,0.0030576814328455654,0.2,0.6225060140655241
AGO,Flood,2500.0,q1,0.00329427542925344,0.2,0.6225060140655241
AGO,Flood,5000.0,q1,0.0035109358472075356,0.2,0.6225060140655241
AGO,Earthquake,10.0,q2,0.0001667819731780034,0.2,0.7000000000000001
AGO,Earthquake,25.0,q2,0.00041085458811434373,0.2,0.7000000000000001
AGO,Earthquake,50.0,q2,0.0008275775268459258,0.2,0.7000000000000001
AGO,Earthquake,100.0,q2,0.0016544428431381976,0.2,0.7000000000000001
AGO,Earthquake,250.0,q2,0.004130777837496213,0.2,0.7000000000000001
AGO,Earthquake,500.0,q2,0.007702905010917726,0.2,0.7000000000000001
AGO,Earthquake,1000.0,q2,0.011512322074287321,0.2,0.7000000000000001
AGO,Earthquake,2500.0,q2,0.019490321693436587,0.2,0.7000000000000001
AGO,Earthquake,5000.0,q2,0.02892540756942554,0.2,0.7000000000000001
AGO,Flood,10.0,q2,0.0007831267139049125,0.2,0.6225060140655241
AGO,Flood,25.0,q2,0.0016067773585331064,0.2,0.6225060140655241
AGO,Flood,50.0,q2,0.0022306998710314007,0.2,0.6225060140655241
AGO,Flood,100.0,q2,0.0024751524548372304,0.2,0.6225060140655241
AGO,Flood,250.0,q2,0.0026125741759464188,0.2,0.6225060140655241
AGO,Flood,500.0,q2,0.0027252885987517996,0.2,0.6225060140655241
AGO,Flood,1000.0,q2,0.0028659841436088833,0.2,0.6225060140655241
AGO,Flood,2500.0,q2,0.003087745192648903,0.2,0.6225060140655241
AGO,Flood,5000.0,q2,0.0032908223725453857,0.2,0.6225060140655241
AGO,Earthquake,10.0,q3,0.0001667819731780034,0.2,0.5193570183533321
AGO,Earthquake,25.0,q3,0.00041085458811434373,0.2,0.5193570183533321
AGO,Earthquake,50.0,q3,0.0008275775268459258,0.2,0.5193570183533321
AGO,Earthquake,100.0,q3,0.0016544428431381976,0.2,0.5193570183533321
AGO,Earthquake,250.0,q3,0.004130777837496213,0.2,0.5193570183533321
AGO,Earthquake,500.0,q3,0.007702905010917726,0.2,0.5193570183533321
AGO,Earthquake,1000.0,q3,0.011512322074287321,0.2,0.5193570183533321
AGO,Earthquake,2500.0,q3,0.019490321693436587,0.2,0.5193570183533321
AGO,Earthquake,5000.0,q3,0.02892540756942554,0.2,0.5193570183533321
AGO,Flood,10.0,q3,0.0007733186075879382,0.2,0.5096400427099916
AGO,Flood,25.0,q3,0.0015866536124261473,0.2,0.5096400427099916
AGO,Flood,50.0,q3,0.0022027619382449667,0.2,0.5096400427099916
AGO,Flood,100.0,q3,0.002444152926923398,0.2,0.5096400427099916
AGO,Flood,250.0,q3,0.002579853538502074,0.2,0.5096400427099916
AGO,Flood,500.0,q3,0.002691156293153755,0.2,0.5096400427099916
AGO,Flood,1000.0,q3,0.002830089726161273,0.2,0.5096400427099916
AGO,Flood,2500.0,q3,0.0030490733754429543,0.2,0.5096400427099916
AGO,Flood,5000.0,q3,0.003249607157782426,0.2,0.5096400427099916
AGO,Earthquake,10.0,q4,0.0001667819731780034,0.2,0.2920970310302768
AGO,Earthquake,25.0,q4,0.00041085458811434373,0.2,0.2920970310302768
AGO,Earthquake,50.0,q4,0.0008275775268459258,0.2,0.2920970310302768
AGO,Earthquake,100.0,q4,0.0016544428431381976,0.2,0.2920970310302768
AGO,Earthquake,250.0,q4,0.004130777837496213,0.2,0.2920970310302768
AGO,Earthquake,500.0,q4,0.007702905010917726,0.2,0.2920970310302768
AGO,Earthquake,1000.0,q4,0.011512322074287321,0.2,0.2920970310302768
AGO,Earthquake,2500.0,q4,0.019490321693436587,0.2,0.2920970310302768
AGO,Earthquake,5000.0,q4,0.02892540756942554,0.2,0.2920970310302768
AGO,Flood,10.0,q4,0.0007728220372291446,0.2,0.3918564170144741
AGO,Flood,25.0,q4,0.0015856347760165835,0.2,0.3918564170144741
AGO,Flood,50.0,q4,0.0022013474807687354,0.2,0.3918564170144741
AGO,Flood,100.0,q4,0.0024425834652759475,0.2,0.3918564170144741
AGO,Flood,250.0,q4,0.0025781969395470266,0.2,0.3918564170144741
AGO,Flood,500.0,q4,0.0026894282234643037,0.2,0.3918564170144741
AGO,Flood,1000.0,q4,0.002828272443275605,0.2,0.3918564170144741
AGO,Flood,2500.0,q4,0.003047115476790089,0.2,0.3918564170144741
AGO,Flood,5000.0,q4,0.0032475204905582766,0.2,0.3918564170144741
AGO,Earthquake,10.0,q5,0.0001667819731780034,0.2,0.28811627984659943
AGO,Earthquake,25.0,q5,0.00041085458811434373,0.2,0.28811627984659943
AGO,Earthquake,50.0,q5,0.0008275775268459258,0.2,0.28811627984659943
AGO,Earthquake,100.0,q5,0.0016544428431381976,0.2,0.28811627984659943
AGO,Earthquake,250.0,q5,0.004130777837496213,0.2,0.28811627984659943
AGO,Earthquake,500.0,q5,0.007702905010917726,0.2,0.28811627984659943
AGO,Earthquake,1000.0,q5,0.011512322074287321,0.2,0.28811627984659943
AGO,Earthquake,2500.0,q5,0.019490321693436587,0.2,0.28811627984659943
AGO,Earthquake,5000.0,q5,0.02892540756942554,0.2,0.28811627984659943
AGO,Flood,10.0,q5,0.0007770998444528868,0.2,0.3918564170144741
AGO,Flood,25.0,q5,0.001594411751273889,0.2,0.3918564170144741
AGO,Flood,50.0,q5,0.002213532614863724,0.2,0.3918564170144741
AGO,Flood,100.0,q5,0.0024561039146019192,0.2,0.3918564170144741
AGO,Flood,250.0,q5,0.0025924680510849007,0.2,0.3918564170144741
AGO,Flood,500.0,q5,0.002704315034305414,0.2,0.3918564170144741
AGO,Flood,1000.0,q5,0.002843927799496986,0.2,0.3918564170144741
AGO,Flood,2500.0,q5,0.003063982196384324,0.2,0.3918564170144741
AGO,Flood,5000.0,q5,0.003265496513425805,0.2,0.3918564170144741
ALB,Earthquake,10.0,q1,0.0039554094637977225,0.2,0.7
ALB,Earthquake,25.0,q1,0.009862172624152177,0.2,0.7
ALB,Earthquake,50.0,q1,0.01967956628381014,0.2,0.7
ALB,Earthquake,100.0,q1,0.039181242399818836,0.2,0.7
ALB,Earthquake,250.0,q1,0.0966182460741765,0.2,0.7
ALB,Earthquake,500.0,q1,0.16335235390661737,0.2,0.7
ALB,Earthquake,1000.0,q1,0.2118260020762758,0.2,0.7
ALB,Earthquake,2500.0,q1,0.29450410801052057,0.2,0.7
ALB,Earthquake,5000.0,q1,0.3742619971691063,0.2,0.7
ALB,Flood,10.0,q1,0.010574708002087423,0.2,0.6693468853417732
ALB,Flood,25.0,q1,0.021456286308538214,0.2,0.6693468853417732
ALB,Flood,50.0,q1,0.029677472474437975,0.2,0.6693468853417732
ALB,Flood,100.0,q1,0.03294217418585926,0.2,0.6693468853417732
ALB,Flood,250.0,q1,0.034762911571397374,0.2,0.6693468853417732
ALB,Flood,500.0,q1,0.0363277242647086,0.2,0.6693468853417732
ALB,Flood,1000.0,q1,0.03813338348737749,0.2,0.6693468853417732
ALB,Flood,2500.0,q1,0.04101849511673319,0.2,0.6693468853417732
ALB,Flood,5000.0,q1,0.043631348981780366,0.2,0.6693468853417732
ALB,Tsunami,10.0,q1,8.515780419446719e-05,0.2,0.7
ALB,Tsunami,25.0,q1,0.00019140277200249014,0.2,0.7
ALB,Tsunami,50.0,q1,0.0003419319867805827,0.2,0.7
ALB,Tsunami,100.0,q1,0.0006026614458272992,0.2,0.7
ALB,Tsunami,250.0,q1,0.0013311500745178597,0.2,0.7
ALB,Tsunami,500.0,q1,0.0024033515439880987,0.2,0.7
ALB,Tsunami,1000.0,q1,0.004348175339258298,0.2,0.7
ALB,Tsunami,2500.0,q1,0.009446604655078654,0.2,0.7
ALB,Tsunami,5000.0,q1,0.016954035627362765,0.2,0.7
ALB,Earthquake,10.0,q2,0.003708196372310365,0.2,0.4167593413684286
ALB,Earthquake,25.0,q2,0.009245786835142666,0.2,0.4167593413684286
ALB,Earthquake,50.0,q2,0.01844959339107201,0.2,0.4167593413684286
ALB,Earthquake,100.0,q2,0.03673241474983016,0.2,0.4167593413684286
ALB,Earthquake,250.0,q2,0.09057960569454047,0.2,0.4167593413684286
ALB,Earthquake,500.0,q2,0.15314283178745378,0.2,0.4167593413684286
ALB,Earthquake,1000.0,q2,0.19858687694650856,0.2,0.4167593413684286
ALB,Earthquake,2500.0,q2,0.27609760125986305,0.2,0.4167593413684286
ALB,Earthquake,5000.0,q2,0.35087062234603716,0.2,0.4167593413684286
ALB,Flood,10.0,q2,0.010133117623580054,0.2,0.6693468853417732
ALB,Flood,25.0,q2,0.020560290921197065,0.2,0.6693468853417732
ALB,Flood,50.0,q2,0.028438167682235477,0.2,0.6693468853417732
ALB,Flood,100.0,q2,0.03156653836076436,0.2,0.6693468853417732
ALB,Flood,250.0,q2,0.03331124337632274,0.2,0.6693468853417732
ALB,Flood,500.0,q2,0.034810710886637335,0.2,0.6693468853417732
ALB,Flood,1000.0,q2,0.03654096738996529,0.2,0.6693468853417732
ALB,Flood,2500.0,q2,0.039305599329840034,0.2,0.6693468853417732
ALB,Flood,5000.0,q2,0.04180934274691807,0.2,0.6693468853417732
ALB,Tsunami,10.0,q2,7.9835441432313e-05,0.2,0.7
ALB,Tsunami,25.0,q2,0.00017944009875233452,0.2,0.7
ALB,Tsunami,50.0,q2,0.0003205612376067963,0.2,0.7
ALB,Tsunami,100.0,q2,0.000564995105463093,0.2,0.7
ALB,Tsunami,250.0,q2,0.0012479531948604934,0.2,0.7
ALB,Tsunami,500.0,q2,0.0022531420724888427,0.2,0.7
ALB,Tsunami,1000.0,q2,0.004076414380554654,0.2,0.7
ALB,Tsunami,2500.0,q2,0.008856191864136238,0.2,0.7
ALB,Tsunami,5000.0,q2,0.015894408400652593,0.2,0.7
ALB,Earthquake,10.0,q3,0.003708196372310365,0.2,0.3
ALB,Earthquake,25.0,q3,0.009245786835142666,0.2,0.3
ALB,Earthquake,50.0,q3,0.01844959339107201,0.2,0.3
ALB,Earthquake,100.0,q3,0.03673241474983016,0.2,0.3
ALB,Earthquake,250.0,q3,0.09057960569454047,0.2,0.3
ALB,Earthquake,500.0,q3,0.15314283178745378,0.2,0.3
ALB,Earthquake,1000.0,q3,0.19858687694650856,0.2,0.3
ALB,Earthquake,2500.0,q3,0.27609760125986305,0.2,0.3
ALB,Earthquake,5000.0,q3,0.35087062234603716,0.2,0.3
ALB,Flood,10.0,q3,0.00868047824488076,0.2,0.6693468853417732
ALB,Flood,25.0,q3,0.017612857629774117,0.2,0.6693468853417732
ALB,Flood,50.0,q3,0.02436139646849387,0.2,0.6693468853417732
ALB,Flood,100.0,q3,0.02704129762287311,0.2,0.6693468853417732
ALB,Flood,250.0,q3,0.028535889365896634,0.2,0.6693468853417732
ALB,Flood,500.0,q3,0.02982039977875343,0.2,0.6693468853417732
ALB,Flood,1000.0,q3,0.03130261428500283,0.2,0.6693468853417732
ALB,Flood,2500.0,q3,0.03367092069381628,0.2,0.6693468853417732
ALB,Flood,5000.0,q3,0.035815738416264745,0.2,0.6693468853417732
ALB,Tsunami,10.0,q3,7.9835441432313e-05,0.2,0.7
ALB,Tsunami,25.0,q3,0.00017944009875233452,0.2,0.7
ALB,Tsunami,50.0,q3,0.0003205612376067963,0.2,0.7
ALB,Tsunami,100.0,q3,0.000564995105463093,0.2,0.7
ALB,Tsunami,250.0,q3,0.0012479531948604934,0.2,0.7
ALB,Tsunami,500.0,q3,0.0022531420724888427,0.2,0.7
ALB,Tsunami,1000.0,q3,0.004076414380554654,0.2,0.7
ALB,Tsunami,2500.0,q3,0.008856191864136238,0.2,0.7
ALB,Tsunami,5000.0,q3,0.015894408400652593,0.2,0.7
ALB,Earthquake,10.0,q4,0.003708196372310365,0.2,0.29999999999999993
ALB,Earthquake,25.0,q4,0.009245786835142666,0.2,0.29999999999999993
ALB,Earthquake,50.0,q4,0.01844959339107201,0.2,0.29999999999999993
ALB,Earthquake,100.0,q4,0.03673241474983016,0.2,0.29999999999999993
ALB,Earthquake,250.0,q4,0.09057960569454047,0.2,0.29999999999999993
ALB,Earthquake,500.0,q4,0.15314283178745378,0.2,0.29999999999999993
ALB,Earthquake,1000.0,q4,0.19858687694650856,0.2,0.29999999999999993
ALB,Earthquake,2500.0,q4,0.27609760125986305,0.2,0.29999999999999993
ALB,Earthquake,5000.0,q4,0.35087062234603716,0.2,0.29999999999999993
ALB,Flood,10.0,q4,0.00868047824488076,0.2,0.3233364467042251
ALB,Flood,25.0,q4,0.017612857629774117,0.2,0.3233364467042251
ALB,Flood,50.0,q4,0.02436139646849387,0.2,0.3233364467042251
ALB,Flood,100.0,q4,0.02704129762287311,0.2,0.3233364467042251
ALB,Flood,250.0,q4,0.028535889365896634,0.2,0.3233364467042251
ALB,Flood,500.0,q4,0.02982039977875343,0.2,0.3233364467042251
