iso3,hazard,income_cat,rp,fa,recovery_rate,recovery_time,n,macro_multiplier_Gamma,v_ew
ALB,Earthquake,q1,10.0,0.002966557097848292,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,25.0,0.007396629468114133,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,50.0,0.014759674712857607,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,100.0,0.029385931799864127,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,250.0,0.07246368455563237,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,500.0,0.12251426542996302,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,1000.0,0.15886950155720686,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,2500.0,0.22087808100789041,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Earthquake,q1,5000.0,0.2806964978768297,0.1497866136776995,20.0,0.2,1.4863140116389217,0.7
ALB,Flood,q1,10.0,0.008114220614702699,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,25.0,0.01646390998648255,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,50.0,0.02277221828695613,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,100.0,0.025277300216635948,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,250.0,0.026674394569007373,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,500.0,0.02787511192325564,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,1000.0,0.029260636448832686,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,2500.0,0.03147445003631097,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q1,5000.0,0.033479353877701803,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,10.0,6.386835314585039e-05,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,25.0,0.0001435520790018676,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,50.0,0.000256448990085437,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,100.0,0.00045199608437047445,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,250.0,0.0009983625558883948,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,500.0,0.001802513657991074,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,1000.0,0.0032611315044437234,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,2500.0,0.00708495349130899,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Tsunami,q1,5000.0,0.012715526720522074,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Earthquake,q2,10.0,0.0039554094637977225,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,25.0,0.009862172624152177,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,50.0,0.01967956628381014,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,100.0,0.039181242399818836,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,250.0,0.0966182460741765,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,500.0,0.16335235390661737,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,1000.0,0.2118260020762758,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,2500.0,0.29450410801052057,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Earthquake,q2,5000.0,0.3742619971691063,0.1497866136776995,20.0,0.2,1.4863140116389217,0.4167593413684286
ALB,Flood,q2,10.0,0.010748239470426236,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,25.0,0.02180838500171098,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,50.0,0.03016448122910594,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,100.0,0.033482756853070186,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,250.0,0.03533337262692024,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,500.0,0.03692386397200057,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,1000.0,0.038759154149601495,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,2500.0,0.04169161059994559,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
ALB,Flood,q2,5000.0,0.04434734152293771,0.1497866136776995,20.0,0.2,1.4863140116389217,0.6693468853417732
