iso3,hazard,protection
MMR,Flood,2.393960775485076
MMR,Storm surge,1.0
MMR,Tsunami,1.0
MMR,Wind,1.0
MNG,Earthquake,1.0
MNG,Flood,6.337401801574531
MOZ,Earthquake,1.0
MOZ,Flood,19.56091498821031
MOZ,Storm surge,3.500947655831794
MOZ,Tsunami,1.0
MOZ,Wind,1.0
MRT,Earthquake,1.0
MRT,Flood,2.146631575272727
MRT,Tsunami,1.0
MUS,Storm surge,1.0
MUS,Tsunami,1.0
MUS,Wind,1.0
MWI,Earthquake,1.0
MWI,Flood,2.98283411672248
MYS,Earthquake,1.0
MYS,Flood,33.38911778432136
MYS,Storm surge,51.17398090210698
MYS,Tsunami,1.0
MYS,Wind,1.0
NAM,Earthquake,1.0
NAM,Flood,16.52581708483515
NER,Earthquake,1.0
NER,Flood,2.293148576337591
NGA,Earthquake,1.0
NGA,Flood,7.065881068414074
NIC,Earthquake,1.0
NIC,Flood,6.41578105235634
NIC,Storm surge,1.0
NIC,Tsunami,1.0
NIC,Wind,1.0
NLD,Earthquake,1.0
NLD,Flood,4881.606629655777
NLD,Storm surge,1253.476214653469
NLD,Wind,1.0
NOR,Earthquake,1.0
NPL,Earthquake,1.0
NPL,Flood,2.320011459943355
PAK,Earthquake,1.0
PAK,Flood,7.2139183581255
PAK,Storm surge,1.554861574652473
PAK,Tsunami,1.0
PAK,Wind,1.0
PAN,Earthquake,1.0
PAN,Flood,14.82792086905369
PAN,Storm surge,30.56778404030802
PAN,Tsunami,1.0
PAN,Wind,1.0
PER,Earthquake,1.0
PER,Flood,91.7691313525062
PER,Tsunami,1.0
PHL,Earthquake,1.0
PHL,Flood,8.126458979264724
PHL,Storm surge,6.240046709651354
PHL,Tsunami,1.0
PHL,Wind,1.0
POL,Earthquake,1.0
POL,Flood,199.999915579447
PRT,Earthquake,1.0
PRT,Flood,72.97444944835968
PRT,Tsunami,1.0
PRY,Earthquake,1.0
PRY,Flood,16.42513425115515
PSE,Earthquake,1.0
PSE,Flood,29.23125037615007
ROU,Earthquake,1.0
ROU,Flood,50.00000080795761
RWA,Earthquake,1.0
RWA,Flood,2.218401156716561
SDN,Earthquake,1.0
SDN,Flood,7.716921279010713
SEN,Earthquake,1.0
SEN,Flood,5.401764990213573
SEN,Tsunami,1.0
SLE,Earthquake,1.0
SLE,Flood,1.760804923570273
SLE,Tsunami,1.0
SLV,Earthquake,1.0
SLV,Flood,6.841659879015594
SLV,Storm surge,3.071846071320598
SLV,Tsunami,1.0
SLV,Wind,1.0
SRB,Earthquake,1.0
SRB,Flood,20.77438684708684
SVK,Earthquake,1.0
SVK,Flood,99.9999835636962
SVN,Earthquake,1.0
SVN,Flood,56.37243034161575
SWE,Earthquake,1.0
SWE,Flood,60.86013243779401
SWZ,Earthquake,1.0
SWZ,Flood,6.610998377440167
TGO,Earthquake,1.0
TGO,Flood,2.298778551394527
THA,Earthquake,1.0
THA,Flood,22.88930222402872
THA,Storm surge,11.43762075777241
