iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.3,0.3074152642375409,0.2087420721134342,0.009588466405,0.06,0.05,0.8,1.5
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.44166666666666665,0.469678089191154,0.3695482842639164,0.005235208329,0.06,0.05,0.8,1.5
AUS,51090.26332782138,26005540.0,0.86488,0.6790700317264603,0.9166666666666667,0.23099803101387528,0.3363063808739728,0.004970939722,0.06,0.05,0.8,1.5
AUT,55867.18380720708,9041851.0,0.59256,0.6743220859874698,0.8916666666666666,0.18186532022472657,0.4206386267405563,0.006835775451,0.06,0.05,0.8,1.5
BDI,708.178313385561,12889576.0,0.14417,0.6666666666666667,0.5,0.5273924728010927,0.09759311940487748,0.651328928523,0.06,0.05,0.8,1.5
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.4166666666666667,0.4570694328380306,0.08627838745087081,0.200821865179,0.06,0.05,0.8,1.5
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.4666666666666667,0.5136741699207948,0.11826341175146202,0.312038230194,0.06,0.05,0.8,1.5
BGD,6263.00463511584,171186372.0,0.3971099999999999,0.7430143350200373,0.6083333333333334,0.2770114487863902,0.04448744978081786,0.095763822443,0.06,0.05,0.8,1.5
BGR,26961.2912585423,6465097.0,0.76363,0.4856640200425024,0.7250000000000001,0.34702291863864165,0.27793174339542215,0.002478634814,0.06,0.05,0.8,1.5
BLR,19092.111174022295,9228071.0,0.80326,0.7333333333333333,0.5166666666666667,0.3634728967331161,0.46674049712544935,0.0,0.06,0.05,0.8,1.5
BOL,8244.235658484637,12224110.0,0.7082999999999999,0.3505492399830046,0.36666666666666664,0.48238079763710623,0.1607276599735671,0.019645011375,0.06,0.05,0.8,1.5
BRA,15093.465117066098,215313498.0,0.87555,0.5291082704872349,0.55,0.2423649776461265,0.27149589203313657,0.058245602832,0.06,0.05,0.8,1.5
BTN,11595.683107514,782455.0,0.43686,0.6,0.8333333333333334,0.15485283162287,0.04582417617530927,1.5388477e-05,0.06,0.05,0.8,1.5
BWA,15518.6510452679,2630296.0,0.72224,0.6,0.6708333333333334,0.21584996202890477,0.16602754311421403,0.154262420302,0.06,0.05,0.8,1.5
CAN,48974.5865932969,38929902.0,0.8175199999999999,0.7290944203661487,0.825,0.2209511482560882,0.3236300104570574,0.002486375387,0.06,0.05,0.8,1.5
CHE,72278.20725820548,8775760.0,0.74092,0.8346389202560219,1.0,0.22899160633982424,0.3480249239755463,0.00030503981,0.06,0.05,0.8,1.5
CHL,25886.121356161602,19603733.0,0.87912,0.5408725972262776,0.8666666666666667,0.22311463099423323,0.21548047411167437,0.00749503097,0.06,0.05,0.8,1.5
CHN,18187.8411189224,1412175000.0,0.6356,0.8,0.8166666666666667,0.20226869046930582,0.31600808986996093,0.001107742747,0.06,0.05,0.8,1.5
