iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,average_aid_cost_pc,dk,dw,dk_tot,dw_tot,axfin,c,dS_reco_PDS,dW_long_term,dW_reco,dc_long_term,diversified_share,dk_pub,dk_reco,fa,gamma_SP,help_fee,help_needed,help_received,income_share,k,lambda_h,liquidity,n,reco_fee,v_ew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
AGO,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,0.12050019032500328,0.9272775571698005,3.7069107055837114e-06,78058286.70717978,131.92519691117954,0.007469343341341636,590.6115676770331,0.06226390534602497,2.3283734471604432e-06,1.3785372584232681e-06,0.7934059840348635,0.015897864804948248,0.7311420786888385,266.5601139130095,7.358020508085834e-05,0.05000000000000001,0.05942828217294156,0.05942828217294156,0.05942828217294156,0.020000000000000004,3436.5332778315715,0.0001873810436148679,17.054276279559517,0.01996433176690634,0.7311420786888385,0.04999140658460417,1.6825386440406451,59879845.92976014,0.0002848807466908126,0.551118133573995,0.00015700294540740668
ALB,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,10.413057831794221,40.119351848901594,2.9421920687591055e-05,226742808.91826937,81.72494545279412,0.0064345527472874425,3098.4134808058197,4.9978749071582635,2.028114031114348e-05,9.140780376447577e-06,36.03501127646368,0.039703334289698425,31.03713636930541,1591.1347063647768,0.0015128163030721303,0.06666666666666667,5.918767094449558,7.145218765700289,5.918767094449558,0.039999999999999994,19123.39210624947,0.005849844799713897,142.31729660737278,0.03925020159139157,31.03713636930541,0.09136802783698458,56.73291350719314,157586389.7868818,0.0036620621397786025,0.7071618460739705,0.002589670623203431
ARG,22461.44094261999,46234830.0,0.92347,0.4869371336118353,0.6375410621136512,0.5,0.3,0.3074152642375409,0.2087420721134342,0.1607878564150257,0.009588466405,0.06,0.05,0.8,1.5,1.186714469961342,23.9584452078566,9.05168622707176e-06,2032261752.0881867,418.5031739220042,0.0055721335310671945,2246.1440942619993,1.2155837311973718,7.903724265421756e-06,1.1479619616500047e-06,21.32180189104586,0.02246633634373585,20.106218159848492,580.7642747798808,0.0006633030327955632,0.05,0.5963274449456433,0.5963274449456433,0.5963274449456433,0.019999999999999997,7306.547057228738,0.0031304613107499897,100.1468968417214,0.01968352605556664,20.106218159848492,0.04189505643957543,30.470944161182903,1408818923.231784,0.0013565890202246595,0.7862718359209029,0.0010666477395221818
ARM,16057.0064572714,2780469.0,0.63573,0.3740101200533297,0.3133509856523386,0.5,0.4416666666666666,0.469678089191154,0.3695482842639164,0.3118748350056252,0.005235208329,0.06,0.05,0.8,1.5,4.209376577318476,28.183698164742886,1.9268366803553767e-05,119993541.77378152,53.575096577910344,0.0027989264051753483,1605.70064572714,4.046624585280688,1.2614715835721955e-05,6.653650967831813e-06,23.440536535046046,0.04543948039209054,19.393911949765357,298.90954450693545,0.002937425436436094,0.05,3.0241908382954406,3.202689585736953,3.0241908382954406,0.020000000000000004,3418.725894776916,0.013788835965638586,60.909266921653256,0.018689123329819306,19.393911949765357,0.04561452359016612,39.2050288907061,109008367.47471271,0.002441615066608642,0.7188796683025549,0.0017552274292061412
AUS,51090.263327821376,26005540.0,0.86488,0.6790700317264603,0.9301463158373546,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.4446686830942625,0.1275865326707433,0.004970939722,0.06,0.05,0.8,1.5,2.022332993426368,26.408787605980702,2.753801406141247e-06,896515393.2431359,71.61409261946245,0.04149610263449439,15327.078998346415,2.4258959405528993,2.533455940128194e-06,2.203454660130535e-07,25.465277903848424,0.13812510487883964,23.039381963295526,2945.380188881561,0.0003773483717665385,0.06000000000000001,1.637651973740692,1.637651973740692,1.6376519737406923,0.06,66351.5568988801,0.002145674890229416,793.5233152708945,0.05982671374355991,23.039381963295526,0.13191359193460858,31.800930597874345,827000372.7002451,0.0006224460107755413,0.8304407169690163,0.0005169045114629446
AUT,55867.18380720709,9041851.0,0.59256,0.6743220859874698,0.8577375757241545,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4262241812069232,0.127813551756672,0.006835775451,0.06,0.05,0.8,1.5,5.740708329969774,89.83431544121747,7.931134962771382e-06,826077707.3888992,71.71214059426939,0.033337305016470135,5586.718380720709,7.712802959027348,7.270146253236208e-06,6.609887095351748e-07,86.06507547407358,0.04575147898572366,78.35227251504622,1212.7806315178777,0.0009467534876279059,0.049999999999999996,5.6617765302685745,5.6617765302685745,5.6617765302685745,0.02,30718.986851464244,0.005308487049429656,296.3391541660168,0.019591938272107087,78.35227251504622,0.04098466689482072,104.72985681777318,946951760.5976393,0.0018746220890458168,0.8577717775125626,0.0016079979214851437
AZE,15094.2841004892,10141756.0,0.5717,0.4236035393738244,0.4612760789957857,0.7407407407407408,0.6203703703703705,0.6127220701287495,0.0220546563487747,0.1679504354220639,0.0,0.06,0.05,0.8,1.5,4.44493597301662,19.644614351424195,1.4668617637479385e-05,278566711.83459365,148.76554093661238,0.002179376529932568,1509.42841004892,3.4011849617695544,1.1569376957347873e-05,3.0992406801315104e-06,19.74647777917353,0.002234863089704162,16.345292817403976,107.57997185489737,0.0030462524246601215,0.05,3.6081499241303367,3.8088520195748976,3.6081499241303367,0.02,2463.4797465868137,0.017846190290709725,60.270932842427,0.01868012593015722,16.345292817403976,0.035182863440825614,27.20244669556975,275880576.9894747,0.0018021687225754635,0.7221635087193667,0.0013014604879993958
BEL,53287.15361438369,11685814.0,0.98153,0.3576976268957179,0.6902337998079515,0.8181818181818182,0.8424242424242425,0.1700950073738132,0.4462501851080438,0.162855700732705,0.000547254789,0.06,0.05,0.8,1.5,5.079140434815014,48.82958186695147,4.874895965891733e-06,592527434.4480746,56.96712752676113,0.028466700651108262,5328.715361438371,4.994903055210852,4.019456142421039e-06,8.554398234706936e-07,45.87230915073496,0.04679154520618962,40.87740609552411,1573.4310324964201,0.000505403516721694,0.05,4.943767171001989,4.943767171001989,4.943767171001989,0.020000000000000004,31327.876365751254,0.0022235459786494804,300.2697316296237,0.019742763271156087,40.87740609552411,0.04194887684018703,59.96517919655425,700741930.5676024,0.0011253214917519628,0.8142989401715544,0.0009163480980858958
BEN,3435.1716165758994,13352864.0,0.49534,0.6048974177043009,0.3847971666493662,0.5,0.4166666666666667,0.4570694328380306,0.0862783874508708,0.192226818707776,0.200821865179,0.06,0.05,0.8,1.5,0.16189292826776908,2.4756657031100793,1.6529826700039707e-05,33057227.443093266,220.72052786919897,0.005135052473987795,687.0343233151799,0.21922788803957075,1.2968330610821214e-05,3.5614960892184945e-06,2.21900424885685,0.016997107024265278,1.9997763608172792,150.32726314538755,0.0006078423810498845,0.10000000000000003,0.16189292826776908,0.16189292826776908,0.16189292826776908,0.04,1503.129008319926,0.0031078043783650507,27.862080232459718,0.03971067069015405,1.9997763608172794,0.1153802799300318,3.328058552473307,44439113.23521293,0.0009688187153195682,0.7438768471396765,0.0007206818114018322
BFA,2158.8585157544,22673762.0,0.31877,0.5860386582748977,0.5325130244580834,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.118263411751462,0.2855912927239073,0.312038230194,0.06,0.05,0.8,1.5,0.0342806727149131,0.4001884333440834,5.878122641094931e-06,9073777.292796612,133.27915377099788,0.007521228644658323,431.77170315087994,0.04335616646417044,4.023489503453846e-06,1.8546331376410852e-06,0.3292542677963619,0.018984052718386213,0.2858981013321914,131.3733743620726,0.0001651578348703912,0.09999999999999999,0.03428067271491309,0.0342806727149131,0.0342806727149131,0.04000000000000001,840.5556059348991,0.0007247192776957815,17.45410832285797,0.039920399457510254,0.2858981013321914,0.11960548385957757,0.5896236767135544,13368986.915368075,0.00027311825782502195,0.6787183913214857,0.00018537038459152567
