iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma,dk,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
ARE,Earthquake,10.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,375.9992252458386,0.006743953891694099,0.00022632478698444085,0.03333333333333338,2934.2755692728488,176.0254796010964,128.6941839750238,19082.897961909915
ARE,Earthquake,25.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,939.1906565168172,0.016845403016237805,0.0005711344234134403,0.03333333333333338,2934.2755692728488,439.68570850684495,321.4591068861155,19082.897961909915
ARE,Earthquake,50.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,1876.0286847467385,0.0336486090926262,0.0011606754164594053,0.03333333333333338,2934.2755692728488,878.27002505669,642.11297387478,19082.897961909915
ARE,Earthquake,100.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,3742.6841228992794,0.06712909884190692,0.0023986562613172945,0.03333333333333338,2934.2755692728488,1752.1519287652995,1281.0177434750744,19082.897961909915
ARE,Earthquake,250.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,9287.341933611578,0.1665785500906875,0.006662437518209375,0.03333333333333338,2934.2755692728488,4347.904751703861,2934.2755692728488,17614.966438808548
ARE,Earthquake,500.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,16322.360537967186,0.2927592385321712,0.013798188419106868,0.03333333333333338,2934.2755692728488,7641.375697088573,2934.2755692728488,10022.828259783177
ARE,Earthquake,1000.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,22221.77362234886,0.3985716103611666,0.022090278035179736,0.03333333333333338,2934.2755692728488,10403.20856220765,2934.2755692728488,7361.978357198967
ARE,Earthquake,2500.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,33029.822219430964,0.5924256837312752,0.04845134249829045,0.03333333333333338,2934.2755692728488,15463.037971721544,2934.2755692728488,4952.985074502338
ARE,Earthquake,5000.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,44210.28842760107,0.7929594708587467,0.12766573999588776,0.03333333333333338,2934.2755692728488,20697.21611442977,2934.2755692728488,3700.41052173213
ARE,Flood,10.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,571.6076119037815,0.011767780057194243,0.00039693032399056044,0.03333333333333338,2934.2755692728488,270.29509131785994,197.6157445412798,16792.950206480728
ARE,Flood,25.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,1172.1624169416875,0.024131500747405884,0.0008242743349774395,0.03333333333333338,2934.2755692728488,554.2783912050995,405.23909045883937,16792.950206480728
ARE,Flood,50.0,74917.674109094,9441129.0,0.87543,0.9333333333333332,0.7833333333333333,0.1426513349661161,0.1880143481125514,0.06,0.05,0.8,1.5,3.0,1.0780777419315832,1628.5765756374183,0.03352777420960184,0.0011563627425913965,0.03333333333333338,2934.2755692728488,770.1021558546736,563.0302428359724,16792.950206480728
