country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,48.78876610685617,0.002094650254016,0.0010495235116983748,0.5,99.392741,29.32128062265862,0.0,0.0
Albania,earthquake,20.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,157.48540228577752,0.006761327744571901,0.003403677249707969,0.5,99.392741,94.64624836545426,0.0,0.0
Albania,earthquake,50.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,333.68816028060485,0.014326248549984901,0.007267236511528128,0.5,99.392741,200.5413329498275,0.0,0.0
Albania,earthquake,100.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,620.9765979014246,0.0266604157539746,0.013695331097946902,0.5,99.392741,373.19716279139124,0.0,0.0
Albania,earthquake,250.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,1230.7259220568321,0.052838810467439705,0.02789325146098761,0.5,99.392741,739.6469107493479,0.0,0.0
Albania,earthquake,500.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,1969.1072954176257,0.0845397706410056,0.046173371562083246,0.5,99.392741,1183.4024959477492,0.0,0.0
Albania,earthquake,1000.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,2999.427886104512,0.12877457014943014,0.07390427651515934,0.5,99.392741,1802.608956399476,0.0,0.0
Albania,earthquake,1500.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,3755.703667620821,0.1612437917401084,0.09612077392227565,0.5,99.392741,2257.118799288164,0.0,0.0
Albania,earthquake,2000.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,2.6505891212772923e-11,1.1379786002407857e-15,5.689893001203934e-16,0.5,99.392741,1.5929623485480194e-11,0.0,0.0
Albania,flood,1.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,13.559494794860418,0.0005797304165004601,0.00029003334940467943,0.5,99.392741,8.115167768514212,0.0,0.0
Albania,flood,20.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,296.03125972119125,0.01265669024485868,0.006409467770636694,0.5,99.392741,177.17056377886962,0.0,0.0
Albania,flood,50.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,661.8870551011536,0.0282986987299481,0.014561418561939037,0.5,99.392741,396.13013443462586,0.0,0.0
Albania,flood,100.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,845.6898208305837,0.03614878770499657,0.0187522655176848,0.5,99.392741,506.01705293518637,0.0,0.0
Albania,flood,250.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,1490.4490231235816,0.06370884926709694,0.03402192214314287,0.5,99.392741,891.8076151021914,0.0,0.0
Albania,flood,500.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,1741.3959025218842,0.07443550725109777,0.040210870141542635,0.5,99.392741,1041.9612497193084,0.0,0.0
Albania,flood,1000.0,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.118347494599629,2029.570365707204,0.08675344845731496,0.047497276781811155,0.5,99.392741,1214.3899452060277,0.0,0.0
