country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.089,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331291099994,1.1548706449607842,109.29888932386885,314354644.88326854,2.0048503862757544e-06,5.766152200818083,0.0,0.086087198,56795.852,109.29888932386885,126.22607880695378,126.22607880695378,109.29888932386885,2.0048503862757544e-06,0.004684841967579017,1.0,0.0,65.57923726924163,0.0,306540.6750967943,3.3905695888242064,0.0,0.19179090179999997,2.105999999999999,2.105999999999999,165.1553585616441,475003491.91450316,0.01453938560175522,0.6617943872712622,0.009622083785614207
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,4,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878922,1.2829782330263904,57.81974373705247,2347831520.813427,9.80441526948402e-07,39.81185962622622,30.323205730159042,0.15218446000000002,69605.9001,57.81974373705247,74.18147265380227,74.18147265380227,57.81974373705247,9.80441526948402e-07,0.00885501592764815,1.0,30.323205730159042,77.03533419021237,30.323205730159042,240925.51868819207,3.387029213793623,2.4000000000000004,0.156262696459679,0.9503924,0.8591547296,109.57975171667412,4449601096.354359,0.007871441326040271,0.5276498881522321,0.004153365135282007
Angola,5984.640421999999,6024.726138,28813463,0.054,0.44819,3110.808183,4,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.4323973905251145,1.0,0.1273585357336769,1.460356245872084,8.786108876009243,253158223.01286387,9.79204899613988e-07,28.214284144446363,0.0,0.18571632,29923.202109999995,8.786108876009243,12.830848973992252,12.830848973992252,8.786108876009243,9.79204899613988e-07,0.0015207822274709481,1.0,0.0,3.0592445449337538,0.0,69203.0127047263,3.3975619791919236,0.0,0.13004843279721204,3.0999999999999996,3.0999999999999996,30.846338761381602,888789840.5865346,0.00515425098022399,0.28483473983658325,0.0014681097370045544
Antigua and Barbuda,21013.017630000002,20777.613080000003,100963,0.0103,0.23393,14353.37881,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086055,1.0,0.1390149070134991,1.420937967447601,2072.115977344849,209207045.420668,2.53352204019797e-05,2.5579198574450763,27.857744830781037,0.12239999999999998,84052.07052000001,2072.115977344849,2944.3482651640893,2944.3482651640893,2072.115977344849,2.53352204019797e-05,0.16509649839485852,0.8,27.857744830781037,100.2878813908117,27.857744830781037,209862.26528816915,2.528628853077601,1.2000000000000002,0.1311239679778994,0.9439571109442393,0.8871606459462302,5251.999501114162,530257625.63098913,0.24994027957298018,0.3945384947019262,0.0986110616681022
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.2590443178477382,80.21683341862106,3517301988.1446486,7.982614494468347e-07,35.001713026318626,7.549502953609814,0.050750804000000004,92447.17444999996,80.21683341862106,100.99654831145341,100.99654831145341,80.21683341862106,7.982614494468347e-07,0.0030324152141462057,1.0,7.549502953609814,25.736941887306184,7.549502953609814,342969.1739173825,3.3953720234242892,3.2000000000000006,0.16162662160000002,2.2894629499999994,1.9964116923999993,136.5381681075958,5986847768.426039,0.007384658802170444,0.5875048312894313,0.0043385227236991605
Armenia,8190.239288999999,8174.366731999999,2924816,0.079,0.62558,3606.152057,4,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091,1.379136090743238,57.629091043419294,168554487.54924944,1.7110188582586102e-06,5.004415332936515,1.5882061879529714,0.0209314598,40951.196444999994,57.6290910434193,79.47835933470743,79.47835933470743,57.629091043419294,1.7110188582586102e-06,0.011016746984863627,1.0,1.5882061879529714,9.342389340899832,1.5882061879529714,111676.23202299676,3.3812983202529328,1.6000000000000003,0.40256331958,1.25,1.17,86.29535687863115,252398040.52433047,0.010536365768278735,0.6678121874444635,0.007036313471429187
Australia,44260.57597,44414.029480000005,24127159,0.073,0.89554,49927.81951,4,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.2736023908600951,1.0,0.22769110058,1.2640544678011738,88.39363947772019,2132687394.2676318,1.908362914596253e-07,4.604337547016722,12.403176861781699,0.6593659199999998,221302.87984999997,88.3936394777202,111.73437490701843,111.73437490701843,88.39363947772019,1.908362914596253e-07,0.0012700219247559013,1.0,12.4031768617817,16.913422993338678,12.403176861781699,808848.4868656059,3.3981335085652433,4.0,0.28233659200000005,2.8543999999999996,2.397696,120.96414512404446,2918521162.7068954,0.0027329997966143607,0.7307424806505731,0.00199711905099549
Austria,44438.724819999974,44143.70016,8747358,0.079,0.66032,44176.51522,4,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729,1.0,0.4837075333,1.2129700527022487,97.81411965077582,855615122.0401711,1.9737180422590893e-07,1.7264818306699383,39.172330711615956,0.64525414,222193.62409999984,97.81411965077582,118.6455978678256,118.64559786782559,97.81411965077582,1.9737180422590893e-07,0.0021940994067726942,1.0,39.172330711615956,56.021296816608306,39.172330711615956,956582.75166759,3.3968367433595112,4.0,0.49449017,1.5279999999999998,1.2835199999999998,125.81508619465619,1100549600.7455153,0.002831203791384045,0.7774434895624649,0.002201100955236093
Azerbaijan,16001.323400000001,15994.00974,9762274,0.084,0.54895,3876.936433,4,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.6653471148823724,41.32668934562817,403442464.9049029,5.367711498180378e-07,5.240107039818735,0.0,0.0571493,80006.617,41.32668934562817,68.82328286938196,68.82328286938196,41.32668934562817,5.367711498180378e-07,0.006481208391686513,0.9999999999999998,0.0,4.346685440492769,0.0,133740.8401352831,3.387084573381872,0.0,0.4859833591999999,1.2499999999999998,1.2499999999999998,73.9266773793195,721692480.4865189,0.0046200352015458605,0.5590226804537686,0.002582704462158934
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559799992,1.2839652829155197,74.12561736339785,12078884985.328768,8.671071749867077e-06,1412.9646685127695,18.248225052445598,0.08737927799999998,16596.767780000002,74.12561736339785,95.17471926928266,95.17471926928266,74.12561736339785,8.671071749867077e-06,0.01733380638164783,1.0,18.248225052445594,44.02610819975905,18.248225052445598,57287.7372535001,3.3746015744721998,3.2,0.13804606459999993,2.3566042902633693,2.054958941109658,112.83002413026163,18385828446.863777,0.03399156559454542,0.6569671320624751,0.02233134136296201
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3864445367538237,1.0,0.43562942058399995,1.4035495018199031,57.92540330053277,550703760.2265611,5.989112871637772e-07,5.693921476420489,9.963587883078914,0.17237385200000002,83760.49384999998,57.925403300532764,81.30117094517973,81.30117094517973,57.92540330053277,5.989112871637772e-07,0.005088617633930993,1.0,9.963587883078914,24.51737278132884,9.963587883078914,216746.48205301925,3.392406098291642,3.2,0.4684550398,1.8799999999999992,1.639359999999999,88.3477448312732,839932611.8402941,0.005273831419230178,0.6556523136064071,0.0034577997715884274
Belgium,42094.57904999999,41945.69212,11348159,0.086,0.97897,41096.1573,4,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374667,1.0,0.4831477469100001,1.1937014612959478,24.838212848376266,281867988.67921674,5.665827252056121e-08,0.6429670852286593,0.0,0.5792287,210472.89524999997,24.838212848376266,29.649410973086532,29.649410973086532,24.838212848376266,5.665827252056121e-08,0.00045875789873799734,0.9999999999999998,0.0,8.538882194238631,0.0,971301.9583737913,3.3990767471997887,0.0,0.5101755720000001,1.5399999999999996,1.5399999999999996,33.31151109804902,378024324.47092485,0.0007913491915070956,0.7456345278143502,0.000590057280745661
Belize,7846.015831999998,7831.454486,366954,0.0321,0.43845,4810.565902,4,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.9615481265045698,1.0,0.15088172973340003,2.1144903846007606,108.48841334840618,39810257.23185104,7.185918133892411e-06,2.636901402904356,0.0,0.2545334,39230.079159999994,108.48841334840618,229.3977068657977,229.3977068657977,108.48841334840618,7.185918133892411e-06,0.04909535293183224,1.0,0.0,15.88291515399942,0.0,40798.8722338939,3.3185050108569096,0.0,0.19982794680000004,1.5420478296114661,1.5420478296114661,339.7994354274753,124690762.02785377,0.04330853298072664,0.31927190582858184,0.013827197863396588
