iso3,income_cat,axfin,social,n,c,gamma_SP,k
ROU,nonpoor,0.2371,0.457125,0.8,38359.6372481681,1.1617269105657944,122230.40620463192
RWA,poor,0.077,0.0930860993913507,0.2,696.9835215249752,0.25392605416677444,1211.4455734433545
RWA,nonpoor,0.264,0.1110543221081864,0.8,2781.7565820579816,1.1865184864583063,4748.624805777481
SEN,poor,0.073,0.1086813533373288,0.2,1261.966296173629,0.25610246393428415,3830.2124791295078
SEN,nonpoor,0.0978,0.15385769286149142,0.8,4140.293596906993,1.185974384016429,11933.811120955213
SRB,poor,0.1177999999999999,0.6322902942888721,0.2,6881.153867516803,0.5576448215137725,17682.504689293495
SRB,nonpoor,0.237,0.3559337578759607,0.8,24387.0722930263,1.110588794621557,110080.70240422494
SYC,poor,0.94,0.5195903254918629,0.2,9020.983013516205,0.5376288959426117,37404.22717439969
SYC,nonpoor,0.94,0.3246080080025557,0.8,29251.924604341955,1.1155927760143471,166406.97237755818
SLE,poor,0.0432,0.028473152438034294,0.2,645.1269327089389,0.2545085530710972,694.0639273648769
SLE,nonpoor,0.0525,0.0455388257020372,0.8,1882.1730546794274,1.1863728617322258,1989.4402898219917
SVK,poor,0.4447,0.5193426699999999,0.2,15446.771826218042,0.46930681386495654,70104.85821986831
SVK,nonpoor,0.6842,0.5263041879999999,0.8,37608.537754703975,1.1326732965337607,172361.61353477402
SVN,poor,0.2485,0.6751076400000001,0.2,21053.4707053854,0.7556618502189592,79917.89499032011
SVN,nonpoor,0.498,0.43541189,0.8,46005.663862692,1.06108453744526,305656.6362128217
SLB,poor,0.26,0.1109021678265906,0.2,786.5452425354052,0.3265637418515793,2673.171704442996
SLB,nonpoor,0.26,0.11946026860499007,0.8,2613.0947921015354,1.168359064537105,8795.71378895837
ZAF,poor,0.2378,0.749943933273057,0.2,1625.1431733286408,0.23100830919466472,2587.3498779461097
ZAF,nonpoor,0.4611,0.3807055294007552,0.8,16442.15652744734,1.1922479227013336,63918.82923387621
ESP,poor,0.5222,0.6296447200000002,0.2,12156.02273919094,0.34801689563752025,59800.88703600853
ESP,nonpoor,0.544,0.537225678,0.8,47239.759984798395,1.16299577609062,286653.40425039694
LKA,poor,0.2693,0.17445263755691331,0.2,4464.390730858964,0.33789323241198194,13086.288767203598
LKA,nonpoor,0.3853,0.1923538993605143,0.8,14134.074060903633,1.1655266918970044,40636.25480560778
LCA,poor,0.35,0.3041732176934838,0.2,2351.510643959939,0.24656059708922745,8519.009186433927
LCA,nonpoor,0.35,0.1876044680815582,0.8,18287.479849204767,1.1883598507276931,77190.32932821264
SDN,poor,0.021,0.004200000000000001,0.2,1380.0023886117297,0.020524378218204044,2409.792301061139
SDN,nonpoor,0.1105,0.08620383231239842,0.8,4118.258680190817,1.244868905445449,6599.916153871342
SWE,poor,0.6931999999999999,0.59555392,0.2,22610.02043724083,0.4630691828583039,86862.58041146967
SWE,nonpoor,0.8668,0.521204955,0.8,63492.91816203592,1.134232704285424,290169.0210273581
CHE,poor,0.6163000000000001,0.6029630100000001,0.2,27720.275289633093,0.5323146612946952,86373.4930134107
CHE,nonpoor,0.5264,0.4103215730000001,0.8,83417.69025034859,1.1169213346763263,372952.78726696136
TJK,poor,0.0015,0.4260993663327729,0.2,1529.2233089699866,0.6673150547731513,10547.60732870778
TJK,nonpoor,0.0168,0.22108425210315458,0.8,4789.291172179204,1.0831712363067123,44869.291246345565
TZA,poor,0.0232,0.044873134890105096,0.2,899.5652717251821,0.23463238769432487,2710.46175677113
TZA,nonpoor,0.089,0.0675451653775356,0.8,3054.935647400742,1.1913419030764187,8989.231372087297
THA,poor,0.3847,0.40626705821100795,0.2,5738.3378433527805,0.18275676959616846,73446.93867354207
THA,nonpoor,0.6163000000000001,0.8808020822894888,0.8,20449.940780430807,1.2043108076009579,63852.96306508818
TLS,poor,0.62,0.20293159070130296,0.2,1855.611761904719,0.5157509882946715,14076.63525051365
TLS,nonpoor,0.62,0.18306232245256965,0.8,4464.962602246571,1.121062252926332,34703.20159421972
TGO,poor,0.0629,0.11529448406328284,0.2,633.7804446878924,0.3755513132604993,1546.7883403121364
TGO,nonpoor,0.152,0.08741305543410373,0.8,2594.9634087507015,1.1561121716848752,6539.831310808268
TON,poor,0.008,0.20383762370213865,0.2,2365.221951490696,0.6565126876525011,5977.053621576037
TON,nonpoor,0.008,0.11250421806741849,0.8,7087.398932773302,1.0858718280868747,19964.476053495247
TTO,poor,0.2855,0.3878498253689383,0.2,5687.391047296964,0.4169194560057909,8435.77827534423
TTO,nonpoor,0.4129,0.2196769502078359,0.8,27697.585163123378,1.1457701359985522,52488.24937434502
TUN,poor,0.0584999999999999,0.3125475726019585,0.2,4084.392706183311,0.6687001613712406,8490.43224615718
TUN,nonpoor,0.1906,0.17126421693498706,0.8,12190.215359232923,1.0828249596571897,30681.36370808372
TUR,poor,0.0295,0.2541243086008015,0.2,8858.014748374975,0.2632785589089251,38393.00586485845
TUR,nonpoor,0.1393,0.2609823796208094,0.8,39222.36908501352,1.1841803602727687,169072.71605500148
UGA,poor,0.1075,0.07582723379014669,0.2,689.6824217472354,0.24355930829215755,1347.9498353423296
UGA,nonpoor,0.193,0.0961981698290704,0.8,2677.671573265179,1.1891101729269606,5121.808924970479
ARE,poor,0.1054,0.45463924311471693,0.2,34584.30521109544,1.0533517942413801,165456.2529647751
ARE,nonpoor,0.1018,0.17259327739730107,0.8,85001.01633359364,0.9866620514396549,615111.3399410577
GBR,poor,0.6048,0.80506164,0.2,18615.514985469505,0.5489940634169637,43294.56990695081
GBR,nonpoor,0.6131,0.5368602879999999,0.8,54830.08043607661,1.112751484145759,270198.88746950164
USA,poor,0.4331,0.7166199999999998,0.2,19615.89598290319,0.7768058841638348,26570.452567568045
USA,nonpoor,0.7934,0.24867999999999996,0.8,75874.93304145493,1.055798528959041,264608.03057421284
URY,poor,0.0516999999999999,0.3523118562674519,0.2,6865.460444868482,0.326006451650878,28411.884503428595
URY,nonpoor,0.2166,0.30531794831961767,0.8,28816.95907446513,1.1684983870872805,128937.28076866748
VUT,poor,0.19,0.16519004996384695,0.2,1045.3378263503466,0.4505718090061643,3406.221885743585
VUT,nonpoor,0.19,0.1352372135636216,0.8,3221.045368130663,1.137357047748459,10870.960350427013
PSE,poor,0.0177,0.044549918129967996,0.2,2072.26337363128,0.2572397975576146,7381.748396294703
PSE,nonpoor,0.1013,0.06468194102328739,0.8,6634.945624838692,1.1856900506105963,23146.322205726683
ZMB,poor,0.048,0.0166570309000428,0.2,518.8660187896952,0.0977636682006774,2620.586813445948
ZMB,nonpoor,0.1038,0.026720972745803002,0.8,4077.6257200636,1.2255590829498304,20385.691153809974
ZWE,poor,0.0159,0.46427777291646183,0.2,660.9925281348451,0.6769937119174201,643.4024910214398
ZWE,nonpoor,0.0575,0.1892354606313864,0.8,2594.6981589581633,1.0807515720206449,3829.4512822206248
SYR,poor,0.0465,0.054207746746150996,0.2,1783.3655900835515,0.15289418335750016,6267.460277550651
SYR,nonpoor,0.0538999999999999,0.13333292690960996,0.8,5753.399256684719,1.211776454160625,18529.608874482623
