country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Sudan,3570.607421875,46874204.0,0.078,0.35956,1102.146484375,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.6196936360546678,1.0,0.05910373339203133
Sweden,54818.3965473561,10486941.0,0.0819999999999999,0.88492,55873.2208108977,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.22170190067143244,1.0,0.35678861013
Switzerland,70999.6879113108,8769741.0,0.075,0.74092,92101.4697414382,4,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,1.0,0.22899160633982424,1.0,0.31814118077500003
Tajikistan,4137.27759952148,9952787.0,0.074,0.27968,1054.18948358818,4,0.2,1.5,0.06,0.8,0.05,0.6,0.4583333333333333,0.10886153287159044,1.0,0.23312181055614636
Tanzania,2622.79248046875,65497748.0,0.069,0.36682,1192.40380859375,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.33928612187221824,1.0,0.04908883476038241
Thailand,17507.1235022913,71697030.0,0.076,0.5288900000000001,6908.80211929543,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7416666666666667,0.2661875047234859,1.0,0.23052295307201695
Timor-Leste,4089.17273291105,1341296.0,0.094,0.3207399999999999,2358.4090544008,4,0.2,1.5,0.06,0.8,0.05,0.4,0.4166666666666667,0.12895241137016927,1.0,0.06093003358048283
Togo,2208.68846291901,8848699.0,0.0579999999999999,0.43921,918.376755793481,4,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.3975163837569679,1.0,0.09406939928462622
Tonga,6142.96353651678,106858.0,0.077,0.23125,4425.9705910742,4,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3578357636224098,1.0,0.11793689030129194
Trinidad and Tobago,23525.7087345723,1531044.0,0.049,0.5334,18222.2603252218,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7041666666666666,0.5333503578087184,1.0,0.14658594109072995
Tunisia,10577.7075053529,12356117.0,0.078,0.70214,3776.66777934015,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.49583333333333335,0.4027351818419936,1.0,0.1462250786770109
Uganda,2281.42781257516,47249585.0,0.061,0.26159,964.224385224431,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.575,0.5221099997715624,1.0,0.057398642818722506
Ukraine,10731.4404296875,38000000.0,0.1,0.69919,4533.9755859375,4,0.2,1.5,0.06,0.8,0.05,0.0,0.10833333333333334,0.08886634939539849,1.0,0.4049588616520347
United Arab Emirates,74299.0129804715,9441129.0,0.092,0.87543,53757.8632508308,4,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,0.7833333333333333,0.14265133496611615,1.0,0.1781152662433034
