iso3,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrowing_ability,avg_prod_k,tau_tax,rho,max_increased_spending,shareable,income_elasticity,T_rebuild_K,macro_multiplier_Gamma
TGO,2202.72681593814,8848699.0,0.43921,0.2,0.25,0.3975163837569679,0.0765943109375695,0.06,0.05,0.8,1.5,3.0,1.3188395821974472
THA,17507.620193015195,71697030.0,0.5288900000000001,0.6666666666666667,0.7416666666666667,0.2661875047234859,0.7860468255111798,0.06,0.05,0.8,1.5,3.0,1.194777916048389
TJK,4137.2775995373595,9952787.0,0.27968,0.6,0.4583333333333333,0.10886153287159044,0.23475873194329236,0.06,0.05,0.8,1.5,3.0,1.0461577318199835
TLS,3943.0924341782,1341296.0,0.3207399999999999,0.4,0.4166666666666667,0.12895241137016927,0.1313307864257431,0.06,0.05,0.8,1.5,3.0,1.0651368617666919
TON,6142.96353651678,106858.0,0.23125,0.6,0.3333333333333333,0.3578357636224098,0.11873689030129193,0.06,0.05,0.8,1.5,3.0,1.2813547282647026
TTO,23295.5463399581,1531044.0,0.5334,0.6666666666666667,0.7041666666666666,0.5333503578087184,0.18386540614196187,0.06,0.05,0.8,1.5,3.0,1.4471570494942774
TUN,10569.050828623,12356117.0,0.70214,0.5333333333333333,0.49583333333333335,0.4027351818419936,0.16440785338954592,0.06,0.05,0.8,1.5,3.0,1.3237695929497568
TUR,33149.4982176858,84979913.0,0.77022,0.8666666666666666,0.65,0.23191721266739587,0.24981998809468958,0.06,0.05,0.8,1.5,3.0,1.1624040043605457
TZA,2623.86157226563,65497748.0,0.36682,0.6666666666666667,0.5083333333333333,0.33928612187221824,0.05981794050330903,0.06,0.05,0.8,1.5,3.0,1.2638315492127425
UGA,2280.07374296159,47249585.0,0.26159,0.6666666666666667,0.575,0.5221099997715624,0.07528404638352144,0.06,0.05,0.8,1.5,3.0,1.4365386877412158
URY,24426.6593485458,3422794.0,0.95688,0.6666666666666667,0.625,0.22444330821553823,0.29048030660700275,0.06,0.05,0.8,1.5,3.0,1.1553436757735642
USA,64623.1256297446,333287557.0,0.83084,0.7333333333333333,0.9083333333333333,0.29780171552966045,0.1980998179119056,0.06,0.05,0.8,1.5,3.0,1.2246427233586046
VNM,11396.5313049957,98186856.0,0.38766,0.5333333333333333,0.6083333333333334,0.3685205824381082,0.13449588303206236,0.06,0.05,0.8,1.5,3.0,1.2914482921063495
VUT,2785.9038597745994,326740.0,0.25816,0.4666666666666667,0.25,0.297067615658363,0.11848367629363851,0.06,0.05,0.8,1.5,3.0,1.223949245626797
ZAF,13478.753856623596,59893885.0,0.6833499999999999,0.7333333333333333,0.6666666666666667,0.2609504893395919,0.3970481022953466,0.06,0.05,0.8,1.5,3.0,1.1898306960693885
ZMB,3365.87377980882,20017675.0,0.45761,0.8666666666666666,0.5583333333333333,0.1999607740585774,0.02041259079904427,0.06,0.05,0.8,1.5,3.0,1.1322159067602504
ZWE,2207.9570327935,16320537.0,0.32395,0.7333333333333333,0.4166666666666667,0.6916635274013144,0.12242916918645586,0.06,0.05,0.8,1.5,3.0,1.5967098039039804
