country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Chile,25886.1213557859,19603733.0,0.055,0.87912,15355.5064965406,1,0.2,1.5,0.06,0.8,0.05,1,1,0.34739411181855295,1.0,0.18274970689667305
China,18187.9787370537,1412175000.0,0.072,0.6356,12720.2156397612,1,0.2,1.5,0.06,0.8,0.05,1,1,0.22921637913923992,1.0,0.26518652643799023
Colombia,15651.5820579216,51874024.0,0.036,0.8205,6630.28272608054,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2797792564799715,1.0,0.1257255639452767
Comoros,3245.76869721125,836774.0,0.045,0.29864,1484.8924647255,1,0.2,1.5,0.06,0.8,0.05,1,1,0.19795872446088897,1.0,0.02737290347424832
"Congo, Dem. Rep.",1132.6542327102,99010212.0,0.055,0.46837,586.464288888955,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23705600185809048,1.0,0.0771008738282244
"Congo, Rep.",3210.40356747335,5970424.0,0.042,0.6873600000000001,2447.98898873051,1,0.2,1.5,0.06,0.8,0.05,1,1,0.37275342390232385,1.0,0.14077042799044456
Costa Rica,21987.276869641,5180829.0,0.045,0.82042,13198.8217168097,1,0.2,1.5,0.06,0.8,0.05,1,1,0.48189675491736383,1.0,0.22669889690789385
Cote d'Ivoire,5537.36975770251,28160542.0,0.07,0.52661,2486.41219393777,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5759764393620561,1.0,0.09742596011900773
Croatia,34025.4548739132,3854000.0,0.079,0.58219,18413.2346820557,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23052247153165525,1.0,0.292528549
Cyprus,43620.125,1251488.0,0.085,0.66911,31283.505859375,1,0.2,1.5,0.06,0.8,0.05,1,1,0.20174778291418224,1.0,0.3459716345
Denmark,59704.2296820244,5903037.0,0.094,0.8836700000000001,66983.1320017138,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23010606402758518,1.0,0.38390131047799997
Dominica,11495.1304233169,72737.0,0.038,0.7170000000000001,8414.53659276775,1,0.2,1.5,0.06,0.8,0.05,1,1,1.4717082620307558,1.0,0.1019751008296815
Dominican Republic,19338.0151122624,11228821.0,0.065,0.83848,10120.5511632969,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3771503990888722,1.0,0.1565848301136874
Ecuador,10859.2178291137,18001000.0,0.047,0.6456999999999999,6391.28248430643,1,0.2,1.5,0.06,0.8,0.05,1,1,0.25747347179967145,1.0,0.14400376584862168
"Egypt, Arab Rep.",12780.7598676582,110990103.0,0.09,0.42967,4295.40749561014,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4927783418827425,1.0,0.11755597571889183
El Salvador,9397.52979358838,6336392.0,0.0559999999999999,0.74767,5127.32166823012,1,0.2,1.5,0.06,0.8,0.05,1,1,0.13424357530792413,1.0,0.3391616796404788
Estonia,37826.0114141096,1344768.0,0.081,0.69609,28332.6290917984,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2800603915970392,1.0,0.36270029682999994
Ethiopia,2381.16578430493,123379924.0,0.073,0.22661,1027.58591828225,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3781161653838428,1.0,0.04037392613425935
Fiji,11962.8998842374,929766.0,0.084,0.58229,5316.65838506043,1,0.2,1.5,0.06,0.8,0.05,1,1,0.33613901941237423,1.0,0.1748010020936861
Finland,49586.4094271912,5556880.0,0.095,0.85681,50536.6244670541,1,0.2,1.5,0.06,0.8,0.05,1,1,0.21799096857432496,1.0,0.35804451274
France,46019.6653916484,67935660.0,0.08,0.81509,40963.837337041,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2234491797478895,1.0,0.38567809559999994
Gabon,13949.1551470669,2388992.0,0.06,0.90735,8820.34733810024,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3299123735952057,1.0,0.0511971122506562
"Gambia, The",2125.6078253378,2705992.0,0.066,0.63852,840.010193356007,1,0.2,1.5,0.06,0.8,0.05,1,1,0.40009313154805115,1.0,0.09033596373212936
Georgia,17034.2853372614,3712502.0,0.07,0.60297,6627.70698037798,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3632651483124993,1.0,0.2894999087663388
Germany,53560.0910560426,84079811.0,0.079,0.77648,48432.4558732596,1,0.2,1.5,0.06,0.8,0.05,1,1,0.27301744639675013,1.0,0.403897414723
Ghana,5503.56886367046,33475870.0,0.047,0.5861500000000001,2175.85976967011,1,0.2,1.5,0.06,0.8,0.05,1,1,0.40793501657637044,1.0,0.06148130541806227
Greece,31516.6368539514,10566531.0,0.067,0.80357,20732.0522190537,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23679175031633581,1.0,0.489023319274
Guatemala,9162.05278751063,17357886.0,0.045,0.52666,5473.20874104102,1,0.2,1.5,0.06,0.8,0.05,1,1,0.6475627728005022,1.0,0.15075124517655997
Guinea,2699.1288547833,13859341.0,0.085,0.37668,1531.65647549394,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3510694892836516,1.0,0.06815040302195904
