iso3,hazard,income_cat,recovery_rate,recovery_time
ABW,Earthquake,q1,0.21900000000000017,13.679142801616386
ABW,Earthquake,q2,0.21900000000000017,13.679142801616386
ABW,Earthquake,q3,0.21900000000000017,13.679142801616386
ABW,Earthquake,q4,0.21900000000000017,13.679142801616386
ABW,Earthquake,q5,0.3060000000000002,9.789974750176434
ABW,Earthquake,tot,0.2330000000000002,12.857220058171624
ABW,Flood,q1,0.14978661367769955,20.0
ABW,Flood,q2,0.14978661367769955,20.0
ABW,Flood,q3,0.14978661367769955,20.0
ABW,Flood,q4,0.14978661367769955,20.0
ABW,Flood,q5,0.21900000000000017,13.679142801616386
ABW,Flood,tot,0.14978661367769955,20.0
ABW,Storm surge,q1,0.14978661367769955,20.0
ABW,Storm surge,q2,0.14978661367769955,20.0
ABW,Storm surge,q3,0.14978661367769955,20.0
ABW,Storm surge,q4,0.14978661367769955,20.0
ABW,Storm surge,q5,0.21900000000000017,13.679142801616386
ABW,Storm surge,tot,0.14978661367769955,20.0
ABW,Tsunami,q1,0.14978661367769955,20.0
ABW,Tsunami,q2,0.14978661367769955,20.0
ABW,Tsunami,q3,0.14978661367769955,20.0
ABW,Tsunami,q4,0.14978661367769955,20.0
ABW,Tsunami,q5,0.21900000000000017,13.679142801616386
ABW,Tsunami,tot,0.14978661367769955,20.0
ABW,Wind,q1,0.14978661367769955,20.0
ABW,Wind,q2,0.14978661367769955,20.0
ABW,Wind,q3,0.14978661367769955,20.0
ABW,Wind,q4,0.21100000000000016,14.197783286985729
ABW,Wind,q5,0.24000000000000019,12.482217806474953
ABW,Wind,tot,0.14978661367769955,20.0
AGO,Earthquake,q1,0.14978661367769955,20.0
AGO,Earthquake,q2,0.14978661367769955,20.0
AGO,Earthquake,q3,0.14978661367769955,20.0
AGO,Earthquake,q4,0.18000000000000013,16.642957075299936
AGO,Earthquake,q5,0.18300000000000013,16.370121713409773
AGO,Earthquake,tot,0.14978661367769955,20.0
AGO,Flood,q1,0.14978661367769955,20.0
AGO,Flood,q2,0.14978661367769955,20.0
AGO,Flood,q3,0.14978661367769955,20.0
AGO,Flood,q4,0.14978661367769955,20.0
AGO,Flood,q5,0.14978661367769955,20.0
AGO,Flood,tot,0.14978661367769955,20.0
AGO,Storm surge,q1,0.14978661367769955,20.0
AGO,Storm surge,q2,0.14978661367769955,20.0
AGO,Storm surge,q3,0.14978661367769955,20.0
AGO,Storm surge,q4,0.14978661367769955,20.0
AGO,Storm surge,q5,0.14978661367769955,20.0
AGO,Storm surge,tot,0.14978661367769955,20.0
AGO,Tsunami,q1,0.14978661367769955,20.0
AGO,Tsunami,q2,0.14978661367769955,20.0
AGO,Tsunami,q3,0.14978661367769955,20.0
AGO,Tsunami,q4,0.14978661367769955,20.0
AGO,Tsunami,q5,0.14978661367769955,20.0
AGO,Tsunami,tot,0.14978661367769955,20.0
AGO,Wind,q1,0.14978661367769955,20.0
AGO,Wind,q2,0.14978661367769955,20.0
AGO,Wind,q3,0.14978661367769955,20.0
AGO,Wind,q4,0.17300000000000013,17.31637152343346
AGO,Wind,q5,0.17400000000000013,17.216852146862003
AGO,Wind,tot,0.14978661367769955,20.0
ALB,Earthquake,q1,0.14978661367769955,20.0
ALB,Earthquake,q2,0.14978661367769955,20.0
ALB,Earthquake,q3,0.1570000000000001,19.081097283783368
ALB,Earthquake,q4,0.1570000000000001,19.081097283783368
ALB,Earthquake,q5,0.4030000000000003,7.433578842565729
ALB,Earthquake,tot,0.14978661367769955,20.0
ALB,Flood,q1,0.14978661367769955,20.0
ALB,Flood,q2,0.14978661367769955,20.0
ALB,Flood,q3,0.14978661367769955,20.0
ALB,Flood,q4,0.14978661367769955,20.0
ALB,Flood,q5,0.1570000000000001,19.081097283783368
ALB,Flood,tot,0.14978661367769955,20.0
ALB,Storm surge,q1,0.14978661367769955,20.0
ALB,Storm surge,q2,0.14978661367769955,20.0
ALB,Storm surge,q3,0.14978661367769955,20.0
ALB,Storm surge,q4,0.14978661367769955,20.0
ALB,Storm surge,q5,0.1570000000000001,19.081097283783368
ALB,Storm surge,tot,0.14978661367769955,20.0
ALB,Tsunami,q1,0.14978661367769955,20.0
ALB,Tsunami,q2,0.14978661367769955,20.0
ALB,Tsunami,q3,0.14978661367769955,20.0
ALB,Tsunami,q4,0.14978661367769955,20.0
ALB,Tsunami,q5,0.1570000000000001,19.081097283783368
ALB,Tsunami,tot,0.14978661367769955,20.0
ALB,Wind,q1,0.14978661367769955,20.0
ALB,Wind,q2,0.14978661367769955,20.0
ALB,Wind,q3,0.1570000000000001,19.081097283783368
ALB,Wind,q4,0.1570000000000001,19.081097283783368
ALB,Wind,q5,0.16600000000000012,18.046579961168607
ALB,Wind,tot,0.14978661367769955,20.0
ARE,Earthquake,q1,0.14978661367769955,20.0
ARE,Earthquake,q2,0.14978661367769955,20.0
ARE,Earthquake,q3,0.14978661367769955,20.0
ARE,Earthquake,q4,0.14978661367769955,20.0
ARE,Earthquake,q5,0.14978661367769955,20.0
ARE,Earthquake,tot,0.14978661367769955,20.0
ARE,Flood,q1,0.14978661367769955,20.0
ARE,Flood,q2,0.14978661367769955,20.0
ARE,Flood,q3,0.14978661367769955,20.0
ARE,Flood,q4,0.14978661367769955,20.0
ARE,Flood,q5,0.14978661367769955,20.0
ARE,Flood,tot,0.14978661367769955,20.0
ARE,Storm surge,q1,0.14978661367769955,20.0
ARE,Storm surge,q2,0.14978661367769955,20.0
ARE,Storm surge,q3,0.14978661367769955,20.0
ARE,Storm surge,q4,0.14978661367769955,20.0
ARE,Storm surge,q5,0.14978661367769955,20.0
