country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Pakistan,nonpoor,0.8,6160.44161176961,0.0311,1.1781678991479483,9363.95739070913,0.01305008765184019,0.6000000000000001
Pakistan,poor,0.2,2616.8247554419586,0.0127,0.28732840340820676,4337.0245906519895,0.013869882119268387,0.6000000000000001
Panama,nonpoor,0.8,40044.52151405999,0.192,1.1423009842808707,162355.56016159977,0.006025457224690754,0.6000000000000001
Panama,poor,0.2,6154.298218152521,0.0894,0.43079606287651717,19463.713738311937,0.0077949759657516115,0.6000000000000001
Papua New Guinea,nonpoor,0.8,4467.29836845928,0.1438,1.0656890315649514,13740.025288549385,0.015456787365796,0.6000000000000001
Papua New Guinea,poor,0.2,960.3043911124269,0.1438,0.7372438737401944,2944.5300120439547,0.01647799051705444,0.6000000000000001
Paraguay,nonpoor,0.8,16068.533537729192,0.0526,1.1625425957758473,50376.41188123257,0.011143852599197661,0.8
Paraguay,poor,0.2,3382.849165837725,0.0295,0.34982961689661035,9664.879949315962,0.01237251393104553,0.8
Peru,nonpoor,0.8,15005.992165963813,0.2108,1.1491803780695597,54277.55789048094,0.07222790426791764,0.6000000000000001
Peru,poor,0.2,3695.7432935282363,0.0482,0.40327848772176095,12578.353066919784,0.06982488564238559,0.6000000000000001
Philippines,nonpoor,0.8,10030.139678719566,0.2747,1.1770060105359261,28954.02997297984,0.1032691991213691,0.6000000000000001
Philippines,poor,0.2,2789.129750232179,0.0650999999999999,0.2919759578562946,8223.640012978341,0.10257292951970805,0.6000000000000001
Poland,nonpoor,0.8,42041.934032055084,0.4049,1.1216227944674846,101526.40999837146,0.01840666282955705,1.0
Poland,poor,0.2,15823.222436572152,0.3035,0.5135088221300617,30319.80570513907,0.01748324144341332,1.0
Portugal,nonpoor,0.8,41599.86307822163,0.5069,1.1444383943250946,337056.14668709505,0.010535672850110258,0.8
Portugal,poor,0.2,12332.505058634984,0.3067,0.4222464226996216,79534.90293445488,0.011356817652849302,0.8
Romania,nonpoor,0.8,38631.05963584602,0.2371,1.155754800041555,123220.45065478375,0.013808123951590177,0.8
Romania,poor,0.2,9166.692116980395,0.1117,0.3769807998337798,21636.660882362536,0.01468383576711118,0.8
Russian Federation,nonpoor,0.8,31894.19873046875,0.248,1.1094996706637437,138612.89342375466,0.01425023680790221,0.0
Russian Federation,poor,0.2,10344.064453124998,0.076,0.5620013173450256,38877.74290787627,0.014623016234235793,0.0
Rwanda,nonpoor,0.8,2778.8031203070213,0.264,1.151944879816732,4754.558098856328,0.019936584435183476,0.8
Rwanda,poor,0.2,709.481647737963,0.077,0.39222048073307164,1188.8817597551272,0.013295284067097731,0.8
Senegal,nonpoor,0.8,4139.424423811086,0.0978,1.2022081672181504,11863.712905258239,0.0032990834563559144,0.6000000000000001
Senegal,poor,0.2,1265.4429885493523,0.073,0.1911673311273979,4110.605341894557,0.0026205140824137013,0.6000000000000001
