iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,dk_ctry,fa,error_incl,error_excl,max_aid,need,aid,unif_aid,delta_tax_pub
AGO,Earthquake,10.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,2.112445446023602,0.00016900573282036002,3.7089471772216206e-05,0.21941979612180368,131.96477215283704,0.13650030423068182,0.03422998435149198,202.5374156264616,0.00028201719178848334
AGO,Earthquake,25.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,5.203847197045087,0.00041633264928916,9.138967353077662e-05,0.21941979612180368,131.96477215283704,0.3362580211970767,0.08432293882794446,202.53741562646155,0.0006947277032737292
AGO,Earthquake,50.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,10.482022394298813,0.0008386118938705,0.0001841624916342741,0.21941979612180368,131.96477215283704,0.6773189094506343,0.1698502856981436,202.53741562646158,0.001399378396004797
AGO,Earthquake,100.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,20.95502399389136,0.0016765020810466202,0.0003684754947548001,0.21941979612180368,131.96477215283704,1.354054920429695,0.3395543987875671,202.53741562646155,0.0027975524914698804
AGO,Earthquake,250.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,52.32005992662866,0.004185854875329481,0.0009223201215175213,0.21941979612180368,131.96477215283704,3.3807756365003274,0.8477922286366576,202.53741562646155,0.006984869787992678
AGO,Earthquake,500.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,97.56430087380917,0.007805610411063261,0.0017261793283383693,0.21941979612180368,131.96477215283704,6.304331681747285,1.5809281600437552,202.53741562646158,0.013025098566702073
AGO,Earthquake,1000.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,145.81403418840134,0.011665819701944462,0.0025899253831557587,0.21941979612180368,131.96477215283704,9.422094220367578,2.36276497359609,202.5374156264616,0.01946656872136967
AGO,Earthquake,2500.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,246.86265858537755,0.019750192649349005,0.004420896808129963,0.21941979612180368,131.96477215283704,15.951573122766522,4.000152977323886,202.5374156264616,0.032956833920959605
AGO,Earthquake,5000.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,366.3666062350643,0.02931107967035118,0.006625635660077657,0.21941979612180368,131.96477215283704,23.673583289540904,5.936590325654246,202.53741562646155,0.048910934788862465
AGO,Flood,10.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,11.627133439050333,0.00078837499407598,0.0001731215651806034,0.21941979612180368,131.96477215283704,0.5662530249878426,0.14199845409547499,180.11537042965853,0.0015522538237393655
AGO,Flood,25.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,23.855928322703505,0.00161754549809522,0.0003554965352299442,0.21941979612180368,131.96477215283704,1.1618075639568177,0.2913448065762471,180.11537042965853,0.003184831080840617
AGO,Flood,50.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,33.11934659159824,0.002245649351994,0.0004938489345153614,0.21941979612180368,131.96477215283704,1.6129452965704278,0.404475964889522,180.11537042965853,0.004421522523676882
AGO,Flood,100.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,36.748750059727485,0.0024917401836409203,0.0005481028529865513,0.21941979612180368,131.96477215283704,1.7897008746759562,0.4488007061909497,180.11537042965853,0.004906057722385042
AGO,Flood,250.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,38.78905932308235,0.00263008286387612,0.0005786140486693511,0.21941979612180368,131.96477215283704,1.8890659760005144,0.4737183492877445,180.1153704296585,0.005178444538297607
AGO,Flood,500.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,40.46253771577939,0.00274355266491046,0.0006036459007036219,0.21941979612180368,131.96477215283704,1.9705660471129567,0.49415600453362435,180.11537042965853,0.005401858438862711
AGO,Flood,1000.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,42.55145365401354,0.0028851911090776003,0.0006348998523353604,0.21941979612180368,131.96477215283704,2.072298342108205,0.5196672653718692,180.1153704296585,0.005680734377596146
AGO,Flood,2500.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,45.84395442431125,0.0031084383341039,0.0006841796357334038,0.21941979612180368,131.96477215283704,2.232646421944817,0.5598775220048746,180.11537042965853,0.006120292153134746
AGO,Flood,5000.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,48.85905456986625,0.00331287647630384,0.0007293268507747765,0.21941979612180368,131.96477215283704,2.3794848139708002,0.596699973717168,180.1153704296585,0.0065228161935122425
ALB,Earthquake,10.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,98.35796008580975,0.0037576389906077805,0.0013163151901496816,0.3489874775477402,422.4457268969046,17.747794346143856,2.9233370077614023,777.9717570177135,0.004911655198300648
ALB,Earthquake,25.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,245.2396370600734,0.009369063992944501,0.0033006096327459857,0.3489874775477402,422.4457268969046,44.251249621972164,7.288867176202428,777.9717570177137,0.012246416427756451
ALB,Earthquake,50.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,489.36576927502153,0.018695587969619624,0.006648829870528939,0.3489874775477402,422.4457268969046,88.30157747841079,14.544639421204204,777.9717570177135,0.02443722828770648
ALB,Earthquake,100.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,974.3079980330831,0.03722218027982784,0.01349228714934446,0.3489874775477402,422.4457268969046,175.80496752686324,28.957804992327755,777.9717570177136,0.04865356031286274
ALB,Earthquake,250.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,2402.576440670346,0.09178733377046763,0.035269966247412375,0.3489874775477402,422.4457268969046,433.52294550138197,71.40795332538202,777.9717570177136,0.11997632986530055
ALB,Earthquake,500.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,4062.033135260767,0.15518473621128642,0.0641057660362455,0.3489874775477402,422.4457268969046,732.956729164932,120.7293418926249,777.9717570177136,0.20284383843531364
ALB,Earthquake,1000.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,5267.412551860339,0.201234701972462,0.0879211843702549,0.3489874775477402,422.4457268969046,950.4564208647239,156.5549146664522,777.9717570177135,0.2630363035118645
ALB,Earthquake,2500.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,7323.343781706531,0.2797789026099945,0.13556855505451038,0.3489874775477402,422.4457268969046,1321.4304083822735,217.66008443998518,777.9717570177136,0.36570237450004844
ALB,Earthquake,5000.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,9306.658872138825,0.355548897310651,0.19253922027523798,0.3489874775477402,422.4457268969046,1679.3014776672328,276.6070003464778,777.9717570177136,0.46474224748329557
ALB,Flood,10.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,387.6698736761191,0.0093498520720619,0.003293777623612438,0.3489874775477402,422.4457268969046,42.226713402809786,6.955394659133475,743.904246348105,0.0193588881734095
ALB,Flood,25.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,786.5896440022501,0.0189710300238115,0.006748681351023831,0.3489874775477402,422.4457268969046,85.67881519380305,14.112629792310766,743.904246348105,0.0392795571453753
ALB,Flood,50.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1087.9791671714088,0.02623996591243094,0.00940418500878261,0.3489874775477402,422.4457268969046,118.50749206980437,19.520022066286906,743.9042463481051,0.05432990403032174
ALB,Flood,100.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1207.6634648188804,0.02912652108304856,0.010469738172118395,0.3489874775477402,422.4457268969046,131.54403392860928,21.667342715027427,743.9042463481048,0.060306522518365956
ALB,Flood,250.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1274.41188303616,0.03073636460908196,0.01106675827117454,0.3489874775477402,422.4457268969046,138.81456619727544,22.864912149999682,743.904246348105,0.06363970688930276
ALB,Flood,500.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1331.7780759393602,0.03211992689752122,0.011581447514517524,0.3489874775477402,422.4457268969046,145.06314508158033,23.894150011456748,743.9042463481048,0.06650437548688148
ALB,Flood,1000.0,15492.067404029098,2777689.0,0.63799,0.3020250449045197,0.2189508189873339,0.7407407407407408,0.5453703703703704,0.1620221696857466,0.1874846304575463,0.226379915453316,0.000212773636,0.06,0.05,0.8,1.5,1397.9737271683098,0.0337164387464702,0.012177186264825886,0.3489874775477402,422.4457268969046,152.27346753055267,25.08180195523496,743.904246348105,0.06980995659267013
