iso3,hazard,rp,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,ew,finance_pre,borrowing_ability,avg_prod_k,tau_tax,reconstruction_share_sigma_h,pov_rate_2.15,rho,max_increased_spending,shareable,income_elasticity_eta,dk_ctry,fa,error_incl,error_excl,max_aid,need,aid,unif_aid,delta_tax_pub
AGO,Earthquake,10.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,1.9986510554731312,0.00016900573282032,3.7089471772207424e-05,0.21941979612180368,131.96477215283704,0.13650030423064952,0.034229984351483875,202.53741562646155,0.00026682533226627194
AGO,Earthquake,25.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,4.923523451209033,0.00041633264928916003,9.138967353077663e-05,0.21941979612180368,131.96477215283704,0.33625802119707676,0.08432293882794448,202.5374156264616,0.0006573037235249859
AGO,Earthquake,50.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,9.917370960417966,0.0008386118938704601,0.00018416249163426534,0.21941979612180368,131.96477215283704,0.677318909450602,0.16985028569813546,202.53741562646155,0.0013239958993717276
AGO,Earthquake,100.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,19.82620706333617,0.0016765020810466601,0.0003684754947548089,0.21941979612180368,131.96477215283704,1.3540549204297272,0.3395543987875752,202.53741562646158,0.002646852372137704
AGO,Earthquake,250.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,49.501653731050396,0.00418585487532946,0.0009223201215175167,0.21941979612180368,131.96477215283704,3.380775636500311,0.8477922286366535,202.53741562646155,0.0066086049229792795
AGO,Earthquake,500.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,92.30865264948353,0.007805610411063221,0.00172617932833836,0.21941979612180368,131.96477215283704,6.304331681747252,1.5809281600437473,202.5374156264616,0.012323455285905182
AGO,Earthquake,1000.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,137.9592423946778,0.011665819701944441,0.002589925383155754,0.21941979612180368,131.96477215283704,9.42209422036756,2.3627649735960854,202.53741562646155,0.018417932730357956
AGO,Earthquake,2500.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,233.56452308267504,0.01975019264934904,0.0044208968081299715,0.21941979612180368,131.96477215283704,15.951573122766554,4.000152977323894,202.53741562646158,0.031181496793293503
AGO,Earthquake,5000.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,346.6309653677994,0.0293110796703512,0.0066256356600776604,0.21941979612180368,131.96477215283704,23.673583289540918,5.93659032565425,202.53741562646158,0.04627617324933541
AGO,Flood,10.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,10.812910596768523,0.00078837499407596,0.00017312156518059897,0.21941979612180368,131.96477215283704,0.5662530249878281,0.1419984540954714,180.11537042965853,0.0014435528677442216
AGO,Flood,25.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,22.18534959700131,0.0016175454980952401,0.00035549653522994864,0.21941979612180368,131.96477215283704,1.161807563956832,0.29134480657625067,180.11537042965853,0.002961804293677445
AGO,Flood,50.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,30.800070851133505,0.00224564935199398,0.0004938489345153571,0.21941979612180368,131.96477215283704,1.6129452965704136,0.4044759648895184,180.11537042965855,0.004111892927068727
AGO,Flood,100.0,5906.115676770329,35588987.0,0.68081,0.5611604077563926,0.5535284709605425,0.6770833333333334,0.446875,0.1718626068564378,0.1680934469756413,0.2115175515296616,0.311220062314,0.06,0.05,0.8,1.5,34.175315095659464,0.00249174018364092,0.0005481028529865511,0.21941979612180368,131.96477215283704,1.7897008746759562,0.4488007061909497,180.11537042965853,0.004562497180652286
