iso3,decade,forecast_accuracy
GAB,1991-2000,0.0602045119296049
GAB,2001-2010,0.204743006537781
GAB,2011-2020,0.230628324933675
GBR,1991-2000,0.7721779407336
GBR,2001-2010,0.85523428347469
GBR,2011-2020,0.877494620896096
GEO,1991-2000,0.517889441266529
GEO,2001-2010,0.746779782517722
GEO,2011-2020,0.750616509060198
GGY,1991-2000,0.740816290282982
GGY,2001-2010,0.831277971881934
GGY,2011-2020,0.83598375857433
GHA,1991-2000,0.207012064645438
GHA,2001-2010,0.291907517794343
GHA,2011-2020,0.332423589272923
GIB,1991-2000,0.619903004190037
GIB,2001-2010,0.772823529988423
GIB,2011-2020,0.749723647401762
GIN,1991-2000,0.339652984792352
GIN,2001-2010,0.441287285980207
GIN,2011-2020,0.521657803748064
GMB,1991-2000,0.389985965998777
GMB,2001-2010,0.492798204995307
GMB,2011-2020,0.572861581241965
GNB,1991-2000,0.392627325569734
GNB,2001-2010,0.445142134422977
GNB,2011-2020,0.49267369445792
GNQ,1991-2000,0.100824360256671
GNQ,2001-2010,0.229280387938479
GNQ,2011-2020,0.22246671284373
GRC,1991-2000,0.753657277311715
GRC,2001-2010,0.843538667768384
GRC,2011-2020,0.859965905580557
GRL,1991-2000,-0.232782123083424
GRL,2001-2010,0.0856016170396443
GRL,2011-2020,0.0911681817465385
GTM,1991-2000,0.26004655294741
GTM,2001-2010,0.532633296101302
GTM,2011-2020,0.579075672423358
HKG,1991-2000,0.583408771461437
HKG,2001-2010,0.788753863259205
HKG,2011-2020,0.825608508478975
HND,1991-2000,0.32345014866588
HND,2001-2010,0.501910384815307
HND,2011-2020,0.497235306138869
HRV,1991-2000,0.674520681342908
HRV,2001-2010,0.805167362840133
HRV,2011-2020,0.833819027726257
HTI,1991-2000,0.237206256523492
HTI,2001-2010,0.375291536540475
HTI,2011-2020,0.408862876669479
HUN,1991-2000,0.56284537855252
HUN,2001-2010,0.70846016943764
HUN,2011-2020,0.760985972118943
IDN,1991-2000,0.0994859816224112
IDN,2001-2010,0.352692548397859
IDN,2011-2020,0.40640649826983
IMN,1991-2000,0.770624076250026
IMN,2001-2010,0.842452005267356
IMN,2011-2020,0.882608976148004
IND,1991-2000,0.46993411831901
IND,2001-2010,0.618377587420272
IND,2011-2020,0.655770131785724
IRL,1991-2000,0.765807403505669
IRL,2001-2010,0.838059657016973
IRL,2011-2020,0.864956086248052
IRN,1991-2000,0.684028995154955
IRN,2001-2010,0.806110752210078
IRN,2011-2020,0.841598589995995
IRQ,1991-2000,0.754477218150707
IRQ,2001-2010,0.861971022187116
IRQ,2011-2020,0.882643352704639
ISL,1991-2000,0.259076018528867
ISL,2001-2010,0.454036313186481
ISL,2011-2020,0.51801913672785
ISR,1991-2000,0.743067388552153
ISR,2001-2010,0.843842563316844
ISR,2011-2020,0.860535390862372
ITA,1991-2000,0.610804415537214
ITA,2001-2010,0.754280486410782
ITA,2011-2020,0.774519460856448
JAM,1991-2000,0.108445298358127
JAM,2001-2010,0.408683124991168
JAM,2011-2020,0.412805721901231
JEY,1991-2000,0.740816290282982
JEY,2001-2010,0.831277971881934
JEY,2011-2020,0.83598375857433
JOR,1991-2000,0.751057593615413
JOR,2001-2010,0.847501742935043
JOR,2011-2020,0.864639929799255
JPN,1991-2000,0.601105877632522
JPN,2001-2010,0.734325394211905
JPN,2011-2020,0.76753143361257
KAZ,1991-2000,0.383917529300635
KAZ,2001-2010,0.502258679702322
KAZ,2011-2020,0.442353510695732
KEN,1991-2000,0.25431318575448
KEN,2001-2010,0.442746753810899
KEN,2011-2020,0.534379980510056
KGZ,1991-2000,0.574002490701904
KGZ,2001-2010,0.681699850991274
KGZ,2011-2020,0.721048608645574
KHM,1991-2000,0.22764973255409
KHM,2001-2010,0.462003619127349
KHM,2011-2020,0.518898922689986
KOR,1991-2000,0.477229303980039
KOR,2001-2010,0.498922266317325
KOR,2011-2020,0.480860115123237
KWT,1991-2000,0.728107859167246
KWT,2001-2010,0.859643638877241
KWT,2011-2020,0.89537910045554
LAO,1991-2000,0.446756547339863
LAO,2001-2010,0.618653566956443
LAO,2011-2020,0.707373785109602
LBN,1991-2000,0.737719062986932
LBN,2001-2010,0.836831338851754
LBN,2011-2020,0.852263521465611
LBR,1991-2000,0.141924957857207
LBR,2001-2010,0.159596687386352
LBR,2011-2020,0.268569256132701
LBY,1991-2000,0.638570060352143
LBY,2001-2010,0.744658448179092
LBY,2011-2020,0.783371772148878
LIE,1991-2000,0.530865872975695
LIE,2001-2010,0.667451654879147
LIE,2011-2020,0.683712110495337
LKA,1991-2000,0.280061881057411
LKA,2001-2010,0.420934818666204
LKA,2011-2020,0.419296329502258
LSO,1991-2000,0.719034653376927
LSO,2001-2010,0.818569415184778
LSO,2011-2020,0.860439142895218
LTU,1991-2000,0.324757936260664
LTU,2001-2010,0.310982951311347
LTU,2011-2020,0.361138229517876
LUX,1991-2000,0.742343971330376
LUX,2001-2010,0.867694155766688
LUX,2011-2020,0.907369970558106
LVA,1991-2000,0.284351734539059
LVA,2001-2010,0.266615291143125
LVA,2011-2020,0.353513136993795
MAC,1991-2000,0.583408771461437
MAC,2001-2010,0.788753863259205
MAC,2011-2020,0.825608508478975
MAR,1991-2000,0.646129672830436
MAR,2001-2010,0.777442089820371
MAR,2011-2020,0.78397080724906
MCO,1991-2000,0.677585730332923
MCO,2001-2010,0.809762852231608
MCO,2011-2020,0.817200900682294
MDA,1991-2000,0.428788724231011
MDA,2001-2010,0.5999996562794
MDA,2011-2020,0.646371306580215
MDG,1991-2000,0.442920340499478
MDG,2001-2010,0.61505321837664
MDG,2011-2020,0.680260923232032
MEX,1991-2000,0.412672469312364
MEX,2001-2010,0.590472796820992
MEX,2011-2020,0.603164309269822
MKD,1991-2000,0.723084919766809
MKD,2001-2010,0.823802041604421
MKD,2011-2020,0.823542128737129
MLI,1991-2000,0.451354154296994
MLI,2001-2010,0.526222521132294
MLI,2011-2020,0.604361320827471
MLT,1991-2000,0.533086542226157
MLT,2001-2010,0.715708996823832
MLT,2011-2020,0.693997901085637
MMR,1991-2000,0.346023578921668
MMR,2001-2010,0.496803169863564
MMR,2011-2020,0.590781768101783
MNE,1991-2000,0.728881089802494
MNE,2001-2010,0.822110491459805
MNE,2011-2020,0.819292437687619
MNG,1991-2000,0.282863824978648
MNG,2001-2010,0.465899034764632
MNG,2011-2020,0.48857875533166
MOZ,1991-2000,0.564019486705944
MOZ,2001-2010,0.703647119215963
MOZ,2011-2020,0.753275750499517
MRT,1991-2000,0.515913363495469
MRT,2001-2010,0.614364814402116
MRT,2011-2020,0.70841792476267
MWI,1991-2000,0.523831201265452
MWI,2001-2010,0.669113041087199
MWI,2011-2020,0.734962461476346
MYS,1991-2000,0.118494443496011
MYS,2001-2010,0.356607234983694
MYS,2011-2020,0.44535264611268
NAM,1991-2000,0.59629046016204
NAM,2001-2010,0.717114438759843
NAM,2011-2020,0.756886754632227
NCL,1991-2000,0.399397946991902
NCL,2001-2010,0.64462139099925
NCL,2011-2020,0.624047401337146
NER,1991-2000,0.571737365155169
NER,2001-2010,0.665106535363592
NER,2011-2020,0.677994371380667
NGA,1991-2000,0.32442509327373
NGA,2001-2010,0.415744754940988
NGA,2011-2020,0.435280569956034
NIC,1991-2000,0.291060291144467
NIC,2001-2010,0.454122924020658
NIC,2011-2020,0.430536150051876
NLD,1991-2000,0.71784049243091
NLD,2001-2010,0.84817360807002
NLD,2011-2020,0.872912054832688
NOR,1991-2000,0.449213829464207
NOR,2001-2010,0.425049440492206
NOR,2011-2020,0.554625103220889
NPL,1991-2000,0.435300973837337
NPL,2001-2010,0.581101885865804
NPL,2011-2020,0.614273610906245
NZL,1991-2000,0.647167074805774
NZL,2001-2010,0.756661828013485
NZL,2011-2020,0.808386984927144
OMN,1991-2000,0.548126875794378
OMN,2001-2010,0.64844094598019
OMN,2011-2020,0.700164078888389
PAK,1991-2000,0.499594259915095
PAK,2001-2010,0.666587434046464
PAK,2011-2020,0.688818461113422
PAN,1991-2000,0.261498191702995
PAN,2001-2010,0.254999230699009
PAN,2011-2020,0.400495863391505
PER,1991-2000,0.214915813574047
PER,2001-2010,0.378886297970019
PER,2011-2020,0.420011353783621
PHL,1991-2000,0.133400814428742
PHL,2001-2010,0.428078294715535
PHL,2011-2020,0.485265382782871
PNG,1991-2000,0.255124961619754
PNG,2001-2010,0.351371595353416
PNG,2011-2020,0.479892326762037
POL,1991-2000,0.516716679876018
POL,2001-2010,0.628261969102696
POL,2011-2020,0.694827049180621
PRI,1991-2000,0.143118541668088
PRI,2001-2010,0.346007585675773
PRI,2011-2020,0.237474413386878
PRK,1991-2000,0.244786960260402
PRK,2001-2010,0.302927171094454
PRK,2011-2020,0.273215025855692
PRT,1991-2000,0.726351677682271
PRT,2001-2010,0.817948979723151
PRT,2011-2020,0.834410736375073
PRY,1991-2000,0.752337335989852
PRY,2001-2010,0.878982251986911
PRY,2011-2020,0.901180976561515
PSE,1991-2000,0.740791800103276
PSE,2001-2010,0.842717326496717
PSE,2011-2020,0.859301977204069
PYF,1991-2000,0.323875991044587
PYF,2001-2010,0.258405501596974
PYF,2011-2020,0.395241701871034
QAT,1991-2000,0.526659380338933
QAT,2001-2010,0.53894706153544
QAT,2011-2020,0.755770262410409
ROU,1991-2000,0.616499602667645
ROU,2001-2010,0.738640159281303
ROU,2011-2020,0.768432355868084
RUS,1991-2000,0.198930141449176
RUS,2001-2010,0.335910636028503
RUS,2011-2020,0.310074743627964
RWA,1991-2000,0.249961774987011
RWA,2001-2010,0.510419191839456
RWA,2011-2020,0.479488817352557
SAU,1991-2000,0.61182453561583
SAU,2001-2010,0.713815640785368
SAU,2011-2020,0.784719349613293
SDN,1991-2000,0.510407391547748
SDN,2001-2010,0.664074502267865
SDN,2011-2020,0.691237126146404
SEN,1991-2000,0.412759808873871
SEN,2001-2010,0.509466232381816
SEN,2011-2020,0.603694279240593
SGP,1991-2000,0.100351424100425
SGP,2001-2010,0.386139074255154
SGP,2011-2020,0.480368354108212
SLB,1991-2000,0.145018973056864
SLB,2001-2010,0.12894334607427
SLB,2011-2020,0.200291459449095
SLV,1991-2000,0.320250193745607
SLV,2001-2010,0.500417069085773
SLV,2011-2020,0.486654522550243
SMR,1991-2000,0.652065336657473
SMR,2001-2010,0.803636076824272
SMR,2011-2020,0.849537202571074
SOM,1991-2000,0.141429297650268
SOM,2001-2010,0.340922003079567
SOM,2011-2020,0.503984642605125
SPM,1991-2000,-0.0444183450605168
SPM,2001-2010,0.0121816648476573
SPM,2011-2020,0.122672369620528
SRB,1991-2000,0.70953429393463
SRB,2001-2010,0.827046668331303
SRB,2011-2020,0.848383837185332
SUR,1991-2000,0.215574900021451
SUR,2001-2010,0.33058307627052
SUR,2011-2020,0.342739707313343
SVK,1991-2000,0.51285633417753
SVK,2001-2010,0.653627914049036
SVK,2011-2020,0.715355988631937
SVN,1991-2000,0.640691925248884
SVN,2001-2010,0.786440910165183
SVN,2011-2020,0.828644313634937
SWE,1991-2000,0.517782894723572
SWE,2001-2010,0.577731703771165
SWE,2011-2020,0.686401979368799
SWZ,1991-2000,0.755380362868587
SWZ,2001-2010,0.868004546320486
SWZ,2011-2020,0.891596173481902
SYR,1991-2000,0.695357790850811
SYR,2001-2010,0.830707224930616
SYR,2011-2020,0.860315883706983
TCD,1991-2000,0.466293667909599
TCD,2001-2010,0.577297919631732
TCD,2011-2020,0.604217742217559
TGO,1991-2000,0.144027306733353
TGO,2001-2010,0.220650199654065
TGO,2011-2020,0.257438962782136
THA,1991-2000,0.317102804427121
THA,2001-2010,0.509457714061989
THA,2011-2020,0.60929530115885
TJK,1991-2000,0.662525865240189
TJK,2001-2010,0.771254495932596
TJK,2011-2020,0.828346271634855
TKM,1991-2000,0.768106397980788
TKM,2001-2010,0.857812263483387
TKM,2011-2020,0.897518106924542
TLS,1991-2000,0.0216587489939211
TLS,2001-2010,0.409760581209088
TLS,2011-2020,0.44576613786228
TUN,1991-2000,0.640695114005039
TUN,2001-2010,0.775314166395382
TUN,2011-2020,0.805270605656333
TUR,1991-2000,0.711318364149472
TUR,2001-2010,0.826840348559885
TUR,2011-2020,0.849792321848057
TZA,1991-2000,0.261335673494269
TZA,2001-2010,0.486904092197006
TZA,2011-2020,0.534426443916526
UGA,1991-2000,0.271445714369001
UGA,2001-2010,0.48317070977851
UGA,2011-2020,0.505478578180661
UKR,1991-2000,0.38602290037357
UKR,2001-2010,0.549603885600433
UKR,2011-2020,0.575450571472947
UMI,1991-2000,0.0980020129592766
UMI,2001-2010,0.432002865377331
UMI,2011-2020,0.390293610118695
URY,1991-2000,0.764139210864173
URY,2001-2010,0.873201287440825
URY,2011-2020,0.884091130708453
USA,1991-2000,0.528511562459161
USA,2001-2010,0.529612724191725
USA,2011-2020,0.537965389573998
UZB,1991-2000,0.683849877621557
UZB,2001-2010,0.784857645172164
UZB,2011-2020,0.835828655975623
VAT,1991-2000,0.702215275925635
VAT,2001-2010,0.823449857765761
VAT,2011-2020,0.838130245462828
VEN,1991-2000,0.259677729153995
VEN,2001-2010,0.361185930383357
VEN,2011-2020,0.413176890214604
VGB,1991-2000,0.143118541668088
VGB,2001-2010,0.346007585675773
VGB,2011-2020,0.237474413386878
VIR,1991-2000,0.143118541668088
VIR,2001-2010,0.346007585675773
VIR,2011-2020,0.237474413386878
VNM,1991-2000,0.361436310216171
VNM,2001-2010,0.572755907348188
VNM,2011-2020,0.627993933964414
VUT,1991-2000,0.293186572116504
VUT,2001-2010,0.288093228494886
VUT,2011-2020,0.346522383934221
WSM,1991-2000,0.304704962587141
WSM,2001-2010,0.18993554928546
WSM,2011-2020,0.240313236240869
YEM,1991-2000,0.460253795228947
YEM,2001-2010,0.624243473090617
YEM,2011-2020,0.680316736494235
ZAF,1991-2000,0.709361495389736
ZAF,2001-2010,0.807899143057261
ZAF,2011-2020,0.839246425578805
ZMB,1991-2000,0.458957392381779
ZMB,2001-2010,0.610556265075155
ZMB,2011-2020,0.704407955041575
ZWE,1991-2000,0.645795024800261
ZWE,2001-2010,0.774604057749735
ZWE,2011-2020,0.818607400969731
