iso3,income_cat,social
AFG,q1,0.029919243815120927
AFG,q2,0.0575788939556886
AFG,q3,0.07479134429740864
AFG,q4,0.07251999331558391
AFG,q5,0.14735983607654718
ALB,q1,0.48243971201874897
ALB,q2,0.398632831450632
ALB,q3,0.33757423277473625
ALB,q4,0.2961850667235654
ALB,q5,0.19865586518653178
DZA,q1,0.259322428875994
DZA,q2,0.16263164322752324
DZA,q3,0.08985209520680633
DZA,q4,0.0943694079911014
DZA,q5,0.1414470917562022
AGO,q1,0.09085325666931551
AGO,q2,0.08734749890183666
AGO,q3,0.08729128433911817
AGO,q4,0.0903272474859247
AGO,q5,0.10102993493374493
ATG,q1,0.18837617436272186
ATG,q2,0.21709746461704363
ATG,q3,0.1614405261028363
ATG,q4,0.13670479401299224
ATG,q5,0.1673569930926384
ARG,q1,0.31086485592982777
ARG,q2,0.2916073498096324
ARG,q3,0.2530431108182297
ARG,q4,0.21599229930593308
ARG,q5,0.2039872550265015
ARM,q1,0.41417762498642346
ARM,q2,0.3769698296515248
ARM,q3,0.31083079771639693
ARM,q4,0.27290052380898816
ARM,q5,0.1891513607453939
AUS,q1,0.41964108029189195
AUS,q2,0.27523396338280565
AUS,q3,0.3052677751530155
AUS,q4,0.2700680104312939
AUS,q5,0.19933207675681136
AUT,q1,0.6139916339924089
AUT,q2,0.390932995399501
AUT,q3,0.4470302910480264
AUT,q4,0.39218349010945774
AUT,q5,0.22322879099848675
AZE,q1,0.3994398392773742
AZE,q2,0.3509331825383749
AZE,q3,0.279741460570181
AZE,q4,0.2471234234223908
AZE,q5,0.18521590283599237
BHS,q5,0.1490598515009414
BHR,q5,0.1305836127566722
BGD,q1,0.10386920289371283
BGD,q2,0.08752969469794233
BGD,q3,0.08679849805601532
BGD,q4,0.08901846963687209
BGD,q5,0.11766348281379257
BRB,q1,0.24433631273973186
BRB,q2,0.22339260613645
BRB,q3,0.16921331262141162
BRB,q4,0.1434738729579544
BRB,q5,0.17324341561810017
BLR,q1,0.461167231392703
BLR,q2,0.4189294871527279
BLR,q3,0.3635665032978224
BLR,q4,0.31996242271060327
BLR,q5,0.2102443768040376
BEL,q1,0.595079603324594
BEL,q2,0.39211377525834196
BEL,q3,0.44821973325900516
BEL,q4,0.3928902830089997
BEL,q5,0.2225967571322827
BLZ,q1,0.16172361458405812
BLZ,q2,0.21355154576792645
BLZ,q3,0.15660457041794557
BLZ,q4,0.1319323694958121
BLZ,q5,0.15220673827034023
BEN,q1,0.14733458434046445
BEN,q2,0.08308676221608348
BEN,q3,0.0818655744555065
BEN,q4,0.08540012366179132
BEN,q5,0.08595089786812699
BTN,q1,0.20128188075250336
BTN,q2,0.08417571436117631
BTN,q3,0.08299733111348456
BTN,q4,0.08612493820500484
BTN,q5,0.12887827972668925
BOL,q1,0.18366371125434916
BOL,q2,0.12359306185628463
BOL,q3,0.058941462072642045
BOL,q4,0.05623223047191824
BOL,q5,0.176170422987029
BWA,q1,0.20206245398410602
BWA,q2,0.19621846210706984
BWA,q3,0.2083551735668324
BWA,q4,0.18646647243481632
BWA,q5,0.09788304816434609
BRA,q1,0.3764679469805943
BRA,q2,0.34290336282683254
BRA,q3,0.31592289939359947
BRA,q4,0.2701925016453486
BRA,q5,0.2154606039994592
BRN,q1,0.24188338255946262
BRN,q2,0.17704511012868748
BRN,q3,0.18489962779021038
BRN,q4,0.16630733014503618
BRN,q5,0.0782733251634519
BGR,q1,0.4856594381986406
BGR,q2,0.40798739129456346
BGR,q3,0.35011498239979744
BGR,q4,0.30832020365446783
BGR,q5,0.20752999515022177
BFA,q1,0.08218480475703167
BFA,q2,0.04279579553850215
BFA,q3,0.05650985686192956
BFA,q4,0.05656442653918599
BFA,q5,0.00530215417410107
BDI,q1,0.08873969135129475
BDI,q2,0.06397491496177526
BDI,q3,0.0827335570422636
BDI,q4,0.07949160699843462
BDI,q5,0.1077452655208825
CPV,q1,0.3003875538819496
CPV,q2,0.17865695435451334
CPV,q3,0.1970755498431839
CPV,q4,0.18230975623302897
CPV,q5,0.1360683600906341
KHM,q1,0.15461938480136408
KHM,q2,0.10323911933477467
KHM,q3,0.1054136449775175
KHM,q4,0.10427180305550224
KHM,q5,0.12556546842379165
CMR,q1,0.08206048092898703
CMR,q2,0.07617065764894349
CMR,q3,0.07346203540509758
CMR,q4,0.07824837514883905
CMR,q5,0.07068525713236759
CAN,q1,0.40212832597743203
CAN,q2,0.26340252406291215
CAN,q3,0.2907681337097509
CAN,q4,0.257574263702189
CAN,q5,0.19541891067828465
CAF,q5,0.1100754147827083
TCD,q5,0.06163977728340422
CHL,q1,0.29735799716317773
CHL,q2,0.24737672507142408
CHL,q3,0.19884386992274883
CHL,q4,0.16929867099524296
CHL,q5,0.1891513607453939
CHN,q1,0.30128270000805046
CHN,q2,0.2520317048158182
CHN,q3,0.27681134818506736
CHN,q4,0.24552155101177986
CHN,q5,0.19094857138205817
COL,q1,0.3080743713319467
COL,q2,0.27963115823697393
COL,q3,0.23796858263645596
COL,q4,0.2025123973402264
COL,q5,0.1979647906397845
COD,q1,0.04180207600103072
COD,q2,0.05909335057852368
COD,q3,0.07657618128061569
COD,q4,0.0739700537020949
COD,q5,0.09618303273995188
COG,q1,0.05306450440252232
COG,q2,0.07985173891764073
COG,q3,0.07810352943758177
COG,q4,0.08240860159473605
COG,q5,0.08828104712995277
CRI,q1,0.27262039417676703
CRI,q2,0.2555292137700225
CRI,q3,0.20870452837162973
CRI,q4,0.17763423132855788
CRI,q5,0.19138226965298266
CIV,q1,0.12888560958608924
CIV,q2,0.07938797398949157
CIV,q3,0.07745589434253795
CIV,q4,0.0817526669239178
CIV,q5,0.08343414493615972
HRV,q1,0.6162798391525434
HRV,q2,0.4517061632096802
HRV,q3,0.40290240500670543
HRV,q4,0.3528286276510598
HRV,q5,0.21339126357343643
CYP,q1,0.42660921724563805
CYP,q2,0.3158767157230832
CYP,q3,0.35483429887756907
CYP,q4,0.3124787683316214
CYP,q5,0.20879292098339142
CZE,q1,0.5819386594094966
CZE,q2,0.40319781796335746
CZE,q3,0.34436923970389666
CZE,q4,0.30352239835471956
CZE,q5,0.2070102704887479
DNK,q1,0.6911498405243448
DNK,q2,0.41228377628161944
DNK,q3,0.4732541541865764
DNK,q4,0.4148512538092396
DNK,q5,0.2263533225404014
DJI,q1,0.11411517039485856
DJI,q2,0.09127766815876835
DJI,q3,0.0022720730419833156
DJI,q4,0.018739288810552677
DJI,q5,0.09450626640922907
DMA,q1,0.3292203756598683
DMA,q2,0.30270632716085294
DMA,q3,0.2653655745282447
DMA,q4,0.2250301656045548
DMA,q5,0.19933207675681136
DOM,q1,0.18783106621564308
DOM,q2,0.22018419032282582
DOM,q3,0.1641181417779269
DOM,q4,0.13764731875890046
DOM,q5,0.14162716753048135
ECU,q1,0.21895572024856336
ECU,q2,0.24362971733606448
ECU,q3,0.19361931507457045
ECU,q4,0.16401587384700708
ECU,q5,0.1807164365102333
EGY,q1,0.29458352244688246
EGY,q2,0.1853413227173886
EGY,q3,0.11691941863026369
EGY,q4,0.11674911730320016
EGY,q5,0.14349842509396307
SLV,q1,0.2964590925542273
SLV,q2,0.30907091202607356
SLV,q3,0.2708449900844199
SLV,q4,0.226886331861908
SLV,q5,0.1819030915330948
EST,q1,0.6184369922261368
EST,q2,0.41321274581371475
EST,q3,0.35667752615355786
EST,q4,0.3141709287803765
EST,q5,0.20952702342071516
SWZ,q1,0.1074009879501486
SWZ,q2,0.08414171113254126
SWZ,q3,0.08295725718921286
SWZ,q4,0.08609238082824429
SWZ,q5,0.07770147639009395
ETH,q1,0.0888573800108016
ETH,q2,0.040360323800273705
ETH,q3,0.05394279182979657
ETH,q4,0.05486818203464128
ETH,q5,0.06648667947719727
FJI,q1,0.2566871783566931
FJI,q2,0.2313525286983215
FJI,q3,0.2500650461778143
FJI,q4,0.22074227126889298
FJI,q5,0.15768886663717108
FIN,q1,0.7134872624817357
FIN,q2,0.43537972800635005
FIN,q3,0.5015852950414942
FIN,q4,0.43929592666158007
FIN,q5,0.22932436280297727
FRA,q1,0.6636187879665953
FRA,q2,0.4333285389746776
FRA,q3,0.4989152190939282
FRA,q4,0.4368022325262418
FRA,q5,0.22867335349928167
GMB,q1,0.2038660423387896
GMB,q2,0.13230312629325694
GMB,q3,0.16240148402085064
GMB,q4,0.14311337252752115
GMB,q5,0.07438866508719635
GEO,q1,0.5121883598631376
