iso3,hazard,rp,income_cat,fa,v
ABW,Earthquake,10.0,q1,0.009983144592848978,0.30000000000000004
ABW,Earthquake,10.0,q2,0.009983144592848978,0.29999999999999993
ABW,Earthquake,10.0,q3,0.009983144592848978,0.30000000000000004
ABW,Earthquake,10.0,q4,0.009983144592848978,0.29999999999999993
ABW,Earthquake,10.0,q5,0.009983144592848978,0.21850942766811488
ABW,Earthquake,25.0,q1,0.024745719476716662,0.30000000000000004
ABW,Earthquake,25.0,q2,0.024745719476716662,0.29999999999999993
ABW,Earthquake,25.0,q3,0.024745719476716662,0.30000000000000004
ABW,Earthquake,25.0,q4,0.024745719476716662,0.29999999999999993
ABW,Earthquake,25.0,q5,0.024745719476716662,0.21850942766811488
ABW,Earthquake,50.0,q1,0.04933396692767365,0.30000000000000004
ABW,Earthquake,50.0,q2,0.04933396692767365,0.29999999999999993
ABW,Earthquake,50.0,q3,0.04933396692767365,0.30000000000000004
ABW,Earthquake,50.0,q4,0.04933396692767365,0.29999999999999993
ABW,Earthquake,50.0,q5,0.04933396692767365,0.21850942766811488
ABW,Earthquake,100.0,q1,0.09743508812494751,0.30000000000000004
ABW,Earthquake,100.0,q2,0.09743508812494751,0.29999999999999993
ABW,Earthquake,100.0,q3,0.09743508812494751,0.30000000000000004
ABW,Earthquake,100.0,q4,0.09743508812494751,0.29999999999999993
ABW,Earthquake,100.0,q5,0.09743508812494751,0.21850942766811488
ABW,Earthquake,250.0,q1,0.23572617923642075,0.30000000000000004
ABW,Earthquake,250.0,q2,0.23572617923642075,0.29999999999999993
ABW,Earthquake,250.0,q3,0.23572617923642075,0.30000000000000004
ABW,Earthquake,250.0,q4,0.23572617923642075,0.29999999999999993
ABW,Earthquake,250.0,q5,0.23572617923642075,0.21850942766811488
ABW,Earthquake,500.0,q1,0.39176936788045436,0.30000000000000004
ABW,Earthquake,500.0,q2,0.39176936788045436,0.29999999999999993
ABW,Earthquake,500.0,q3,0.39176936788045436,0.30000000000000004
ABW,Earthquake,500.0,q4,0.39176936788045436,0.29999999999999993
ABW,Earthquake,500.0,q5,0.39176936788045436,0.21850942766811488
ABW,Earthquake,1000.0,q1,0.5162741719898412,0.30000000000000004
ABW,Earthquake,1000.0,q2,0.5162741719898412,0.29999999999999993
ABW,Earthquake,1000.0,q3,0.5162741719898412,0.30000000000000004
ABW,Earthquake,1000.0,q4,0.5162741719898412,0.29999999999999993
ABW,Earthquake,1000.0,q5,0.5162741719898412,0.21850942766811488
ABW,Earthquake,2500.0,q1,0.7279940703875128,0.30000000000000004
ABW,Earthquake,2500.0,q2,0.7279940703875128,0.29999999999999993
ABW,Earthquake,2500.0,q3,0.7279940703875128,0.30000000000000004
ABW,Earthquake,2500.0,q4,0.7279940703875128,0.29999999999999993
ABW,Earthquake,2500.0,q5,0.7279940703875128,0.21850942766811488
ABW,Earthquake,5000.0,q1,0.9,0.30943302429013914
ABW,Earthquake,5000.0,q2,0.9,0.309433024290139
ABW,Earthquake,5000.0,q3,0.9,0.30943302429013914
ABW,Earthquake,5000.0,q4,0.9,0.309433024290139
ABW,Earthquake,5000.0,q5,0.9,0.22538011013084058
ABW,Storm surge,10.0,q1,0.02349636530234977,0.7
ABW,Storm surge,10.0,q2,0.02349636530234977,0.7
ABW,Storm surge,10.0,q3,0.02349636530234977,0.7
ABW,Storm surge,10.0,q4,0.02349636530234977,0.439620518975962
ABW,Storm surge,10.0,q5,0.02349636530234977,0.2999999999999996
ABW,Storm surge,25.0,q1,0.03420639305250757,0.7
ABW,Storm surge,25.0,q2,0.03420639305250757,0.7
ABW,Storm surge,25.0,q3,0.03420639305250757,0.7
ABW,Storm surge,25.0,q4,0.03420639305250757,0.439620518975962
ABW,Storm surge,25.0,q5,0.03420639305250757,0.2999999999999996
ABW,Storm surge,50.0,q1,0.04370323556156385,0.7
ABW,Storm surge,50.0,q2,0.04370323556156385,0.7
ABW,Storm surge,50.0,q3,0.04370323556156385,0.7
ABW,Storm surge,50.0,q4,0.04370323556156385,0.439620518975962
ABW,Storm surge,50.0,q5,0.04370323556156385,0.2999999999999996
ABW,Storm surge,100.0,q1,0.054239893420690036,0.7
ABW,Storm surge,100.0,q2,0.054239893420690036,0.7
ABW,Storm surge,100.0,q3,0.054239893420690036,0.7
ABW,Storm surge,100.0,q4,0.054239893420690036,0.439620518975962
ABW,Storm surge,100.0,q5,0.054239893420690036,0.2999999999999996
ABW,Storm surge,250.0,q1,0.07015786173144554,0.7
ABW,Storm surge,250.0,q2,0.07015786173144554,0.7
ABW,Storm surge,250.0,q3,0.07015786173144554,0.7
ABW,Storm surge,250.0,q4,0.07015786173144554,0.439620518975962
ABW,Storm surge,250.0,q5,0.07015786173144554,0.2999999999999996
ABW,Storm surge,500.0,q1,0.08363265186854918,0.7
ABW,Storm surge,500.0,q2,0.08363265186854918,0.7
ABW,Storm surge,500.0,q3,0.08363265186854918,0.7
ABW,Storm surge,500.0,q4,0.08363265186854918,0.439620518975962
ABW,Storm surge,500.0,q5,0.08363265186854918,0.2999999999999996
ABW,Storm surge,1000.0,q1,0.09858614478703723,0.7
ABW,Storm surge,1000.0,q2,0.09858614478703723,0.7
ABW,Storm surge,1000.0,q3,0.09858614478703723,0.7
ABW,Storm surge,1000.0,q4,0.09858614478703723,0.439620518975962
ABW,Storm surge,1000.0,q5,0.09858614478703723,0.2999999999999996
ABW,Storm surge,2500.0,q1,0.12078339812369669,0.7
ABW,Storm surge,2500.0,q2,0.12078339812369669,0.7
ABW,Storm surge,2500.0,q3,0.12078339812369669,0.7
