iso3,cgdpo,cn,avg_prod_k
PSE,37048.203125,129441.953125,0.28621480308801545
QAT,312499.09375,1599698.75,0.19534871409382548
ROU,541634.25,1702481.75,0.3181439389878922
RUS,4133948.5,17784060.0,0.2324524602368638
RWA,28869.240234375,49334.38671875,0.585174807157438
SAU,1749947.625,6609045.0,0.2647807096184093
SDN,181252.390625,292487.09375,0.6196936360546678
SEN,53146.421875,153761.875,0.3456410886964015
SGP,477183.59375,1998095.125,0.23881925729136644
SLE,14754.4794921875,15617.3232421875,0.944750855404646
SLV,52751.42578125,174602.03125,0.30212378059748374
SRB,121193.109375,531527.1875,0.2280092387089795
STP,821.2059326171875,3510.61279296875,0.2339209650981573
SUR,8440.474609375,52719.1015625,0.1601027779156778
SVK,151482.375,693621.875,0.21839330687198988
SVN,71353.5625,453203.34375,0.15744270973287583
SWE,527787.8125,2380619.25,0.22170190067143244
SWZ,9042.5439453125,28794.189453125,0.31404057961183984
SYC,2779.82861328125,15506.857421875,0.17926447233337167
SYR,123770.015625,401233.15625,0.3084740473139799
TCA,632.0889282226562,3776.050537109375,0.16739419189726473
TCD,25472.1484375,45986.9453125,0.5538995526753602
TGO,18116.091796875,45573.1953125,0.3975163837569679
THA,1192240.125,4478948.5,0.2661875047234859
TJK,36495.9921875,335251.5,0.10886153287159044
TKM,153780.765625,823007.125,0.1868522895533863
TTO,39584.796875,74219.125,0.5333503578087184
TUN,130405.375,323799.3125,0.4027351818419936
TUR,2246181.75,9685274.0,0.23191721266739587
TWN,1100432.625,3739328.25,0.294286179609934
TZA,132853.90625,391568.9375,0.33928612187221824
UGA,92851.2265625,177838.4375,0.5221099997715624
UKR,580797.3125,6535627.0,0.08886634939539849
URY,71310.9765625,317723.78125,0.22444330821553823
USA,20566034.0,69059488.0,0.29780171552966045
UZB,416046.5625,1201076.625,0.34639468776606985
VCT,1231.010498046875,8470.5986328125,0.14532744985440793
VEN,7162.51171875,201776.0,0.03549734219505789
VGB,1127.260986328125,4003.315185546875,0.2815818725435017
VNM,723142.6875,1962285.75,0.3685205824381082
YEM,51983.4296875,531231.8125,0.09785451184269955
ZAF,735067.0625,2816883.25,0.2609504893395919
ZMB,56811.10546875,284111.25,0.1999607740585774
ZWE,41081.72265625,59395.53125,0.6916635274013144
