iso3,real_estate_share_of_value_added,home_ownership_rate,self_employment,k_pub_share,real_est_k_to_va_shares_ratio
SVK,0.11429888642273585,0.9256,0.151259665024365,0.21231126558513952,3.705328168012808
SVN,0.07547382246067255,0.7649999999999999,0.142623818109898,0.2327590524365184,3.705328168012808
SWE,0.08032095425152756,0.6073999999999999,0.106539779128754,0.2477702111066693,3.705328168012808
SWZ,0.05582348201311072,0.865,0.34859791499088094,0.4650515837973857,3.705328168012808
SYC,0.12063656885604249,0.7888,,0.3390251975727859,3.705328168012808
SYR,,0.7379000000000001,0.34480858389006996,0.5661022594112044,3.705328168012808
TCD,0.056846400403226534,0.7944,0.911674668000304,0.3161651423743173,3.705328168012808
TGO,0.07114789404888489,0.6591,0.82134622118878,0.5334559992745878,3.705328168012808
THA,0.025633253731206698,0.8,0.521002898965247,0.32026526644503633,3.705328168012808
TJK,0.001113015706663771,0.7781,0.269973206281708,0.5919181152643037,3.705328168012808
TKM,,0.6533,0.315349047802583,,3.705328168012808
TLS,0.062436591087306786,,0.742489646411037,,3.705328168012808
TON,0.14047484951058206,0.8687999999999999,0.511598800826615,,3.705328168012808
TTO,0.017338152278499913,0.76,0.259847991503608,,3.705328168012808
TUN,,0.76,0.25496368342833997,0.3229930629061023,3.705328168012808
TUR,0.04379406514236272,0.5564,0.285985075058983,0.17932730552274875,3.705328168012808
TUV,0.07242990654205607,0.7523000000000001,,,3.705328168012808
TWN,,0.8390000000000001,,0.3121141073350117,3.705328168012808
TZA,0.030408913897614798,0.7340000000000001,0.855185101977619,0.33806379024954325,3.705328168012808
UGA,0.06528940005412706,0.6798000000000001,0.814395150430606,0.2656963866168694,3.705328168012808
UKR,0.055684103064172895,0.7561,0.192720230501339,0.21670458370472365,3.705328168012808
URY,0.11073283253506262,0.7173,0.293526339692597,0.3253798174644857,3.705328168012808
USA,0.12010412341436205,0.6599999999999999,0.0608221746093672,0.25723902214280914,3.705328168012808
UZB,0.05407065197470082,0.8134,0.458801686625166,0.3842285751090173,3.705328168012808
VCT,0.11481152984982144,0.7798,0.25621738517229997,0.33151248934956795,3.705328168012808
VEN,,0.8175000000000001,0.405515217805686,0.6264135157875761,3.705328168012808
VGB,0.09768398532568508,,,,3.705328168012808
VIR,,,0.111169791391603,,3.705328168012808
VNM,0.03888090260472468,0.9,0.529734970766804,0.300167152003821,3.705328168012808
VUT,0.06516607571432805,0.8145,0.6017393050080301,,3.705328168012808
WSM,0.07452978448360781,0.6966,0.44657830178316404,,3.705328168012808
XKX,,0.9686,,,3.705328168012808
YEM,,0.7240000000000001,0.538032336535163,0.3948540622231117,3.705328168012808
ZAF,,0.697,0.163133948389721,0.23603172986383486,3.705328168012808
ZMB,0.02970852469515923,0.8286,0.7380312038886799,0.20517360021181355,3.705328168012808
ZWE,0.039711966490975886,0.8623000000000001,0.714928607252313,0.2319403812419987,3.705328168012808
