iso3,income_cat,liquidity,axfin
AFG,q1,88.353528125521,0.008149893884208425
AFG,q2,75.13669283831948,0.005354150546953299
AFG,q3,83.92278801109563,0.0033595052575174835
AFG,q4,83.77309817759651,0.0015152853981981378
AFG,q5,90.65119795579996,0.04841110565252067
AGO,q1,125.13581733235468,0.03469659877458524
AGO,q2,170.59499557251803,0.04569956286288792
AGO,q3,247.5850568022489,0.1512590152016139
AGO,q4,231.40787105789505,0.19012965686884892
AGO,q5,311.81794327954253,0.3251495004262276
ALB,q1,598.9159958876314,0.03074796480063802
ALB,q2,678.6790066860108,0.07669776033636684
ALB,q3,720.365470675971,0.08270326171325665
ALB,q4,762.46851501132,0.08562918840612765
ALB,q5,763.9410460902701,0.2068132807901691
ARE,q1,2314.717037146469,0.13570775193690668
ARE,q2,2156.2200311107804,0.07482930986641939
ARE,q3,2677.321648858298,0.09061129055553956
ARE,q4,2959.681206500659,0.1359282838742466
ARE,q5,3086.3612934503794,0.07790383544572033
ARG,q1,913.2795246241135,0.038359115226232296
ARG,q2,1130.1631325904461,0.065731900431188
ARG,q3,1102.3781279744974,0.03710941164190975
ARG,q4,1223.142019704051,0.1938859110476451
ARG,q5,1157.906049356844,0.22212701475974445
ARM,q1,543.3635723710539,0.047900489940754874
ARM,q2,625.1518575128907,0.02074712368342986
ARM,q3,585.9249128538893,0.0669766165796398
ARM,q4,625.8678602465433,0.04166427020017039
ARM,q5,713.980337772975,0.10260414011354017
AUS,q1,2346.912166927978,0.5155466474380117
AUS,q2,2674.2467188752285,0.6296838891562465
AUS,q3,2792.2022433024804,0.7270432805527772
AUS,q4,2744.4494635929573,0.7461748339028289
AUS,q5,2833.7276776534645,0.8395599018246677
AUT,q1,2846.1997315009967,0.6638382115932856
AUT,q2,2992.8443308331425,0.6853923440884614
AUT,q3,3020.3902317514885,0.6872906804953757
AUT,q4,2929.6374456535837,0.6233226173406197
AUT,q5,2872.752137359379,0.6738866481292712
AZE,q1,574.2518614287285,0.009643101921256237
AZE,q2,631.7920899800206,0.0067766771503430506
AZE,q3,756.6757608427961,0.057411020517125586
AZE,q4,819.3421720789613,0.06672267606843715
AZE,q5,786.6997128780297,0.07738417733609501
BDI,q1,24.00471410909527,0.015666863071775807
BDI,q2,29.872231173393025,0.020802332873585613
BDI,q3,33.152440538836274,0.010306680257391157
BDI,q4,33.8522372109401,0.05420699503570036
BDI,q5,37.10251075606043,0.09917721769614847
BEL,q1,2962.398912888781,0.36430091685960425
BEL,q2,2836.874179158718,0.558554926711214
BEL,q3,2934.5532653081814,0.5929028848642192
BEL,q4,2962.121789594095,0.6486143192973283
BEL,q5,3010.784761267866,0.6822970173784603
BEN,q1,104.70299654169503,0.029938850850414915
BEN,q2,133.25124232117506,0.07541337933357706
BEN,q3,135.00802958948427,0.014171451970580836
BEN,q4,136.2513932429227,0.03843542595849164
BEN,q5,144.82221742329762,0.09879351558632549
BFA,q1,85.74790055966683,0.047346154411433125
BFA,q2,80.48700087986859,0.05458032118410688
BFA,q3,92.35833322192451,0.03030353202839746
BFA,q4,86.88778705707158,0.0775577895636875
BFA,q5,106.09205633802618,0.16627363504529136
BGD,q1,311.9398915123173,0.04441587534430581
BGD,q2,323.56592749748773,0.037447901629920566
BGD,q3,309.14095506788937,0.08710262078059183
BGD,q4,359.11357469461274,0.04269621581890253
BGD,q5,339.5088370035448,0.08878526898686492
BGR,q1,1042.7601297783597,0.08587965242919905
BGR,q2,1066.3766790828752,0.10913519806265194
BGR,q3,1284.0738846530626,0.21063395176329014
BGR,q4,1306.840129955746,0.301832503731686
BGR,q5,1304.9654715529618,0.44770628659150385
BHR,q1,1015.5635504408278,0.2632278875576436
BHR,q2,1009.4159833481003,0.3122893769993821
BHR,q3,1457.0900008064023,0.24640575044689775
BHR,q4,1659.8448949575115,0.29104071528586023
BHR,q5,1787.733799610599,0.4220445295783989
BIH,q1,728.2071853202851,0.104724877497238
BIH,q2,730.1634271361227,0.09303330779900651
BIH,q3,689.885074559949,0.16174180595034354
BIH,q4,788.5676964906498,0.2172428020827168
BIH,q5,852.8253475227666,0.35471461876718463
BLR,q1,583.8668210737567,0.132541551161787
BLR,q2,765.3400302574909,0.13618342264268055
BLR,q3,745.6986479592323,0.23935933029419998
BLR,q4,854.3091660171775,0.2960071291924628
BLR,q5,951.1369878541967,0.3048448514876219
BLZ,q1,350.03192449737344,0.12410178610219186
BLZ,q2,314.6600284250817,0.12970963696441162
BLZ,q3,449.27083884799526,0.253583969594534
BLZ,q4,447.79699494392116,0.2546641506197215
BLZ,q5,484.90969860961,0.3580542071596932
BOL,q1,362.0665460421568,0.10692401740974351
BOL,q2,396.7394654259692,0.1048861766688999
BOL,q3,429.68286317280206,0.15615966706355738
BOL,q4,426.4101007331395,0.34569438033825106
BOL,q5,437.24338951946197,0.2869695743907149
BRA,q1,712.8227695941263,0.15712997788636734
BRA,q2,756.6550311991866,0.20768914510057523
BRA,q3,756.6418663493749,0.10461875673369689
BRA,q4,809.644541794454,0.2389113973101653
BRA,q5,755.7266425479035,0.4313477961126382
BTN,q1,470.05866065402216,0.17752568712701094
BTN,q2,504.66792813677205,0.1698421353731918
BTN,q3,514.5327222768749,0.15795607052415894
BTN,q4,536.6228197347657,0.3013630112575361
BTN,q5,518.3534958663779,0.30995130941386406
BWA,q1,464.3139493737264,0.08017449025928734
BWA,q2,549.7050591473993,0.11388976896393081
BWA,q3,650.8732918955184,0.10785519179711348
BWA,q4,748.2373712880218,0.25933746117562584
BWA,q5,664.1930779499148,0.30141218401427783
CAF,q1,7.379831308507783,0.006921752442542913
CAF,q2,5.290448528410142,0.021486657613627686
CAF,q3,10.688753997407426,0.03718509792767445
CAF,q4,16.297300516207066,0.08953741229545538
CAF,q5,21.2086120672021,0.13178276013610696
CAN,q1,2405.8932501294994,0.4654344153633449
CAN,q2,2564.5090372692803,0.5669049838768597
CAN,q3,2736.85145671854,0.6379744994764767
CAN,q4,2714.2522193245036,0.7615169590741179
CAN,q5,2641.7828634375733,0.763011432991304
CHE,q1,3349.4260904109597,0.659738157239826
CHE,q2,3422.098703479226,0.572692181863931
CHE,q3,3246.9312284094613,0.49655307848460467
CHE,q4,3536.1146862556384,0.5552408157484044
CHE,q5,3469.8552941324683,0.5268158389772293
CHL,q1,1062.7946686968412,0.27174315892727147
CHL,q2,1120.851150989668,0.27552109285899784
CHL,q3,1156.263364507281,0.3072937185829472
CHL,q4,1164.8327914965694,0.298433032219055
CHL,q5,1281.0617871916688,0.4009311538629113
CHN,q1,806.140214677553,0.29518055663088083
CHN,q2,914.731485764918,0.38559367355925506
CHN,q3,981.402683777517,0.46176331361633227
CHN,q4,964.9698463748973,0.5265892543553258
CHN,q5,982.2927124419643,0.5649303243601916
CIV,q1,236.81913061331676,0.04855594997191159
CIV,q2,240.28677773855924,0.01408732919079816
CIV,q3,247.60320721777848,0.03981894909607781
CIV,q4,248.3955395177458,0.03656898829124703
CIV,q5,257.22326730461043,0.15448523627428046
CMR,q1,174.29064534518935,0.06374325106663793
CMR,q2,181.06440713887565,0.04600698290864805
CMR,q3,183.7601131215311,0.07409918282427805
CMR,q4,209.73382781414924,0.08245509884986332
CMR,q5,222.19402782618235,0.16380202908182434
COD,q1,41.25153091768769,0.007941438833996662
COD,q2,45.87102131210902,0.005929607994183742
COD,q3,40.92962430040422,0.03652007156677353
COD,q4,45.60509832424474,0.07077285488848273
COD,q5,52.371812220498704,0.11125906844654457
COG,q1,155.570351866005,0.021940170712104447
COG,q2,158.88792136442328,0.034176684597316646
COG,q3,183.6890019885337,0.01654677647008907
COG,q4,196.91418556520122,0.0916102120765656
COG,q5,216.05281284891015,0.10677400877948269
COL,q1,787.7694771678144,0.035226347240152854
COL,q2,719.7796368750313,0.024710144395247387
COL,q3,782.5947136854095,0.05617086870780231
COL,q4,788.1237065136197,0.1137702778775058
COL,q5,787.0417339757146,0.3413749276085615
COM,q1,127.10713555063843,0.07326323950891045
COM,q2,136.79343019370978,0.08981303039194709
COM,q3,136.86476308357317,0.12469390879115126
COM,q4,142.85349088580116,0.10195437490890281
COM,q5,138.59545213143156,0.16849204288987846
CRI,q1,840.52227995607,0.1253641148307716
CRI,q2,951.9192887870728,0.12916275580418551
CRI,q3,961.256380121001,0.15235996009782038
CRI,q4,1004.941837482618,0.20559585319432297
CRI,q5,1048.4688527350954,0.4773406817669622
CYP,q1,1815.5949651623928,0.1304631235777897
CYP,q2,1954.5459448672425,0.16680596464171418
CYP,q3,1986.2022870654962,0.2805386778962671
CYP,q4,2117.174957191926,0.3173489223176342
CYP,q5,2122.422946132939,0.5087213713572175
CZE,q1,2078.3359282585816,0.4975768936883921
CZE,q2,2089.3846535951716,0.6153896334887214
CZE,q3,2143.0520278001854,0.638601773376798
CZE,q4,2149.851775278429,0.5739124183736224
CZE,q5,2127.3987191593724,0.6621499496811639
DEU,q1,2663.0527273202074,0.5867661634564268
DEU,q2,2717.2365548424755,0.5446887258705088
DEU,q3,2707.8002563054565,0.6468940133706433
DEU,q4,2945.7142433031277,0.5277499517075587
DEU,q5,2859.397295485369,0.5507960580586982
DNK,q1,3494.5581579218256,0.4260844201385817
DNK,q2,3471.6921954720087,0.6004340894084118
DNK,q3,3485.432083430162,0.6511413731216112
DNK,q4,3542.4157298044724,0.8580885777955294
DNK,q5,3513.6517028242497,0.8283438920443291
DOM,q1,871.3174940904861,0.02960387481796165
DOM,q2,888.4111234254608,0.07862060710527363
DOM,q3,960.2418772427545,0.1254009345949232
DOM,q4,923.632918459239,0.13005193384477426
DOM,q5,997.4762779934646,0.2571333015591306
DZA,q1,501.63603315381533,0.07868018548408039
DZA,q2,559.7864249603429,0.10897083819864814
DZA,q3,589.5450466461308,0.17970600077195392
DZA,q4,650.3292929845853,0.18512654289990502
DZA,q5,683.5170747672419,0.24910399532336133
ECU,q1,554.519408924979,0.046835124591701395
ECU,q2,619.5459780838557,0.07637101620716497
ECU,q3,575.1836237744953,0.13713291669143401
ECU,q4,599.6978394855151,0.11358204787513261
ECU,q5,637.8770751353057,0.28025804181412944
EGY,q1,546.4716076562894,0.007230274586283146
EGY,q2,645.6591066374384,0.012419439129712844
EGY,q3,648.8546838820334,0.04071160945819077
EGY,q4,704.9874952039157,0.03300405144368804
EGY,q5,675.2907958669078,0.08409823130375892
ESP,q1,1555.0153692784809,0.5124210240890174
ESP,q2,1995.199874560908,0.5319983262828593
ESP,q3,1880.7608890177917,0.5232375242470458
ESP,q4,1917.1824657122615,0.509984907539679
ESP,q5,2032.1365053690486,0.5981930284150068
EST,q1,1975.580595573335,0.46739767577936436
EST,q2,1944.0668338222174,0.5716859260191872
EST,q3,2039.2426965179327,0.6279191380758786
EST,q4,2046.39139232081,0.703236646671816
EST,q5,2047.8302970286945,0.7180437630168321
ETH,q1,57.89788621501229,0.06682498481826754
ETH,q2,71.39191091429319,0.19989775735424814
ETH,q3,82.53998362995854,0.2230092930999187
ETH,q4,97.90969291415705,0.29862458930331376
ETH,q5,97.57267046894587,0.34384285731014946
FIN,q1,2493.8953681773637,0.4283478545462935
FIN,q2,2803.2879566741167,0.5160457829378459
FIN,q3,2804.832048540609,0.7064152165298438
FIN,q4,2861.183844788616,0.6883661843686666
FIN,q5,2832.646354158736,0.7615638351867251
FRA,q1,2202.7686280962926,0.47002685690844764
FRA,q2,2443.0321769169736,0.5235452894180503
FRA,q3,2286.0925175819875,0.5591118865254463
FRA,q4,2581.7497760946767,0.5577003533869865
FRA,q5,2584.432786680573,0.5742656386514349
GAB,q1,683.4545730819625,0.08671590279321936
GAB,q2,729.4583581163126,0.07203579457349138
GAB,q3,690.9712843884691,0.052326431565233374
GAB,q4,681.2579012777629,0.13243936595743636
GAB,q5,671.5751681961372,0.22050832787697622
GBR,q1,2179.2461288509353,0.6296397926625712
GBR,q2,2428.6201977770916,0.5800800251145609
GBR,q3,2413.6094665316723,0.5461118371265639
GBR,q4,2361.7192796377235,0.6408411969182096
GBR,q5,2303.7601347230816,0.6522239910490175
GEO,q1,732.9163367199778,0.044703221482975924
GEO,q2,645.8293997006622,0.030469235826542474
GEO,q3,708.0669788676804,0.07144012368303362
GEO,q4,764.0989331867291,0.0779277608757043
GEO,q5,810.3037965612559,0.16478462433172444
GHA,q1,176.37688825884413,0.06668946530058684
GHA,q2,224.796496203924,0.1176231456020613
GHA,q3,247.116566104103,0.13751837422914379
GHA,q4,262.85719340996707,0.24545531540892174
GHA,q5,278.7028725409458,0.48332747324944736
GIN,q1,132.16750986031215,0.00295562702417196
GIN,q2,134.18908330042257,0.04320057809343262
GIN,q3,116.65025145881435,0.03712202619517502
GIN,q4,130.89590230267538,0.07089538034697607
GIN,q5,137.2147689428196,0.09042269043088577
GMB,q1,107.96049685718545,0.09710101767186566
GMB,q2,106.03896898566938,0.17714150741325368
GMB,q3,117.6183516476404,0.15319610364064498
GMB,q4,118.01705504353183,0.18566861491817427
GMB,q5,119.16498382870869,0.2186606687985938
GRC,q1,1527.9315807382004,0.11470634526658222
GRC,q2,1555.165719587735,0.19475018828118976
GRC,q3,1555.633902320301,0.22614241190137138
GRC,q4,1542.0729102691162,0.33971669608118504
GRC,q5,1561.9705800195486,0.4473683624022706
GTM,q1,408.37460396219274,0.07529025076180376
GTM,q2,431.23914555897755,0.0586099013658818
GTM,q3,451.74073995849534,0.08939743005915213
GTM,q4,501.16291430584806,0.13448948231789115
GTM,q5,520.9362062738737,0.15932610330276034
HKG,q1,2890.967542194072,0.29824761477555006
HKG,q2,3396.833062090544,0.5217749660681865
HKG,q3,3522.5169072813305,0.6445169159191034
