iso3,prepare_scaleup,ew,finance_pre
ABW,0.520463747143353,0.6361120189234021,0.8
AFG,0.3592006024764908,0.3948755052998953,0.5
AGO,0.5611604077563926,0.5535284709605425,0.6770833333333334
ALB,0.3020250449045197,0.2189508189873339,0.7407407407407408
AND,0.5560322521748641,0.7615020140084537,0.8181818181818182
ARE,0.8728434383731931,0.5951554939424339,0.6666666666666666
ARG,0.4869371336118353,0.6375410621136512,0.5
ARM,0.3740101200533297,0.31335098565233865,0.5
ASM,0.6329402744377585,0.7984712519855902,0.75
ATG,0.520463747143353,0.6361120189234021,0.8333333333333334
AUS,0.6790700317264603,0.9301463158373546,0.8333333333333334
AUT,0.6743220859874698,0.8577375757241545,0.8333333333333334
AZE,0.4236035393738244,0.4612760789957857,0.7407407407407408
BDI,0.5417738643394608,0.5874933870575137,0.5
BEL,0.35769762689571794,0.6902337998079515,0.8181818181818182
BEN,0.6048974177043009,0.38479716664936625,0.5
BFA,0.5860386582748977,0.5325130244580834,0.8333333333333334
BGD,0.7430143350200373,0.8203511395181686,0.8333333333333334
BGR,0.4856640200425024,0.5481724147748034,0.8333333333333334
BHR,0.5839320838247991,0.6988297880840556,0.8333333333333334
BHS,0.520463747143353,0.6361120189234021,0.8
BIH,0.20271542132514708,0.35874900092034745,0.7407407407407408
BLR,0.4236035393738244,0.4612760789957857,0.8333333333333334
BLZ,0.50202975475267,0.6125539928753647,0.7222222222222222
BMU,0.6818250460365486,0.809295634422444,0.75
BOL,0.3505492399830046,0.6197954434967983,0.5
BRA,0.5291082704872349,0.3928613642977452,0.6666666666666666
BRB,0.520463747143353,0.6361120189234021,0.8333333333333334
BRN,0.6329402744377585,0.7984712519855902,0.6666666666666666
BTN,0.6224304917176389,0.653216539981002,0.8333333333333334
BWA,0.5450701640250646,0.599007672716824,0.6666666666666666
CAF,0.5417738643394608,0.5874933870575137,0.6666666666666666
CAN,0.7290944203661487,0.7828004369006899,0.6666666666666666
CHE,0.8346389202560219,0.9344967924968567,1.0
CHI,0.5560322521748641,0.7615020140084537,0.8181818181818182
CHL,0.5408725972262776,0.6397672985802739,1.0
CHN,0.6520846316363867,0.7804302528795941,0.8333333333333334
CIV,0.44117726619149267,0.35157209694293357,0.5
CMR,0.5426972877468083,0.6181845322890618,0.8333333333333334
COD,0.5417738643394608,0.5874933870575137,0.5
COG,0.40199863103833433,0.3629035296856086,0.6770833333333334
COL,0.5172414705972652,0.583481532649143,0.8333333333333334
COM,0.5611604077563926,0.5535284709605425,0.3333333333333333
CPV,0.5611604077563926,0.5535284709605425,0.8333333333333334
CRI,0.665176892969537,0.8263909380371303,1.0
CUB,0.50202975475267,0.6125539928753647,0.8333333333333334
CUW,0.520463747143353,0.6361120189234021,0.8
CYM,0.520463747143353,0.6361120189234021,0.8333333333333334
CYP,0.2915047815919911,0.43656502998078034,0.8181818181818182
CZE,0.5393701498150425,0.7777441399174381,1.0
DEU,0.6063789838354662,0.8288874185926249,0.8333333333333334
DJI,0.5746909158025254,0.5404660960474067,0.5
DMA,0.50202975475267,0.6125539928753647,0.7222222222222222
DNK,0.6982914904907482,0.7946013699842172,0.8333333333333334
DOM,0.5853167226634055,0.8114523226201735,0.6666666666666666
DZA,0.8,0.43032729633452127,1.0
ECU,0.563095812503476,0.5041280465060598,0.6666666666666666
EGY,0.6082203936160391,0.661233132045334,0.6666666666666666
ERI,0.5417738643394608,0.5874933870575137,0.6666666666666666
ESP,0.6061794448483766,0.846283972014659,0.8333333333333334
EST,0.36610174501903453,0.5575839205548966,0.8181818181818182
ETH,0.5417738643394608,0.5874933870575137,0.8333333333333334
FIN,0.6963851362078851,0.9111164864944634,0.8333333333333334
FJI,0.6520846316363867,0.7804302528795941,1.0
FRA,0.5654372974328619,0.8331997399350071,1.0
FRO,0.5560322521748641,0.7615020140084537,0.8181818181818182
FSM,0.5558427872632575,0.6939223728796061,0.6666666666666666
GAB,0.4267726317339799,0.29348890003071043,0.8333333333333334
GBR,0.642071262418551,0.892841058757993,0.8333333333333334
GEO,0.4799341211716937,0.3753251800319887,0.8333333333333334
GHA,0.5975740580549966,0.6733557627182511,0.8333333333333334
GIB,0.5560322521748641,0.7615020140084537,0.8181818181818182
GIN,0.491227769978424,0.4747194246428278,0.6666666666666666
GMB,0.5417738643394608,0.5874933870575137,0.8333333333333334
GNB,0.5417738643394608,0.5874933870575137,0.3333333333333333
GNQ,0.5450701640250646,0.599007672716824,0.7666666666666667
GRC,0.5450174951544926,0.7755713147866197,0.8333333333333334
GRD,0.50202975475267,0.6125539928753647,0.5
GRL,0.5560322521748641,0.7615020140084537,0.8181818181818182
GTM,0.50202975475267,0.6125539928753647,0.6666666666666666
GUM,0.6329402744377585,0.7984712519855902,0.75
GUY,0.520463747143353,0.6361120189234021,0.8
