iso3,hazard,rp,income_cat,fa,v_ew
AGO,Earthquake,10.0,q1,0.0001779007713898703,0.7000000000000001
AGO,Earthquake,10.0,q2,0.0001779007713898703,0.7000000000000001
AGO,Earthquake,10.0,q3,0.0001779007713898703,0.5193570183533321
AGO,Earthquake,10.0,q4,0.0001779007713898703,0.2920970310302768
AGO,Earthquake,10.0,q5,0.0001779007713898703,0.28811627984659943
AGO,Earthquake,25.0,q1,0.0004382448939886333,0.7000000000000001
AGO,Earthquake,25.0,q2,0.0004382448939886333,0.7000000000000001
AGO,Earthquake,25.0,q3,0.0004382448939886333,0.5193570183533321
AGO,Earthquake,25.0,q4,0.0004382448939886333,0.2920970310302768
AGO,Earthquake,25.0,q5,0.0004382448939886333,0.28811627984659943
AGO,Earthquake,50.0,q1,0.0008827493619689876,0.7000000000000001
AGO,Earthquake,50.0,q2,0.0008827493619689876,0.7000000000000001
AGO,Earthquake,50.0,q3,0.0008827493619689876,0.5193570183533321
AGO,Earthquake,50.0,q4,0.0008827493619689876,0.2920970310302768
AGO,Earthquake,50.0,q5,0.0008827493619689876,0.28811627984659943
AGO,Earthquake,100.0,q1,0.0017647390326807442,0.7000000000000001
AGO,Earthquake,100.0,q2,0.0017647390326807442,0.7000000000000001
AGO,Earthquake,100.0,q3,0.0017647390326807442,0.5193570183533321
AGO,Earthquake,100.0,q4,0.0017647390326807442,0.2920970310302768
AGO,Earthquake,100.0,q5,0.0017647390326807442,0.28811627984659943
AGO,Earthquake,250.0,q1,0.004406163026662627,0.7000000000000001
AGO,Earthquake,250.0,q2,0.004406163026662627,0.7000000000000001
AGO,Earthquake,250.0,q3,0.004406163026662627,0.5193570183533321
AGO,Earthquake,250.0,q4,0.004406163026662627,0.2920970310302768
AGO,Earthquake,250.0,q5,0.004406163026662627,0.28811627984659943
AGO,Earthquake,500.0,q1,0.008216432011645574,0.7000000000000001
AGO,Earthquake,500.0,q2,0.008216432011645574,0.7000000000000001
AGO,Earthquake,500.0,q3,0.008216432011645574,0.5193570183533321
AGO,Earthquake,500.0,q4,0.008216432011645574,0.2920970310302768
AGO,Earthquake,500.0,q5,0.008216432011645574,0.28811627984659943
AGO,Earthquake,1000.0,q1,0.012279810212573142,0.7000000000000001
AGO,Earthquake,1000.0,q2,0.012279810212573142,0.7000000000000001
AGO,Earthquake,1000.0,q3,0.012279810212573142,0.5193570183533321
AGO,Earthquake,1000.0,q4,0.012279810212573142,0.2920970310302768
AGO,Earthquake,1000.0,q5,0.012279810212573142,0.28811627984659943
AGO,Earthquake,2500.0,q1,0.020789676472999025,0.7000000000000001
AGO,Earthquake,2500.0,q2,0.020789676472999025,0.7000000000000001
AGO,Earthquake,2500.0,q3,0.020789676472999025,0.5193570183533321
AGO,Earthquake,2500.0,q4,0.020789676472999025,0.2920970310302768
AGO,Earthquake,2500.0,q5,0.020789676472999025,0.28811627984659943
AGO,Earthquake,5000.0,q1,0.030853768074053912,0.7000000000000001
AGO,Earthquake,5000.0,q2,0.030853768074053912,0.7000000000000001
AGO,Earthquake,5000.0,q3,0.030853768074053912,0.5193570183533321
AGO,Earthquake,5000.0,q4,0.030853768074053912,0.2920970310302768
AGO,Earthquake,5000.0,q5,0.030853768074053912,0.28811627984659943
AGO,Flood,10.0,q1,0.000835507767205286,0.6416834088395358
AGO,Flood,10.0,q2,0.0008349934898309674,0.6416834088395358
AGO,Flood,10.0,q3,0.0008251853835139931,0.5253404023384288
AGO,Flood,10.0,q4,0.0008246888131551995,0.40392824448926107
AGO,Flood,10.0,q5,0.0008289666203789417,0.40392824448926107
AGO,Flood,25.0,q1,0.0017142499922266818,0.6416834088395358
AGO,Flood,25.0,q2,0.001713194825513059,0.6416834088395358
AGO,Flood,25.0,q3,0.0016930710794061,0.5253404023384288
AGO,Flood,25.0,q4,0.0016920522429965362,0.40392824448926107
AGO,Flood,25.0,q5,0.0017008292182538417,0.40392824448926107
AGO,Flood,50.0,q1,0.0023799048550613797,0.6416834088395358
AGO,Flood,50.0,q2,0.002378439959978377,0.6416834088395358
AGO,Flood,50.0,q3,0.002350502027191943,0.5253404023384288
AGO,Flood,50.0,q4,0.002349087569715712,0.40392824448926107
AGO,Flood,50.0,q5,0.0023612727038107005,0.40392824448926107
AGO,Flood,100.0,q1,0.002640708156566391,0.6416834088395358
AGO,Flood,100.0,q2,0.002639082730076768,0.6416834088395358
AGO,Flood,100.0,q3,0.002608083202162936,0.5253404023384288
AGO,Flood,100.0,q4,0.0026065137405154853,0.40392824448926107
AGO,Flood,100.0,q5,0.002620034189841457,0.40392824448926107
AGO,Flood,250.0,q1,0.0027873216143003672,0.6416834088395358
AGO,Flood,250.0,q2,0.0027856059433066923,0.6416834088395358
AGO,Flood,250.0,q3,0.0027528853058623477,0.5253404023384288
AGO,Flood,250.0,q4,0.0027512287069073,0.40392824448926107
AGO,Flood,250.0,q5,0.0027654998184451743,0.40392824448926107
AGO,Flood,500.0,q1,0.002907575174877272,0.6416834088395358
AGO,Flood,500.0,q2,0.0029057854846011753,0.6416834088395358
AGO,Flood,500.0,q3,0.0028716531790031305,0.5253404023384288
AGO,Flood,500.0,q4,0.0028699251093136794,0.40392824448926107
AGO,Flood,500.0,q5,0.0028848119201547897,0.40392824448926107
AGO,Flood,1000.0,q1,0.0030576814328455654,0.6416834088395358
AGO,Flood,1000.0,q2,0.0030557993481534662,0.6416834088395358
AGO,Flood,1000.0,q3,0.003019904930705856,0.5253404023384288
AGO,Flood,1000.0,q4,0.003018087647820188,0.40392824448926107
