iso3,gdp_pc_pp,pop,urbanization_rate
SVK,33176.1845690068,5431752.0,0.53909
SVN,41015.2252312307,2111986.0,0.55751
SWE,55359.3426541443,10486941.0,0.88492
SWZ,9058.58317666301,1201670.0,0.24576
TCD,1412.67071848127,17723315.0,0.24062999999999998
TGO,2202.72681593814,8848699.0,0.43921
THA,17507.6201930152,71697030.0,0.5288900000000001
TJK,4137.27759953736,9952787.0,0.27968
TUN,10569.050828623,12356117.0,0.70214
TUR,33149.4982176858,84979913.0,0.77022
TZA,2623.86157226563,65497748.0,0.36682000000000003
UGA,2280.07374296159,47249585.0,0.26159
UKR,10731.4404296875,38000000.0,0.69919
URY,24426.6593485458,3422794.0,0.9568800000000001
USA,64623.1256297446,333287557.0,0.83084
UZB,8073.21043944232,35648100.0,0.50466
VNM,11396.5313049957,98186856.0,0.38766
ZAF,13478.7538566236,59893885.0,0.6833499999999999
ZMB,3365.87377980882,20017675.0,0.45761
ZWE,2207.9570327935,16320537.0,0.32395
