country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Malawi,1466.87941731684,20405317.0,0.069,0.17980000000000002,645.158692067185,0.0418,0.08449999999999999,0.0565922455977987,0.05707493711379189
Malaysia,28315.3729935804,33938221.0,0.057,0.78214,11971.9275991535,0.3386,0.5558,0.19573953211973344,0.08783829839794499
Maldives,20979.4999560746,523787.0,0.08900000000000001,0.41536,11817.5239328803,0.2764,0.3493,0.09187592468700215,0.0251673889906633
Mali,2131.80532581315,22593590.0,0.075,0.45437,833.297255208972,0.0695,0.14029999999999998,0.02463170518441649,0.05299713493900196
Malta,48239.618247889,523417.0,0.08,0.94875,33940.9495961291,0.305,0.5566,,
Marshall Islands,6121.36937717853,41569.0,0.07200000000000001,0.7852,6727.79956217374,0.05,0.05,,
Mauritania,5440.66960687007,4736139.0,0.075,0.56923,2190.70020547034,0.078,0.106,,
Mauritius,22786.9785180174,1262523.0,0.07200000000000001,0.4081,10216.2947440415,0.2322,0.3261,0.3072384474362918,0.2371019932777492
Mexico,19547.3307083132,127504125.0,0.05,0.813,11091.3054302538,0.049,0.16260000000000002,0.17467582270109655,0.12492146038368034
"Micronesia, Fed. Sts.",3264.93486632122,114164.0,0.055,0.23217,3741.05776874774,0.197,0.197,0.4912377109044144,0.1334064251442716
Middle East & North Africa,16711.1417258827,493264873.0,,0.6608941136791231,8949.39677899439,0.10099999999999999,0.1773,0.1513249048909193,0.10797556879859756
Middle East & North Africa (IDA & IBRD countries),10872.4948148364,419284769.0,,0.623311836687037,3954.09404072478,,,,
Middle East & North Africa (excluding high income),10810.0328689535,424328381.0,,0.625089976272905,3952.11139122738,0.0745,0.1373,,
Middle income,12244.1582875116,5974220875.0,,0.54232151664866,6388.15816925793,0.15810000000000002,0.2815,,
Moldova,12905.3893617934,2592477.0,0.10099999999999999,0.43173,5562.61362534668,0.0398,0.1075,0.6199712364566453,0.44959928068693567
Mongolia,12051.7731023892,3398366.0,0.079,0.6893,4946.75481125723,0.1802,0.3469,0.3614779967476918,0.2351324914979391
Montenegro,22081.2952131425,616159.0,0.053,0.68164,9893.51590693197,0.0393,0.1421,0.4197299691312367,0.3074520932925715
Morocco,8061.51806640625,37457971.0,0.067,0.6459600000000001,3527.94189453125,0.0416,0.0947,,
Mozambique,1243.07363779512,32969518.0,0.044000000000000004,0.38187,541.454425499229,0.059800000000000006,0.1414,0.09605684527953846,0.07940821318227878
Myanmar,4124.48565135618,54179306.0,0.08900000000000001,0.31771,1095.70178954585,0.0496,0.1175,0.41963439190210083,0.2615898647944064
Namibia,9490.26076435304,2567012.0,0.027999999999999997,0.53956,4911.32763537761,0.1873,0.43700000000000006,0.2780851614763488,0.06075474950810674
Nauru,11109.8030116753,12668.0,0.08,1.0,11913.6573290384,,,,
Nepal,4001.69995491459,30547580.0,0.083,0.21451,1336.54604726414,0.09699999999999999,0.20370000000000002,0.1957688697934795,0.2922257201114258
Netherlands,58584.6237903865,17703090.0,0.092,0.9288599999999999,55985.4034255707,0.5321,0.7406,,
New Zealand,44880.3660950187,5124100.0,,0.8688400000000001,48249.2640150011,0.5611999999999999,0.7798999999999999,,
Nicaragua,5822.36911103879,6948392.0,0.051,0.59556,2255.42598603695,0.031200000000000002,0.0806,0.3598193071822152,0.11900660595996901
Niger,1274.80994054532,26207977.0,0.076,0.16893999999999998,533.028763819513,0.0115,0.0341,0.06087253436853174,0.04730618604779092
Nigeria,4963.16031287959,218541212.0,0.071,0.53521,2184.42149316828,0.0805,0.2414,0.02566866098361314,0.06317004555958736
North America,63058.9810657851,372280991.0,,0.829475978645711,74164.6530205831,0.44189999999999996,0.7857,,
North Macedonia,17128.6984879585,2057679.0,0.057999999999999996,0.59118,6591.4712922903,0.0603,0.2071,,
Norway,67462.3764458619,5457127.0,0.08800000000000001,0.83664,106148.778627718,0.7709,0.8344,,
OECD members,46009.3336840115,1377613713.0,,0.814537453567225,43260.7027011599,0.48100000000000004,0.6635,,
Oman,35336.8946545877,4576298.0,,0.8775,25056.7948608378,0.1334,0.2912,,
Other small states,22237.3094731161,33136283.0,,0.6353296393418659,15990.6473634936,,,,
Pacific island small states,6392.56055123677,2639019.0,,0.395537027872857,3874.93417803281,,,,
Pakistan,5451.71824050408,235824862.0,0.096,0.37731000000000003,1596.66266149236,0.0127,0.0311,0.10049332974421517,0.17503651433384365
Palau,13785.6364909396,18055.0,,0.8195600000000001,12083.8881491345,,,0.14801150778142944,0.10637443340469548
Panama,33266.4768548785,4408581.0,0.037000000000000005,0.6914100000000001,17357.6286293985,0.0894,0.192,0.3224502643379428,0.1314035175481064
Papua New Guinea,3765.89957298991,10142619.0,0.051,0.13582,3020.26964580164,0.1438,0.1438,0.004448386807626482,0.0013822475301973206
Paraguay,13531.3966633509,6780744.0,0.05,0.62818,6153.05567679103,0.029500000000000002,0.0526,0.24472210616870363,0.1712110899633684
Peru,12743.9423914767,34049588.0,0.057999999999999996,0.78708,7125.8292350929,0.0482,0.2108,0.17386606403065372,0.12202113234294627
Philippines,8581.93769302209,115559009.0,0.065,0.47977,3498.50981598253,0.06509999999999999,0.2747,0.14759586790150786,0.1654502870595333
Poland,36798.1917129585,37561599.0,0.086,0.60134,18321.2808899533,0.3035,0.40490000000000004,0.5858690158076951,0.4223413219786631
Portugal,35746.3914743043,10379007.0,0.069,0.67381,24274.5165823077,0.30670000000000003,0.5069,,
Post-demographic dividend,50348.5467298479,1113419395.0,,0.821052209639405,50307.6693628282,,,,
Pre-demographic dividend,3395.40719884842,1038012552.0,,0.435884108127172,1553.28051193406,,,,
Puerto Rico,34297.933716822,3221789.0,,0.9361,35208.6371888414,0.13390000000000002,0.30210000000000004,,
Qatar,97096.9350296714,2695122.0,,0.99318,88046.3204155891,0.19760000000000003,0.2982,,
Romania,32738.1861320729,18956666.0,0.055999999999999994,0.54489,15892.1185256988,0.1117,0.2371,0.5248172980625071,0.41048118971784836
Russian Federation,27584.171875,143555736.0,0.075,0.75126,15345.0966796875,0.076,0.248,0.302936399320334,0.19396386309485594
Rwanda,2364.93882579321,13776698.0,0.06,0.17721,966.327110112571,0.077,0.264,0.07768610046411124,0.058254320562935696
Samoa,5116.33551773869,222382.0,0.068,0.17615999999999998,3743.20567929219,,,0.22766987752750661,0.145916985193756
San Marino,61609.0121792522,33660.0,,0.97732,54982.4517157142,,,,
Sao Tome and Principe,4012.83726871433,227380.0,0.064,0.75755,2404.25869314484,,,,
Saudi Arabia,50022.9340232601,36408820.0,,0.84729,30436.2783034025,0.2314,0.43729999999999997,,
Senegal,3564.62813675874,17316449.0,0.071,0.49085999999999996,1598.73599053078,0.073,0.0978,0.11314815540406069,0.21752846804006767
Serbia,20496.8186903986,6760087.0,0.066,0.56873,9393.62890629911,0.11779999999999999,0.237,0.47176922158653073,0.30501791386758453
Seychelles,29834.9051419146,100060.0,0.07,0.58396,15874.5400675106,0.94,0.94,,
Sierra Leone,1635.44647578445,8605718.0,0.079,0.43831000000000003,461.361138294258,0.0432,0.0525,0.0212518142324936,0.04198320643608805
Singapore,108036.110993232,5637022.0,,1.0,82807.6490834764,0.5142,0.6568,,
Sint Maarten (Dutch part),35410.9685316128,43389.0,,1.0,36220.3380075608,,,,
Slovak Republic,33172.2257962936,5431752.0,0.095,0.53909,21258.1141354655,0.4447,0.6842,0.32228807705582185,0.25230049637416263
Slovenia,42175.2032060924,2108732.0,0.10300000000000001,0.55751,29457.40284439,0.24850000000000003,0.498,,
Small states,20509.7615434322,43280780.0,,0.600680807798519,14626.5057055616,,,,
Solomon Islands,2247.78488218831,724273.0,0.07,0.25584,2203.18965958102,0.26,0.26,0.05708569769969309,0.06716642574563866
Somalia,1155.27577258632,17597511.0,,0.47324,461.775850005151,0.0038,0.0444,,
South Africa,13470.026543326,59893885.0,0.024,0.6833499999999999,6776.48007742932,0.2378,0.4611,0.7327359785516079,0.1542555000286081
South Asia,6716.98563606734,1919348000.0,,0.358249986495143,2272.4547387962,0.0647,0.1427,0.13489824396457678,0.13509188390515062
South Asia (IDA & IBRD),6716.98563606734,1919348000.0,,0.358249986495143,2272.4547387962,,,,
Spain,39834.0852693646,47615034.0,0.06,0.81304,29350.1685214481,0.5222,0.544,,
Sri Lanka,12200.1373954225,22181000.0,0.07400000000000001,0.19025999999999998,3354.38340757565,0.2693,0.38530000000000003,0.12151395007013438,0.10918008225081462
St. Kitts and Nevis,28838.9894908165,47657.0,,0.30991,20176.7475766259,,,,
St. Lucia,15037.7618728299,179857.0,0.031,0.1905,11481.496719925,0.35,0.35,,
St. Vincent and the Grenadines,14572.6555189365,103948.0,0.203,0.53875,9125.31749650188,0.206,0.206,,
Sub-Saharan Africa,3758.80714669556,1211170184.0,,0.42368034437390795,1690.38756577047,0.0852,0.20350000000000001,0.11874747908082649,0.08765284442413379
Sub-Saharan Africa (IDA & IBRD countries),3758.80714669556,1211170184.0,,0.42368034437390795,1690.38756577047,,,,
Sub-Saharan Africa (excluding high income),3756.65603856628,1211070124.0,,0.423667101885283,1689.21565485367,0.0852,0.20350000000000001,,
Sudan,3570.607421875,46874204.0,0.078,0.35956000000000005,1102.146484375,0.021,0.1105,,
Suriname,14922.4442637272,618040.0,,0.66307,5858.2860595119,,,,
Sweden,54818.3965473561,10486941.0,0.08199999999999999,0.88492,55873.2208108977,0.6931999999999999,0.8668,,
Switzerland,70999.6879113108,8769741.0,0.075,0.74092,92101.4697414382,0.6163000000000001,0.5264,,
Tajikistan,4137.27759952148,9952787.0,0.07400000000000001,0.27968,1054.18948358818,0.0015,0.0168,,
Tanzania,2622.79248046875,65497748.0,0.069,0.36682000000000003,1192.40380859375,0.0232,0.08900000000000001,0.04023313698606992,0.0497451646706161
Thailand,17507.1235022913,71697030.0,0.076,0.5288900000000001,6908.80211929543,0.3847,0.6163000000000001,0.3330126560859966,0.22209306407952512
Timor-Leste,4089.17273291105,1341296.0,0.094,0.32073999999999997,2358.4090544008,0.62,0.62,0.0789315878886798,0.05906232264784432
Togo,2208.68846291901,8848699.0,0.057999999999999996,0.43921,918.376755793481,0.0629,0.152,0.03421838377960773,
Tonga,6142.96353651678,106858.0,0.077,0.23125,4425.9705910742,0.008,0.008,0.03303371748316276,
Trinidad and Tobago,23525.7087345723,1531044.0,0.049,0.5334,18222.2603252218,0.28550000000000003,0.4129,,
Tunisia,10577.7075053529,12356117.0,0.078,0.70214,3776.66777934015,0.058499999999999996,0.1906,,
Turkiye,32997.7000720631,85341241.0,0.054000000000000006,0.77022,10616.0610448133,0.029500000000000002,0.1393,,
Turkmenistan,14269.6410297883,6430770.0,,0.53494,7297.18004219407,0.0373,0.0557,,
Turks and Caicos Islands,19406.8574612633,45703.0,,0.9404699999999999,24917.595805527,,,,
Tuvalu,4591.33071332172,11312.0,0.066,0.65527,5334.98860491543,,,,
Uganda,2281.42781257516,47249585.0,0.061,0.26159,964.224385224431,0.1075,0.193,0.054327231328445615,0.057598170082734115
Ukraine,10731.4404296875,38000000.0,0.1,0.69919,4533.9755859375,0.064,0.1331,0.5823882661398656,0.38524448337560907
United Arab Emirates,74299.0129804715,9441129.0,0.092,0.87543,53757.8632508308,0.1054,0.1018,,
United Kingdom,46831.0854340415,66971411.0,0.076,0.84398,45850.4261222629,0.6048,0.6131,,
United States,64702.9783105467,333287557.0,0.06,0.83084,76398.5917422054,0.43310000000000004,0.7934,,
Upper middle income,18096.5909639628,2784208276.0,,0.67965094709063,10794.9318569097,0.26280000000000003,0.4224,0.34297692178981387,0.22713474083358165
Uruguay,24426.6593485458,3422794.0,0.057,0.9568800000000001,20795.0423535553,0.051699999999999996,0.21660000000000001,0.29306814394433234,0.2651728791585052
Uzbekistan,8073.21043996643,35648100.0,0.07400000000000001,0.50466,2255.15115489364,0.0070999999999999995,0.0393,0.29907568592170364,0.12594180464267146
