iso3,year,forecast_accuracy
BEL,2018,0.674
BHR,1987,0.389
BHR,1988,0.434
BHR,1989,0.44
BHR,1990,0.461
BHR,1991,0.464
BHR,1992,0.465
BHR,1993,0.466
BHR,1994,0.46
BHR,1995,0.481
BHR,1996,0.518
BHR,1997,0.525
BHR,1998,0.554
BHR,1999,0.581
BHR,2000,0.584
BHR,2001,0.579
BHR,2002,0.591
BHR,2003,0.59
BHR,2004,0.615
BHR,2005,0.634
BHR,2006,0.6395
BHR,2007,0.645
BHR,2008,0.642
BHR,2009,0.641
BHR,2010,0.623
BHR,2011,0.615
BHR,2012,0.617
BHR,2013,0.637
BHR,2014,0.645
BHR,2015,0.662
BHR,2016,0.656
BHR,2017,0.665
BHR,2018,0.674
BHS,1987,0.389
BHS,1988,0.434
BHS,1989,0.44
BHS,1990,0.461
BHS,1991,0.464
BHS,1992,0.465
BHS,1993,0.466
BHS,1994,0.46
BHS,1995,0.481
BHS,1996,0.518
BHS,1997,0.525
BHS,1998,0.554
BHS,1999,0.581
BHS,2000,0.584
BHS,2001,0.579
BHS,2002,0.591
BHS,2003,0.59
BHS,2004,0.615
BHS,2005,0.634
BHS,2006,0.6395
BHS,2007,0.645
BHS,2008,0.642
BHS,2009,0.641
BHS,2010,0.623
BHS,2011,0.615
BHS,2012,0.617
BHS,2013,0.637
BHS,2014,0.645
BHS,2015,0.662
BHS,2016,0.656
BHS,2017,0.665
BHS,2018,0.674
BMU,1987,0.389
BMU,1988,0.434
BMU,1989,0.44
BMU,1990,0.461
BMU,1991,0.464
BMU,1992,0.465
BMU,1993,0.466
BMU,1994,0.46
BMU,1995,0.481
BMU,1996,0.518
BMU,1997,0.525
BMU,1998,0.554
BMU,1999,0.581
BMU,2000,0.584
BMU,2001,0.579
BMU,2002,0.591
BMU,2003,0.59
BMU,2004,0.615
BMU,2005,0.634
BMU,2006,0.6395
BMU,2007,0.645
BMU,2008,0.642
BMU,2009,0.641
BMU,2010,0.623
BMU,2011,0.615
BMU,2012,0.617
BMU,2013,0.637
BMU,2014,0.645
BMU,2015,0.662
BMU,2016,0.656
BMU,2017,0.665
BMU,2018,0.674
BRB,1987,0.389
BRB,1988,0.434
BRB,1989,0.44
BRB,1990,0.461
BRB,1991,0.464
BRB,1992,0.465
BRB,1993,0.466
BRB,1994,0.46
BRB,1995,0.481
BRB,1996,0.518
BRB,1997,0.525
BRB,1998,0.554
BRB,1999,0.581
BRB,2000,0.584
BRB,2001,0.579
BRB,2002,0.591
BRB,2003,0.59
BRB,2004,0.615
BRB,2005,0.634
BRB,2006,0.6395
BRB,2007,0.645
BRB,2008,0.642
BRB,2009,0.641
BRB,2010,0.623
BRB,2011,0.615
BRB,2012,0.617
BRB,2013,0.637
BRB,2014,0.645
BRB,2015,0.662
BRB,2016,0.656
BRB,2017,0.665
BRB,2018,0.674
BRN,1987,0.389
BRN,1988,0.434
BRN,1989,0.44
