iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,income_share,transfers,findex,WRP_prepare_scaleup,WRP_ew,HFA,finance_pre,ew,prepare_scaleup,borrowing_ability,avg_prod_k,k_pub_share,self_employment,real_estate_share_of_value_added,home_ownership_rate,hazard_loss,gem_building_classes,gmd_vulnerability_rel,exposure_bias,flopros
GRC,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
GTM,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
HND,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
HRV,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
HTI,available,available,available,available,available,available,available,available,imputed,available,,,available,available,available,available,available,available,available,available,available,imputed,available,available,,available,available
HUN,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
IDN,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available
IND,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,,available,available
IRL,available,available,available,available,available,available,available,available,imputed,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
IRN,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,imputed,available
IRQ,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
ISL,available,available,available,available,available,available,available,available,imputed,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
ISR,available,available,available,available,available,available,available,available,imputed,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
ITA,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
JOR,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
JPN,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
KAZ,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,,available,available
KEN,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
KOR,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
LAO,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,imputed,available
LBN,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
LBR,available,available,available,available,available,available,available,available,available,available,,,,imputed,imputed,imputed,available,available,available,available,available,available,available,available,available,available,available
LKA,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available
LSO,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
LTU,available,available,available,available,available,available,available,available,available,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
LVA,available,available,available,available,available,available,available,available,available,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
MAR,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MDA,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MDG,available,available,available,available,available,available,available,available,imputed,available,,,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
MEX,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
MKD,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,,available,available
MLI,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
MLT,available,available,available,available,available,available,available,available,imputed,available,available,available,,imputed,available,available,available,available,available,available,available,available,available,available,,available,available
MMR,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available,available
MNE,available,available,available,available,available,available,available,available,available,available,,,,imputed,imputed,imputed,available,available,available,available,available,available,available,available,,available,available
MNG,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MOZ,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,available,imputed,available
MRT,available,available,available,available,available,available,available,available,imputed,available,,,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
MUS,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MWI,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MYS,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,available,available,,imputed,available
NAM,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
NER,available,available,available,available,available,available,available,available,available,available,,,available,available,available,available,available,available,available,available,available,imputed,available,available,available,available,available
NGA,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
NIC,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,imputed,imputed,available,available,available,available,available
