iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group
JOR,9520.25064497454,9136.54209984611,11552876.0,33.7,Jordan,MNA,LMICs
JPN,46097.4299773012,47902.5061712578,123975371.0,32.3,Japan,EAP,HICs
KAZ,35905.4414938905,32268.45091455,20592571.0,29.2,Kazakhstan,ECA,UMICs
KEN,5823.40759464391,5695.37403184006,56432944.0,37.7,Kenya,SSA,LMICs
KGZ,7046.31027413488,7103.52164666224,7224614.0,27.2,Kyrgyz Republic,ECA,LMICs
KOR,50414.2083391764,49571.0547938155,51751065.0,32.9,"Korea, Rep.",EAP,HICs
LAO,8610.90166279666,7620.24843935199,7769819.0,38.8,Lao PDR,EAP,LMICs
LBN,11330.2687387422,10327.5677287268,5805962.0,35.3,Lebanon,MNA,LMICs
LBR,1658.2599942501,1443.67262728265,5612817.0,35.3,Liberia,SSA,LICs
LCA,24252.4688588491,18450.5420353486,179744.0,43.7,St. Lucia,LAC,UMICs
LKA,13752.836740386,13379.2997442946,21916000.0,37.7,Sri Lanka,SAR,LMICs
LSO,2637.91651023395,3044.23213592819,2337423.0,44.9,Lesotho,SSA,LMICs
LTU,47169.0084190287,43616.2619023607,2888055.0,36.0,Lithuania,ECA,HICs
LUX,128181.703344823,88753.0782296769,677717.0,33.6,Luxembourg,ECA,HICs
LVA,38936.0453870454,37768.6122626232,1862441.0,34.0,Latvia,ECA,HICs
MAR,9065.9140625,8955.1123046875,38081173.0,39.5,Morocco,MNA,LMICs
MDA,16465.9286876097,17329.513294551,2389275.0,26.8,Moldova,ECA,UMICs
MDG,1657.0497062251,1573.90927049096,31964956.0,36.8,Madagascar,SSA,LICs
MDV,23351.0538990332,18992.0699698098,527799.0,29.3,Maldives,SAR,UMICs
MEX,22033.2744496619,22442.6274582049,130861007.0,43.5,Mexico,LAC,UMICs
MKD,24465.3919306751,23759.7560846465,1792179.0,33.5,North Macedonia,ECA,UMICs
MLI,2910.81542295398,2854.53769916482,24478595.0,35.7,Mali,SSA,LICs
MLT,60473.2580715114,51845.8605815574,574346.0,34.6,Malta,MNA,HICs
MMR,5276.29433987853,5096.69887498233,54500091.0,30.7,Myanmar,EAP,LMICs
MNE,27853.6429505921,28426.8714996308,623831.0,34.3,Montenegro,ECA,UMICs
MNG,16801.3067931352,16830.1515862536,3524788.0,31.4,Mongolia,EAP,UMICs
MOZ,1495.3224081402,1450.29525689311,34631766.0,49.6,Mozambique,SSA,LICs
MRT,6396.99125827366,5804.6754007324,5169395.0,32.0,Mauritania,SSA,LMICs
MUS,27317.185283655,25275.1876485484,1259509.0,36.8,Mauritius,SSA,UMICs
MWI,1635.85689673716,1636.88804609079,21655286.0,38.5,Malawi,SSA,LICs
MYS,34071.9449554711,32999.563739747,35557673.0,40.7,Malaysia,EAP,UMICs
NAM,10281.3356370344,10708.5722585034,3030131.0,59.1,Namibia,SSA,LMICs
NER,1772.72451186128,2089.6357920904,27032412.0,32.9,Niger,SSA,LICs
NGA,5665.45157716197,5384.77783291057,232679478.0,33.9,Nigeria,SSA,LMICs
NIC,7661.60202722818,7785.76927506026,6916140.0,46.2,Nicaragua,LAC,LMICs
NLD,70901.8384173158,70376.0113936909,17994237.0,25.7,Netherlands,ECA,HICs
NOR,91108.2369704645,110848.884305355,5572272.0,26.5,Norway,ECA,HICs
NPL,5046.81592972946,5070.94516128461,29651054.0,30.0,Nepal,SAR,LMICs
PAK,5530.99612925916,5606.17604522018,251269164.0,29.6,Pakistan,MNA,LMICs
PAN,36426.007943645,34663.772926628,4515577.0,49.7,Panama,LAC,HICs
PER,15661.7497711956,15022.326236543,34217848.0,40.1,Peru,LAC,UMICs
PHL,10375.9404179938,11579.5326713361,115843670.0,39.3,Philippines,EAP,LMICs
PNG,4300.72597086628,3734.73135842238,10576502.0,41.9,Papua New Guinea,EAP,LMICs
POL,45112.5993993196,43043.7502844657,36554707.0,28.5,Poland,ECA,HICs
PRT,41883.8514202164,42037.3623562572,10701636.0,33.9,Portugal,ECA,HICs
PRY,16296.2836189267,14943.4653092085,6929153.0,44.2,Paraguay,LAC,UMICs
PSE,3845.50297375419,6446.59186545811,5289152.0,36.4,West Bank and Gaza,MNA,LMICs
QAT,110945.880494642,115036.573456824,2857822.0,35.1,Qatar,MNA,HICs
ROU,40610.7541380693,40955.8939476654,19069340.0,29.8,Romania,ECA,HICs
RUS,41704.7109375,38938.79296875,143533851.0,33.0,Russian Federation,ECA,HICs
RWA,3264.64451474392,3277.63302263633,14256567.0,39.4,Rwanda,SSA,LICs
SDN,1871.58911132813,1831.03149414063,50448963.0,34.2,Sudan,SSA,LICs
SEN,4495.89489345838,4264.48878673377,18501984.0,36.2,Senegal,SSA,LMICs
SLB,2527.07485921558,2805.44106817418,819198.0,37.1,Solomon Islands,EAP,LMICs
SLE,3092.8305770948,2887.17023686082,8642022.0,35.7,Sierra Leone,SSA,LICs
SLV,11669.0817135644,10825.6115016267,6338193.0,39.8,El Salvador,LAC,UMICs
SRB,26886.0087460398,25764.6747156874,6587202.0,32.8,Serbia,ECA,UMICs
STP,5480.43526105768,5762.53946357945,235536.0,40.7,Sao Tome and Principe,SSA,LMICs
SUR,19413.2971787064,16122.9848858377,634431.0,39.2,Suriname,LAC,UMICs
SVK,40346.5748138478,38089.3809910381,5422069.0,23.8,Slovak Republic,ECA,HICs
SVN,48495.889687081,47427.8732753114,2126324.0,24.7,Slovenia,ECA,HICs
SWE,63258.9079924002,65070.6176453437,10569709.0,29.3,Sweden,ECA,HICs
SWZ,10367.2682554184,9756.06698089589,1242822.0,54.6,Eswatini,SSA,LMICs
SYR,4189.83757087762,4425.99251948986,24672760.0,26.6,Syrian Arab Republic,MNA,LICs
TCD,2605.77164183974,2451.40860241569,20299123.0,37.4,Chad,SSA,LICs
TGO,2849.60384966171,2776.57404669686,9515236.0,37.9,Togo,SSA,LICs
THA,21737.1779720129,19539.5732724611,71668011.0,33.5,Thailand,EAP,UMICs
TJK,4755.93296704719,7500.20928238403,10590927.0,36.1,Tajikistan,ECA,LMICs
TLS,4186.21470887981,4081.92854727427,1400638.0,28.7,Timor-Leste,EAP,LMICs
TON,7075.55624772951,6818.98341953327,104175.0,27.1,Tonga,EAP,UMICs
TUN,12713.5498473821,12626.0328745436,12277109.0,33.7,Tunisia,MNA,LMICs
TUR,35294.3936777926,30929.7318407593,85518661.0,44.5,Turkiye,ECA,UMICs
TZA,3713.26293945313,3646.03955078125,68560157.0,40.5,Tanzania,SSA,LMICs
UGA,2881.8659466843,2733.47717362525,50015092.0,42.7,Uganda,SSA,LICs
UKR,16319.8447265625,16973.224609375,37860221.0,25.6,Ukraine,ECA,UMICs
URY,32038.7727288227,28850.6485889482,3386588.0,40.0,Uruguay,LAC,HICs
USA,75491.6084348903,75643.6242951476,340110988.0,41.8,United States,NMA,HICs
UZB,10450.2051402852,9290.37392662001,36361859.0,34.6,Uzbekistan,ECA,LMICs
VNM,14415.2159532813,13215.9287816632,100987686.0,36.1,Viet Nam,EAP,LMICs
VUT,3169.23242933515,3409.4198509083,327777.0,32.3,Vanuatu,EAP,LMICs
WSM,6894.88985532565,7190.87178134596,218019.0,38.7,Samoa,EAP,UMICs
XKX,16380.8685901944,16174.2894849678,1527324.0,38.3,Kosovo,ECA,UMICs
ZAF,13598.7888656984,12983.6059307303,64007187.0,63.0,South Africa,SSA,UMICs
ZMB,3716.037353331,3198.35696552235,21314956.0,51.5,Zambia,SSA,LMICs
ZWE,3450.12970768715,3402.55168834731,16634373.0,50.3,Zimbabwe,SSA,LMICs
