iso3,ew,prepare_scaleup,finance_pre
MMR,0.5050952099044907,0.4180693914260636,0.5
MNE,0.4529391405030171,0.4799341211716937,0.8333333333333334
MNG,0.5190795729867352,0.38223813366532067,0.8333333333333334
MNP,0.8,0.5890552972778644,0.8333333333333334
MOZ,0.7816406511355944,0.7136908668824892,1.0
MRT,0.6000000000000001,0.6666666666666667,0.6666666666666666
MUS,0.731215591759893,0.5742250470100161,0.8333333333333334
MWI,0.8,0.8,0.6666666666666666
MYS,0.8001141530107123,0.7205719607313039,0.8333333333333334
NAM,0.7936589023480551,0.6244079980796371,0.6666666666666666
NCL,0.8,0.5890552972778644,0.8333333333333334
NER,0.6000000000000001,0.6666666666666667,0.6666666666666666
NGA,0.5510523804721653,0.5289779172613325,0.8333333333333334
NIC,0.7084046503084342,0.5839488873340655,0.6666666666666666
NLD,0.8870013062547625,0.6848459183373843,0.8333333333333334
NOR,0.7628501843403923,0.7135282568782568,1.0
NPL,0.4001534455167152,0.543613903690862,0.6666666666666666
NRU,0.8,0.2,0.3333333333333333
NZL,0.6903684614567506,0.7163641858595013,0.8333333333333334
OMN,0.6989243408404273,0.6,0.6666666666666666
PAK,0.568250477707138,0.5128272667527066,0.8333333333333334
PAN,0.5925990436210657,0.44902131420840696,0.8333333333333334
PER,0.5886502528665168,0.4081936571991137,0.8333333333333334
PHL,0.7720637561070226,0.7435303007378833,0.6666666666666666
PLW,0.6000000000000001,0.5333333333333333,0.5
PNG,0.6000000000000001,0.4,0.5
POL,0.8727116904104149,0.45110590521357724,0.8333333333333334
PRI,0.6578685065745702,0.6666666666666667,0.8333333333333334
PRK,0.6000000000000001,0.6,0.6666666666666666
PRT,0.7055610005708771,0.598726219230438,0.8333333333333334
PRY,0.7176617515975888,0.4804687854724018,0.8333333333333334
PSE,0.4,0.4666666666666667,0.3333333333333333
PYF,0.8,0.5890552972778644,0.8333333333333334
QAT,0.6000000000000001,0.6,0.6666666666666666
ROU,0.6413961129308042,0.4036449922733403,0.8333333333333334
RUS,0.6815236532653175,0.38012716921762624,0.8333333333333334
RWA,0.8,0.8,0.6666666666666666
SAU,0.8057426045767292,0.6,0.6666666666666666
SDN,0.6000000000000001,0.6666666666666667,0.6666666666666666
SEN,0.5605653897527616,0.5152567271479656,0.6666666666666666
SGP,0.44995220948417897,0.7567871128246064,0.8333333333333334
SLB,0.6000000000000001,0.5333333333333333,0.5
SLE,0.6367706572695015,0.5491767239521866,0.6666666666666666
SLV,0.6018148665312423,0.6260676719994388,0.6666666666666666
SMR,0.7794301766653018,0.598726219230438,0.8333333333333334
SOM,0.6183853286347508,0.6333333333333333,0.6666666666666666
SRB,0.4529391405030171,0.5111993892256985,0.6666666666666666
SSD,0.6183853286347508,0.6333333333333333,0.6666666666666666
STP,0.6000000000000001,0.5975740580549966,0.6666666666666666
SUR,0.6009074332656212,0.5020893021045503,0.6666666666666666
SVK,0.722720016733458,0.5623022545867079,0.5
SVN,0.8089815273683201,0.6681934502451844,0.8333333333333334
SWE,0.781263006247547,0.5999160592339046,0.8333333333333334
SWZ,0.6000000000000001,0.6,0.8333333333333334
SXM,0.6578685065745702,0.6666666666666667,0.8333333333333334
SYC,0.8,0.6666666666666667,0.8333333333333334
SYR,0.6000000000000001,0.6666666666666667,0.6666666666666666
TCA,0.8,0.7333333333333333,0.6666666666666666
TCD,0.6183853286347508,0.6333333333333333,0.6666666666666666
TGO,0.2213117947783162,0.23100590589337763,0.5
THA,0.8102517276526173,0.5344902107790523,0.8333333333333334
TJK,0.4259505588243692,0.5838001143080322,0.6666666666666666
TKM,0.4529391405030171,0.4799341211716937,0.8333333333333334
TLS,0.6000000000000001,0.4,0.8333333333333334
TON,0.6000000000000001,0.6,0.6666666666666666
TTO,0.6000000000000001,0.6666666666666667,0.8333333333333334
TUN,0.44125893164977237,0.394376725177459,0.6666666666666666
TUR,0.5318317477587753,0.5962344510255896,0.8333333333333334
TUV,0.7654624389877264,0.6505958616994021,0.75
TWN,0.8417028245189783,0.4916003685389122,0.8333333333333334
TZA,0.6575202523180379,0.6578896413368731,0.6666666666666666
UGA,0.6377919103780404,0.5970655828189557,0.8333333333333334
UKR,0.6969583965697432,0.22504385779462738,0.6666666666666666
URY,0.6759697145688666,0.5714973299953743,0.6666666666666666
USA,0.8357908319441981,0.6345556717069485,0.8333333333333334
UZB,0.3943439339526184,0.7341401375655401,0.6666666666666666
VCT,0.6009074332656212,0.5020893021045503,0.6666666666666666
VEN,0.32626635530154424,0.2461587027862204,0.6666666666666666
VGB,0.8,0.6666666666666667,0.8333333333333334
VIR,0.6578685065745702,0.6666666666666667,0.8333333333333334
VNM,0.8758079182053924,0.6457157604166694,0.8333333333333334
VUT,0.6000000000000001,0.4666666666666667,0.5
WSM,0.6000000000000001,0.5333333333333333,0.6666666666666666
XKX,0.30840111639877127,0.317811395562255,0.8333333333333334
YEM,0.2,0.33333333333333337,0.3333333333333333
ZAF,0.5776672967286375,0.554874979276625,0.8333333333333334
ZMB,0.6888500976994525,0.6828507294943291,0.8333333333333334
ZWE,0.7609969029767572,0.6335344881121437,0.8333333333333334
