iso3,ew,prepare_scaleup,finance_pre
ABW,0.6578685065745702,0.6666666666666667,0.8333333333333334
AFG,0.3948755052998953,0.3592006024764908,0.5
AGO,0.6000000000000001,0.5975740580549966,0.6666666666666666
ALB,0.2189508189873339,0.3020250449045197,0.8333333333333334
AND,0.7794301766653018,0.598726219230438,0.8333333333333334
ARE,0.5951554939424339,0.8728434383731931,0.6666666666666666
ARG,0.6375410621136512,0.4869371336118353,0.5
ARM,0.31335098565233865,0.3740101200533297,0.5
ASM,0.8,0.5890552972778644,0.8333333333333334
ATG,0.4,0.6666666666666667,0.8333333333333334
AUS,0.9301463158373546,0.6790700317264603,0.8333333333333334
AUT,0.8577375757241545,0.6743220859874698,0.8333333333333334
AZE,0.4529391405030171,0.4799341211716937,0.8333333333333334
BDI,0.6000000000000001,0.6666666666666667,0.5
BEL,0.6902337998079515,0.35769762689571794,0.8333333333333334
BEN,0.38479716664936625,0.6048974177043009,0.5
BFA,0.5325130244580834,0.5860386582748977,0.8333333333333334
BGD,0.8203511395181686,0.7430143350200373,0.8333333333333334
BGR,0.5481724147748034,0.4856640200425024,0.8333333333333334
BHR,0.8,0.6666666666666667,0.8333333333333334
BHS,0.6578685065745702,0.6666666666666667,0.8333333333333334
BIH,0.35874900092034745,0.20271542132514708,0.8333333333333334
BLR,0.8,0.7333333333333333,0.8333333333333334
BLZ,0.6009074332656212,0.5020893021045503,0.6666666666666666
BMU,0.809295634422444,0.6818250460365486,0.75
BOL,0.6197954434967983,0.3505492399830046,0.5
BRA,0.3928613642977452,0.5291082704872349,0.6666666666666666
BRB,0.8,0.8,0.8333333333333334
BRN,0.4,0.4666666666666667,0.6666666666666666
BTN,0.6000000000000001,0.6,0.8333333333333334
BWA,0.8,0.6,0.6666666666666666
CAF,0.6183853286347508,0.6333333333333333,0.6666666666666666
CAN,0.7828004369006899,0.7290944203661487,0.6666666666666666
CHE,0.9344967924968567,0.8346389202560219,1.0
CHI,0.7794301766653018,0.598726219230438,0.8333333333333334
CHL,0.6397672985802739,0.5408725972262776,1.0
CHN,0.8,0.8,0.8333333333333334
CIV,0.35157209694293357,0.44117726619149267,0.5
CMR,0.6181845322890618,0.5426972877468083,0.8333333333333334
COD,0.4,0.4,0.5
COG,0.3629035296856086,0.40199863103833433,0.6666666666666666
COL,0.583481532649143,0.5172414705972652,0.8333333333333334
COM,0.6000000000000001,0.26666666666666666,0.3333333333333333
CPV,0.8,0.8,0.8333333333333334
CRI,0.8263909380371303,0.665176892969537,1.0
CUB,0.8,0.8,0.8333333333333334
CUW,0.6578685065745702,0.6666666666666667,0.8333333333333334
CYM,0.6000000000000001,0.6,0.8333333333333334
CYP,0.43656502998078034,0.2915047815919911,0.8333333333333334
CZE,0.7777441399174381,0.5393701498150425,1.0
DEU,0.8288874185926249,0.6063789838354662,0.8333333333333334
DJI,0.6000000000000001,0.6,0.5
