iso3,income_cat,liquidity,axfin
AGO,0.2,80.49773348285981,0.03469659877458524
AGO,0.4,109.74084622497269,0.04569956286288792
AGO,0.6,159.26723732401035,0.1512590152016139
AGO,0.8,148.86073010399465,0.19012965686884892
AGO,1.0,200.58715584702685,0.3251495004262276
ALB,0.2,693.7532348244968,0.03074796480063802
ALB,0.4,786.14657068574,0.07669776033636684
ALB,0.6,834.4340090577414,0.08270326171325665
ALB,0.8,883.2039925014426,0.08562918840612765
ALB,1.0,884.9096961500605,0.2068132807901691
ARG,0.2,895.971478508013,0.038359115226232296
ARG,0.4,1108.7448098423883,0.065731900431188
ARG,0.6,1081.4863736299378,0.03710941164190975
ARG,0.8,1199.9616046035471,0.1938859110476451
ARG,1.0,1135.9619558345148,0.22212701475974445
ARM,0.2,657.9710308087906,0.047900489940754874
ARM,0.4,757.0102837495615,0.02074712368342986
ARM,0.6,709.5095042988235,0.0669766165796398
ARM,0.8,757.8773073791867,0.04166427020017039
ARM,1.0,864.5746654891489,0.10260414011354017
AUS,0.2,2388.940055746142,0.5155466474380117
AUS,0.4,2722.1364291750165,0.6296838891562465
AUS,0.6,2842.2042702607164,0.7270432805527772
AUS,0.8,2793.596346270691,0.7461748339028289
AUS,1.0,2884.4733312214316,0.8395599018246677
AUT,0.2,2782.341715434921,0.6638382115932856
AUT,0.4,2925.6961615580312,0.6853923440884614
AUT,0.6,2952.6240360729835,0.6872906804953757
AUT,0.8,2863.9074011307903,0.6233226173406197
AUT,1.0,2808.298385182049,0.6738866481292712
AZE,0.2,574.2518614287285,0.009643101921256237
AZE,0.4,631.7920899800206,0.0067766771503430506
AZE,0.6,756.6757608427961,0.057411020517125586
AZE,0.8,819.3421720789613,0.06672267606843715
AZE,1.0,786.6997128780297,0.07738417733609501
BDI,0.2,20.98630537579935,0.015666863071775807
BDI,0.4,26.116027160838655,0.020802332873585613
BDI,0.6,28.983775350918787,0.010306680257391157
BDI,0.8,29.59557795748158,0.05420699503570036
BDI,1.0,32.4371545270993,0.09917721769614847
BEL,0.2,3004.0769905531283,0.36430091685960425
BEL,0.4,2876.786245642587,0.558554926711214
BEL,0.6,2975.83958173557,0.5929028848642192
BEL,0.8,3003.7959684026373,0.6486143192973283
BEL,1.0,3053.1435808599213,0.6822970173784603
BEN,0.2,116.78474218245356,0.029938850850414915
BEN,0.4,148.62718827510403,0.07541337933357706
BEN,0.6,150.58669234829648,0.014171451970580836
BEN,0.8,151.97352852779414,0.03843542595849164
BEN,1.0,161.5333455842012,0.09879351558632549
BFA,0.2,92.9560262624313,0.047346154411433125
BFA,0.4,87.25288571196319,0.05458032118410688
BFA,0.6,100.12214401164987,0.03030353202839746
BFA,0.8,94.19173370829715,0.0775577895636875
